A, mu, sigma, chi2, flag
66, 4.986232895282128, 0.3508320279954631, 3.6776611173494173e-07, 0
67, 4.471423002277385, 0.08178756015397859, 2.466253784809449e-07, 0
68, 4.007973902203725, 0.016830453860517514, 2.532551075345927e-07, 0
69, 4.148223289074424, 0.14726311268169434, 5.012522884839295e-07, 0
70, 3.445888553078178, 0.0766265519407403, 4.5519278030781826e-06, 0
71, 3.47702364250939, 0.20533819766254613, 4.917156292145261e-06, 0
72, 3.6236429174771936, 0.13006240095974064, 3.7994472703641283e-07, 0
73, 4.311662470490264, 0.11789473027577468, 1.5372406491160292e-06, 0
74, 3.588976753464797, 0.1807646953352049, 1.2513754522168606e-05, 0
75, 3.603971673440983, 0.09782097540811163, 8.125706991716609e-05, 0
76, 3.817399246433738, 0.2715925173626046, 5.955153422987062e-07, 0
77, 3.5999942354634733, 0.1236028330463943, 9.125056588377676e-06, 0
78, 3.2738401007158373, 0.6854570856377274, 0.00013849817261440747, 0
79, 3.2136636078924647, 0.844399759031151, 0.0007580557977899287, 0
80, 4.293797190231826, 0.12425562754363803, 0.00025051798346005505, 0
81, 3.4956369646163914, 0.10433939954260496, 0.010950540074704999, 0
82, 3.2701651809088106, 0.9217898854209221, 0.006110097777887327, 0
83, 3.9153813192355615, 0.04186008245926853, 0.0015715519337468412, 0
84, 3.6164089514610906, 0.17822961116898636, 0.05557285012433154, 0
85, 3.9036824469887965, 0.8069250303246895, 0.014658481171216278, 0
86, 3.5554884510661826, 0.5496541094978422, 0.05037535029572724, 0
87, 4.427422996107028, 0.08782377741730882, 0.0034639484943761764, 0
88, 4.137927965668204, 0.5683264648696418, 0.01298413656412441, 0
89, 4.411585902074619, 0.19563166043928165, 0.009797348219686388, 0
90, 3.4901200991196544, 0.151306056335321, 0.3432838198655523, 0
91, 4.38730386741441, 0.17981087918846472, 0.028338702009946797, 0
92, 4.283565678807957, 0.5443200205218333, 0.05437944080487614, 0
93, 4.336247315982141, 0.14495437455995736, 0.12274966482764689, 0
94, 4.518231328486107, 0.11888706313960729, 0.14183809754932486, 0
95, 4.463048256152665, 0.09325976242298861, 0.0181464836595902, 0
96, 3.2592107875100034, 0.013470458085339532, 3.8029169061165353, 0
97, 4.1627086255713195, 0.9515839102463167, 1.3342801036929506, 0
98, 4.551432076851449, 0.11100579517647444, 0.9030013115185812, 0
99, 3.510947021794156, 0.168152782544858, 2.2290835421437207, 0
100, 3.566263922061831, 0.06000602307183848, 0.424976523730892, 0
101, 4.344016392361495, 0.14088778996346302, 0.009479417136473349, 0
102, 3.769888959970371, 0.6983117123646183, 1.913628910272072, 0
103, 4.035629514518487, 0.49797392665197987, 0.19052449666199406, 0
104, 4.387981255398158, 0.23652010057712833, 1.3328825285979973, 0
105, 3.572110394909239, 0.1513655078631649, 0.031768161794451626, 0
106, 3.4468321402964532, 0.5676937974142773, 0.04310002125967225, 0
