A, mu, sigma, chi2, flag
66, 3.1830659563269554, 0.7335531614677137, 3.336420540785726e-06, 0
67, 3.7226660038443637, 0.35795276885514715, 7.135800444396563e-06, 0
68, 3.016249147272697, 0.30426344942651595, 1.423964942566567e-05, 0
69, 2.4553703110282803, 0.209644077583087, 6.715521039187597e-06, 0
70, 1.4921703135208033, 0.22544395129901074, 1.0005259791608668e-05, 0
71, 1.66895760882749, 0.1829194366363076, 3.7878766834761325e-05, 0
72, 2.451458209936941, 0.199582991650342, 1.8125643395903534e-05, 0
73, 2.0671543366360523, 0.6638536794465796, 4.0979003134725235e-05, 0
74, 2.3435467692860144, 0.16763187367501153, 8.464382722589194e-05, 0
75, 2.3430937014925015, 0.2064015020009169, 0.0007555169102420555, 0
76, 2.5247151464934308, 0.12578990351289177, 0.00010038581471684956, 0
77, 2.460641162374842, 0.1640110486716454, 0.00011705546937071764, 0
78, 2.083839577717467, 0.7545404328496372, 0.0010899719574746023, 0
79, 0.795923947172409, 1.3558855654304411, 0.009299725157878507, 0
80, 2.326326789647818, 0.4234459332963185, 0.0011253873059082382, 0
81, 2.0584967792071245, 0.04556462390466143, 0.0223813390096607, 0
82, 2.130194568090282, 0.9586974235448309, 0.023654224820443125, 0
83, 2.498266208437538, 0.19741689645262656, 0.006852481263053997, 0
84, 2.358290242877732, 0.16737828611405486, 0.10711214880227805, 0
85, 2.639093156908158, 0.15702324417441152, 0.12288184110220746, 0
86, 2.2720085464050443, 0.022585690920434054, 0.041276471282360755, 0
87, 2.3418571536200647, 0.17662772921195538, 0.009370381345013263, 0
88, 2.0370611035034303, 0.40644367177788265, 0.04940872660029963, 0
89, 2.0481422977442376, 0.5387031365992442, 0.025043182886559975, 0
90, 1.4653249116645082, 0.2593002698727594, 0.5760679540231478, 0
91, 1.9257866522828875, 0.39218395797490524, 0.03473245585635661, 0
92, 1.8527544117782073, 0.6521445216630584, 0.1188200168419456, 0
93, 2.080196349670153, 0.04376819128762732, 0.05121727788792409, 0
