A, mu, sigma, chi2, flag
66, 2.1523525378217188, 0.32817574304906216, 4.380408937717628e-08, 0
67, 1.7403603091842144, 0.14897659573373634, 2.2461243757460477e-08, 0
68, 1.6304583473119623, 0.08174007422885166, 1.9052203390003723e-07, 0
69, 1.8712944260421602, 0.04785405932164122, 5.905674654050739e-07, 0
70, 1.3348363765325448, 0.2049642971648571, 1.6920705144455578e-06, 0
71, 1.243436207663845, 0.19209555258889988, 3.623402967440206e-06, 0
72, 2.288979991230839, 0.08799974441090574, 1.1817276985590972e-05, 0
73, 1.605023823224909, 0.11953106122055468, 3.0251318227982897e-06, 0
74, 1.6869713775373745, 0.1730398115122347, 3.915805791759992e-05, 0
75, 1.5273069990735126, 0.14075713377341925, 0.00028495042330450046, 0
76, 1.7163815408278398, 0.10433916850977609, 0.00015189929185046406, 0
77, 1.7056264268250096, 0.15956095269395942, 0.0005135522641759487, 0
78, 2.3000379059211187, 0.08307340669151497, 0.0026974221524879455, 0
79, 2.278549339142667, 0.16493582027109727, 0.08401999080209303, 0
80, 2.4046527899267565, 0.06259380263364712, 0.4882909484475088, 0
81, 1.3281827269955557, 0.1731845878256541, 1.4186028311201395, 0
82, 1.2622400118099553, 0.8765203433244114, 0.6874335698516453, 0
83, 1.3596430879759762, 0.6227975982806816, 0.7421752355748245, 0
84, 1.5639808288999473, 0.15144160681686883, 2.9262694431650424, 0
85, 1.6609191538043941, 0.13814380629595405, 2.8284186731691583, 0
86, 0.46054933170331247, 1.2002641271307846, 1.7613554340807636, 0
87, 1.5176294266042356, 0.16247096840695746, 0.43732595201892455, 0
88, 1.5326062114831802, 0.13546289947766968, 0.08521982374477131, 0
89, 1.2615228744352431, 0.5291828086368805, 0.18749189317725487, 0
90, 0.24550127486287168, 0.2301233321710232, 1.3293595820615116, 0
91, 1.4783449455550528, 0.1755623513633348, 0.6744169582554133, 0
92, 1.3366930151498948, 0.8025842659426838, 0.21284822298002812, 0
93, 0.9318316310949595, 0.6269926421954314, 0.04505938419571303, 0
94, 0.9318316310949595, 0.6269926421954314, 0.5313896888726045, 1
95, 1.4196193090960818, 0.16078972000478495, 0.20745361911361582, 0
96, 1.6995568121724567, 0.016790467821061084, 0.9275964763027715, 0
97, 1.5503064560288895, 0.1813952977342007, 0.28889353157646064, 0
98, 2.096912685991028, 1.3225020133236876, 0.3324369705408355, 0
99, 3.0204954412587934, 0.022638742696834413, 0.6330005314024696, 0
100, 1.7947740998658546, 0.011869522185963044, 0.1614697317537661, 0
101, 0.7267655892919591, 0.1466721991583342, 0.07733154325899012, 0
102, 0.10776147409217171, 0.36823830955337733, 0.010793397065479365, 0
103, 0.3903528666534159, 0.057419440254514384, 0.1467450785462294, 0
104, 0.23394658255341128, 1.2541488808683974, 0.04029168885019838, 0
105, 1.477309349244251, 0.9591756565437173, 0.14823563251667007, 0
106, 1.7112223914704665, 0.16320968680986442, 0.054460340114062276, 0
107, 1.3616154901476123, 0.34728739447842066, 0.013493069794658346, 0
108, 1.8467150175249238, 0.36820980319108293, 0.005924531802000198, 0
109, 1.5838245571153413, 0.06875179263558684, 0.006776474515574606, 0
110, 1.9707044695083633, 0.20225511845395472, 0.001639790314597923, 0
111, 2.312286437329003, 0.17396277522404724, 0.003976863787917342, 0
112, 2.3892988685288676, 0.1905287394833297, 0.000540461688335303, 0
113, 2.466453433851699, 0.1617481935908415, 0.0019017905960955223, 0
114, 2.4434653311128924, 0.1770489476642676, 0.0017741501434552665, 0
115, 2.2395803998270156, 0.40162160775073213, 0.005406775694174296, 0
116, 1.7185381426123159, 0.0961939340854218, 0.0018107601500726611, 0
117, 1.5577564191207183, 0.20664131257279553, 0.0015312759701700289, 0
118, 1.6377816936830796, 0.6212775398678253, 0.012513480716217083, 0
119, 0.9309465857937232, 0.7410460329229751, 0.03689410537237311, 0
120, 1.4872805376832323, 0.12487115539308948, 0.1130611163924549, 0
121, 1.4872805376832323, 0.12487115539308948, 0.4418430515408339, 1
122, 1.4872805376832323, 0.12487115539308948, 0.5960405827014364, 1
123, 1.309656840780503, 0.1405260600408738, 0.2102701484808176, 0
124, 1.6375997543812724, 0.11209694938687649, 0.25880965388080934, 0
125, 0.7605151456792304, 0.14836169916833872, 0.08398009960012029, 0
126, 0.0764553535212209, 0.04978701766922278, 0.043278779807079344, 0
127, 0.4956972208147485, 0.1016533126628228, 0.36516870148266567, 0
128, 0.08849338289339892, 0.03237299965584506, 0.5425013227183194, 0
129, 1.2211422189101717, 0.12600473453183988, 0.577986707319521, 0
130, 1.3995016656798334, 0.36005245095321536, 0.5939065223066012, 0
131, 0.5782115316849347, 0.5590081569260276, 3.685178247744866, 0
132, 1.5450266159820325, 0.16085150341971213, 0.5878594010291869, 0
133, 1.5450266159820325, 0.16085150341971213, 4.871703500032152, 1
134, 0.6296440426333572, 0.15509227985849147, 0.5067013876280606, 0
135, 0.6459991345038975, 0.15673506326680522, 1.2812306373986164, 0
136, 1.5573174823425402, 0.18640972516657486, 0.1656122414413561, 0
137, 1.169902614132124, 0.6368815697337269, 0.694268099231214, 0
