A, mu, sigma, chi2, flag
66, 2.6898214571369974, 0.11289012473436744, 3.064460854096756e-08, 0
67, 3.0933630090325406, 0.04491274516000643, 1.27214730543436e-07, 0
68, 2.5139630486536655, 0.09553155796340418, 8.640670622960402e-08, 0
69, 2.6266149423218876, 0.14892550883782674, 2.744245237509987e-07, 0
70, 2.334759904832437, 0.16365962794462874, 2.3747412989767853e-06, 0
71, 2.5055028210757992, 0.17604389439957502, 5.416396613371009e-06, 0
72, 2.60819560659017, 0.2629109020916325, 1.4831561909133818e-06, 0
73, 2.620524938235035, 0.09830090094956812, 2.00037024467286e-05, 0
74, 2.613898893475945, 0.15945242387733538, 6.964401238556688e-05, 0
75, 2.7259485281175335, 0.10880873499808286, 0.0002524260097103525, 0
76, 2.655925124408582, 0.1337109694679417, 0.00047310450683464377, 0
77, 2.9740666840493715, 0.010408415997996467, 0.0012121340770169077, 0
78, 2.7510693882247335, 0.12799888749240934, 0.0018759042050599, 0
79, 2.410572488373558, 0.17621672998098553, 0.004164719167311385, 0
80, 2.8769538208928083, 0.04131528609195079, 0.002262916701839641, 0
81, 2.57955740854411, 0.165378642784332, 0.020501628926979827, 0
82, 2.374484802190478, 0.18030119464866912, 0.012011073068722596, 0
83, 2.6460481044555775, 0.18532647030388605, 0.016670100119058017, 0
84, 2.6972489864099654, 0.6931312031667581, 0.18289180947254088, 0
85, 2.4868609223896474, 0.04184364044651782, 0.1493141980319707, 0
86, 2.544369441233733, 0.18747516466286623, 0.10806216944217417, 0
87, 2.91075325859318, 0.3740704425105583, 0.03286530109212203, 0
88, 2.935419250071114, 0.3790776458110324, 0.008482221849659147, 0
89, 2.875637631099293, 0.6347019119501794, 0.3437989872580777, 0
90, 2.497398397081514, 0.16540639989601866, 0.7019516376465409, 0
91, 3.0274845384993885, 0.4714866927993471, 0.03342982093179386, 0
92, 2.9802096783162226, 0.4549870490583961, 0.053373946802763375, 0
93, 2.604726046126783, 0.05472030915745355, 0.09223452976970213, 0
94, 2.922743789298034, 0.30847434678260904, 0.025668627047373934, 0
95, 2.7852560664078596, 0.4242318998990404, 0.12626348017009806, 0
96, 2.187691761623761, 0.011073237769256838, 3.233544041636158, 0
97, 2.4480802708395375, 0.1475665560561201, 0.7245731632722132, 0
98, 2.5212496712441865, 0.8505289905754532, 1.472685486589703, 0
99, 2.4401571125047563, 0.10524473018140026, 0.779145714112138, 0
100, 2.3915798151158962, 0.1266808758687433, 0.3452174702512919, 0
101, 2.4372641129350607, 0.521256958147961, 0.1392259787918884, 0
102, 2.154276252127801, 0.3354641542315662, 0.11604317128986476, 0
103, 1.8411428475604856, 0.43195722103405604, 0.13327706312992693, 0
104, 2.306015177598493, 0.15022843318105722, 0.031282133864560004, 0
105, 2.088349718200791, 0.44669210293882167, 0.28440056172305944, 0
106, 1.9391208091007555, 0.1191964881426667, 0.5597779907703669, 0
107, 1.4966530877430393, 0.10886120856675396, 0.11625373632753071, 0
108, 1.6144907309817416, 0.1091902731802631, 0.06839364070836743, 0
109, 2.8980321403196223, 0.40702290825896065, 0.022716050412028316, 0
