A, mu, sigma, chi2, flag
66, 2.8459423097334007, 0.5610465270020392, 0.0, 0
67, 2.8459423097334007, 0.5610465270020392, 0.0, 1
68, 2.8459423097334007, 0.5610465270020392, 0.0, 1
69, 2.8459423097334007, 0.5610465270020392, 0.0, 1
70, 2.8459423097334007, 0.5610465270020392, 0.0, 1
71, 4.936077783881757, 0.8398157408956468, 0.0004236967793183657, 0
72, 4.5899500667175825, 0.78455508648394, 0.0006501290747869887, 0
73, 3.6376908051010863, 1.056155539454511, 0.0009427618780242929, 0
74, 4.962307737887824, 0.2988312980308614, 0.0010066374437959298, 0
75, 4.0649704428346825, 0.3202291973711108, 0.0014779782913595984, 0
76, 3.5659066445281002, 0.1061237965366586, 0.00010087218427984366, 0
77, 3.3326528671794193, 0.5306561760524626, 4.351151087767223e-05, 0
78, 3.463353066805917, 0.10667546904605607, 9.679600126070533e-05, 0
79, 2.687592231786258, 0.42904820534581456, 0.0011813545310147976, 0
80, 3.3840580638283435, 0.31750272355337344, 8.126780941796339e-05, 0
81, 3.028757386181416, 0.04303627588374592, 0.0012436926382064458, 0
82, 2.7263958647274746, 0.7749165636246756, 0.002888637258258877, 0
83, 3.3182290490317903, 0.14552417908912824, 0.00018448921083080518, 0
84, 2.7269691421677016, 0.6331000647210331, 0.01635284185382188, 0
85, 2.6858841862385865, 0.9384732702576063, 0.006286806213249157, 0
86, 2.5561666950523882, 0.2556858230482684, 0.007418755099179952, 0
87, 3.103417716310037, 0.44395743341774263, 0.001985920155178551, 0
88, 3.3971032942888786, 0.09187112240260942, 0.0014734957352017372, 0
89, 3.175927896775396, 0.34406617734619216, 0.0024434882605488977, 0
90, 2.6291889421028114, 0.16743033924795128, 0.04637895514687343, 0
91, 3.5638546728521945, 0.1640933296266495, 0.053766123690699316, 0
92, 3.511061897171947, 0.1492867285587812, 0.01752059835284227, 0
93, 3.4472116025901895, 0.1899791683149396, 0.014081984643110744, 0
94, 3.432611254760489, 0.1814932199736705, 0.007098999434054901, 0
95, 3.3323791521408963, 0.4986891860194493, 0.01401534578318083, 0
96, 2.0113710121574284, 0.022940253752062656, 0.2910761079120695, 0
97, 2.8624965560212825, 0.43279263563125697, 0.2291634334112028, 0
98, 3.1548830180987144, 0.9742560852251546, 0.4607949919363652, 0
99, 2.9114801794195087, 0.02292916774582454, 0.5742113140640734, 0
100, 3.444349955904005, 0.18591542706404918, 0.14242396119944947, 0
101, 3.6749652178968466, 0.1520593262560689, 0.04964475394041272, 0
102, 3.6709866608914195, 0.15277725668408546, 0.01602930141531151, 0
