A, mu, sigma, chi2, flag
66, 2.8459423097334007, 0.5610465270020392, 0.0, 0
67, 2.8459423097334007, 0.5610465270020392, 0.0, 1
68, 2.8459423097334007, 0.5610465270020392, 0.0, 1
69, 2.8459423097334007, 0.5610465270020392, 0.0, 1
70, 2.8459423097334007, 0.5610465270020392, 0.0, 1
71, 2.8459423097334007, 0.5610465270020392, 0.0, 1
72, 1.5831339755634912, 1.777783520646012, 1.4037593771156427e-05, 0
73, 4.812326983929223, 0.8468103008458763, 3.1814939123573893e-05, 0
74, 4.959767446785603, 0.697137253119045, 6.288275036824139e-05, 0
75, 4.90148318835446, 0.4132552658070223, 0.00012553749656131938, 0
76, 4.676992809788244, 0.16810845084021775, 2.1561347648783173e-05, 0
77, 4.526440817242488, 0.16124063430696545, 1.843768023391691e-05, 0
78, 4.92131330613195, 0.5257065723693135, 0.0006245343307028648, 0
79, 4.99783023188097, 0.1796629199082631, 0.0006246756465597508, 0
80, 4.628846455981406, 0.2013437663866701, 0.00017682131402264919, 0
81, 4.357233947290985, 0.1513126110886345, 0.0011124626672852872, 0
82, 3.961558088965891, 0.6833261522217173, 0.0006936555296515369, 0
83, 4.68157433718408, 0.12416336599366597, 0.005227279376210958, 0
84, 4.506277698948226, 0.20560878880271527, 0.005843764215604307, 0
85, 4.67005022420988, 0.6516368072130371, 0.00817189673093826, 0
86, 4.449351556356984, 0.10084561923052393, 0.005393410854888182, 0
87, 4.83123215313577, 0.15479830940846537, 0.0026396756669985286, 0
88, 4.884426435654712, 0.043859022476995246, 0.0019543472553661457, 0
89, 4.914181705754262, 0.38247796329638417, 0.0017083599181927174, 0
90, 4.416725305260706, 0.11009407353610388, 0.09141569511463941, 0
91, 4.416725305260706, 0.11009407353610388, 0.27574567980599324, 1
92, 4.508938573527815, 0.07037822923040814, 0.022237460814251788, 0
93, 4.649522509648998, 0.15680944499091418, 0.02021488945835775, 0
94, 4.875106618341271, 0.5429502065478211, 0.07039007225780378, 0
95, 4.637797028833212, 0.1721640975455098, 0.011018586576411143, 0
96, 3.559330943305319, 0.17219828547035998, 0.6664159026470421, 0
97, 3.977668870491078, 0.5003081840813188, 0.2689035100954888, 0
98, 4.189853051510098, 0.8377075854825133, 0.33811424841990395, 0
99, 3.7391473189413533, 0.13401853071855538, 0.3203006881488494, 0
100, 4.420787110538956, 0.08677937470453805, 0.11298395817441616, 0
101, 4.240641548135979, 0.44326752148367216, 0.03091100773882631, 0
102, 4.52325117979207, 0.19172287823140569, 0.4008450649325716, 0
103, 4.556350239814976, 0.17390566820368325, 0.495073738301437, 0
