A, mu, sigma, chi2, flag
66, 2.8459423097334007, 0.5610465270020392, 0.0, 0
67, 2.8459423097334007, 0.5610465270020392, 0.0, 1
68, 2.6480008503637107, 1.4176716371547697, 6.714648146797238e-06, 0
69, 2.383676214684973, 1.267147679262169, 1.2842935770927966e-05, 0
70, 4.967703869664483, 0.5114977918961788, 2.0972698831228093e-05, 0
71, 4.850320973810535, 0.2770017693397795, 4.8562559857727724e-05, 0
72, 4.312897114336601, 0.2339278667122091, 5.6531122006516385e-05, 0
73, 3.643293357661163, 0.15895462812862626, 6.8758889879627805e-06, 0
74, 3.474664676711989, 0.19790108318750077, 1.4708327469059858e-05, 0
75, 3.476814970814649, 0.1890534438292868, 3.979565753799835e-05, 0
76, 3.539467593708565, 0.18564110656710442, 9.021510692006347e-06, 0
77, 3.528440378729899, 0.1577704111071585, 2.1480375528232206e-05, 0
78, 3.535265578162759, 0.11852447439205349, 1.7574883124832396e-05, 0
79, 3.388733727548466, 0.10305583153393161, 0.0002977865123667255, 0
80, 3.5234105811910297, 0.08321130247528497, 3.948473097408016e-05, 0
81, 3.4546979110018463, 0.12251961677394216, 0.0018516460054319292, 0
82, 3.38586913277056, 0.09899743082223345, 0.0015712391016637231, 0
83, 3.505352393292729, 0.14044356247578205, 0.0006139914040544486, 0
84, 2.784060714631469, 0.9088807780311742, 0.028300120267060885, 0
85, 3.123048048260051, 0.6406365328055695, 0.006774767727273915, 0
86, 3.3559048624352767, 0.17588544961733968, 0.0084508813249474, 0
87, 3.540678532566503, 0.1569959611078262, 0.0008487316616340937, 0
88, 3.5184213703276197, 0.07685667616665981, 0.0019458260110104706, 0
89, 3.559165695137743, 0.19362676163890974, 0.0016326348699482742, 0
90, 3.361520766750982, 0.1548147038375299, 0.08019715934106986, 0
91, 3.529611451030056, 0.1793711743502176, 0.007075638601130924, 0
92, 3.533214843532439, 0.10068040024994523, 0.0025706366849874603, 0
93, 3.581761495257594, 0.1640240428546231, 0.005361032751671659, 0
94, 3.6045610748217918, 0.1342197712264559, 0.018377198811192774, 0
95, 3.637676370735987, 0.17047447488983186, 0.008461021393682669, 0
96, 3.0355472623115287, 0.048720213677950985, 0.7335221769868032, 0
97, 3.409047801946908, 0.16051563464208787, 0.1963594738647101, 0
98, 3.4290188522230842, 0.816518134088748, 0.450047411623057, 0
99, 3.447434741326909, 0.08622812997356563, 0.53705730644829, 0
100, 3.5105889059840005, 0.09769929908472345, 0.23802395731232615, 0
101, 3.5555654326942507, 0.11325242459901859, 0.023096799513557833, 0
102, 3.3557364648697448, 0.1467124947673581, 0.543509020614513, 0
