A, mu, sigma, chi2, flag
66, 2.8459423097334007, 0.5610465270020392, 0.0, 0
67, 2.8459423097334007, 0.5610465270020392, 0.0, 1
68, 2.8459423097334007, 0.5610465270020392, 0.0, 1
69, 2.8459423097334007, 0.5610465270020392, 0.0, 1
70, 2.8459423097334007, 0.5610465270020392, 0.0, 1
71, 2.8459423097334007, 0.5610465270020392, 0.0, 1
72, 2.8459423097334007, 0.5610465270020392, 0.0, 1
73, 4.3013044682645925, 1.5828896283173257, 0.002311029458509809, 0
74, 4.3013044682645925, 1.5828896283173257, 0.002850257055328634, 1
75, 4.3013044682645925, 1.5828896283173257, 0.004758720726026513, 1
76, 4.3013044682645925, 1.5828896283173257, 0.003629934800627165, 1
77, 4.3013044682645925, 1.5828896283173257, 0.005945912730517818, 1
78, 4.999789046006336, 0.09185821201850741, 0.00042073179422001574, 0
79, 4.999789046006336, 0.09185821201850741, 0.0007293808050715564, 1
80, 4.999789046006336, 0.09185821201850741, 0.0008389453191818728, 1
81, 4.5114498762727555, 0.13113466439484964, 0.007147393578169975, 0
82, 4.721764141225906, 0.924472250689022, 0.008813098839717644, 0
83, 4.946297995941157, 0.5896719003692279, 0.0002114613914194513, 0
84, 4.758548113348621, 0.01511155489347904, 0.018508387588716032, 0
85, 4.760737510641739, 0.9500006220783555, 0.017841699776286805, 0
86, 4.499897824052523, 0.6651584414806202, 0.015541541002196018, 0
87, 4.887013926436708, 0.503530687137608, 0.0017545535256826698, 0
88, 4.982797868441597, 0.30901991470979817, 0.00040591585306955306, 0
89, 4.828246996632762, 0.4360494521735322, 0.008183392223478792, 0
90, 3.7342212932020953, 0.073295117583561, 0.18138433698625284, 0
91, 4.719738723053275, 0.14744563143683975, 0.004920206245230289, 0
92, 4.810807616215675, 0.4358023731956901, 0.01872036716411117, 0
93, 4.621642905015429, 0.17113970147742827, 0.04655998160120636, 0
94, 4.707547753864601, 0.14460497054308544, 0.005849784112483314, 0
95, 4.738332810026857, 0.6591366259867588, 0.09116909200079759, 0
96, 3.443893289339971, 0.15818677390972719, 1.0038976270839788, 0
97, 4.6252140936380055, 0.8793762143169652, 0.1880350757966589, 0
98, 4.6252140936380055, 0.8793762143169652, 0.3159306910444818, 1
99, 3.9461466083643297, 0.05246482830831134, 0.7181679871893969, 0
100, 4.529091464022343, 0.17359652278060023, 0.17143976593474422, 0
101, 4.92655092733239, 0.6046031667231214, 0.12588102144559382, 0
102, 4.769761944027201, 0.8845163951232564, 1.2816584339946855, 0
103, 4.769761944027201, 0.8845163951232564, 0.9327672458081121, 1
