A, mu, sigma, chi2, flag
66, 2.8459423097334007, 0.5610465270020392, 0.0, 0
67, 2.8459423097334007, 0.5610465270020392, 0.0, 1
68, 2.8459423097334007, 0.5610465270020392, 0.0, 1
69, 2.8459423097334007, 0.5610465270020392, 0.0, 1
70, 2.8459423097334007, 0.5610465270020392, 0.0, 1
71, 2.8459423097334007, 0.5610465270020392, 0.0, 1
72, 2.8459423097334007, 0.5610465270020392, 0.0, 1
73, 2.8459423097334007, 0.5610465270020392, 0.0, 1
74, 4.648620941910812, 0.836847716565039, 1.714506223922809e-06, 0
75, 0.8354625232134589, 1.713356691993238, 3.2098728006844386e-06, 0
76, 4.6320394504738065, 0.6289852250489767, 6.406103732151732e-06, 0
77, 4.8150903675238546, 0.3116441693972738, 1.1791859291046649e-05, 0
78, 4.252195065358378, 0.24003976071185407, 9.433784857389505e-06, 0
79, 3.4016702381238657, 0.19173724127982839, 4.554518561861627e-06, 0
80, 2.8528948818294224, 0.8360804262025462, 2.4599900481894475e-06, 0
81, 3.278400694343757, 0.14456400614972842, 3.4640390904310786e-05, 0
82, 1.8042074856025059, 1.3112401191453493, 8.568331953949908e-05, 0
83, 2.697575154344908, 0.8520777949511337, 0.00012479654289669775, 0
84, 1.8051486728594903, 1.1768360188871525, 0.001354616804957045, 0
85, 2.179843159911276, 1.055856100171292, 0.0013081276258843633, 0
86, 2.4696317822802594, 0.6213496496022609, 0.002310773894935363, 0
87, 2.341137135529398, 0.9866500205544103, 0.006230748877284721, 0
88, 2.0282192268499113, 1.1862397699271672, 0.017206140738261162, 0
89, 2.0088170701596604, 1.2552226113479708, 0.05595223022339229, 0
90, 2.5038087759019882, 0.11525249183801076, 0.10093897488586281, 0
91, 3.50908430802949, 0.4912797036674152, 0.023062906637798312, 0
92, 3.5194776794603526, 0.11665534974951666, 0.029115478023751824, 0
93, 3.4712648719657575, 0.12675452562765172, 0.057076100508854255, 0
94, 3.5476071981259882, 0.11595202330707878, 0.042850062546456305, 0
95, 3.5817903367108985, 0.16730725362101687, 0.008601014762213489, 0
96, 2.5709132158900045, 0.1100429940799301, 0.6542583351663749, 0
97, 3.2872862639588827, 0.16557856093932252, 0.19892462983064485, 0
98, 3.2413006615823163, 0.8781614989776636, 0.3394603916832497, 0
99, 3.353398851122322, 0.16800017166717152, 0.4049261556670492, 0
100, 3.5470987197742874, 0.16863405885844945, 0.21133576433349702, 0
101, 4.178904670461081, 0.14005448603733756, 0.1059333408450912, 0
102, 3.6206908779733533, 0.5758290911059476, 0.19195640738727532, 0
