A, mu, sigma, chi2, flag
66, 2.1523525378217188, 0.32817574304906216, 4.380408937717629e-08, 0
67, 1.7403603091842144, 0.14897659573373634, 2.246124375746049e-08, 0
68, 1.6304583473119623, 0.08174007422885166, 1.9052203390003723e-07, 0
69, 1.8712944260421602, 0.04785405932164122, 5.905674654050739e-07, 0
70, 1.3348363765325448, 0.2049642971648571, 1.692070514445558e-06, 0
71, 1.243436207663845, 0.19209555258889988, 3.623402967440206e-06, 0
72, 2.288979991230839, 0.08799974441090574, 1.1817276985590972e-05, 0
73, 1.605023823224909, 0.11953106122055468, 3.0251318227982905e-06, 0
74, 1.6869713775373745, 0.1730398115122347, 3.915805791759991e-05, 0
75, 1.5273069990735126, 0.14075713377341925, 0.00028495042330450046, 0
76, 1.7163815408278398, 0.10433916850977609, 0.00015189929185046406, 0
77, 1.7056264268250096, 0.15956095269395942, 0.0005135522641759494, 0
78, 2.300037905877854, 0.0830734066481685, 0.002697422152486595, 0
79, 2.2894849400266803, 0.15679139326809235, 0.08401989961466522, 0
80, 2.404652789901059, 0.06259380263905595, 0.4882909484475088, 0
81, 1.3281827259797419, 0.1731845877996308, 1.4186028311201646, 0
82, 1.2622406628221197, 0.876519940521723, 0.687433569854398, 0
83, 1.3596430573716718, 0.6227977595027446, 0.7421752355748128, 0
84, 1.5638100221778688, 0.15103611326487962, 2.926269442720595, 0
85, 1.6602133235054821, 0.13753099034853233, 2.8284186718564532, 0
86, 0.46055149784999766, 1.2002631853026136, 1.761355434081699, 0
87, 1.5176323011200297, 0.16249462524848465, 0.4373259520073823, 0
88, 1.5326062114835872, 0.13546289947760226, 0.08521982374477123, 0
89, 1.2615228730123553, 0.5291828078022834, 0.18749189317725493, 0
90, 0.24550127209412717, 0.2301233293307596, 1.3293595820615065, 0
91, 1.4783449456456297, 0.17556235136322448, 0.6744169582554134, 0
92, 1.3366930495978315, 0.8025842153011367, 0.2128482229800673, 0
93, 0.9318316434731414, 0.6269926186111336, 0.04505938419572203, 0
94, 0.9318316434731414, 0.6269926186111336, 0.5313897077103737, 1
95, 1.4196193088941953, 0.16078971987028437, 0.20745361911361576, 0
96, 1.998956977272742, 0.041294373809871665, 0.9275964763027715, 0
97, 1.5170112032474243, 0.06133952922173233, 0.2888934934036396, 0
98, 2.0969124660109073, 1.322501683607955, 0.33243697054056126, 0
99, 3.0204954412587934, 0.022638742696834413, 0.6330005314024696, 0
100, 1.7947740998658546, 0.011869522185963044, 0.1614697317537661, 0
101, 0.726811679561642, 0.1467014458407837, 0.07733154328325006, 0
102, 0.10776147883077891, 0.36823829732297275, 0.010793397065416781, 0
103, 0.3903528765672183, 0.0574194247150646, 0.14674507854622526, 0
104, 0.23396480818765478, 1.2541476137810186, 0.04029168891985, 0
105, 1.4773091835794243, 0.9591755834274275, 0.14823563251673708, 0
106, 1.7112223772548296, 0.1632097015882696, 0.054460340114135586, 0
107, 1.3616154328725798, 0.34728748363089057, 0.013493069794837581, 0
108, 1.8467150610449068, 0.36820988631434803, 0.005924531802009019, 0
109, 1.5838245571168235, 0.06875179263370292, 0.006776474515574611, 0
110, 1.9707044695083633, 0.20225511845395472, 0.0016397903145979225, 0
111, 2.312286437335285, 0.1739627535570256, 0.00397686378791621, 0
112, 2.3892988685288676, 0.1905287394833297, 0.0005404616883353021, 0
113, 2.466453435186122, 0.16174819417673486, 0.0019017905960954545, 0
114, 2.4434653311129946, 0.17704894766427032, 0.0017741501434552645, 0
115, 2.2395804578574103, 0.40162154772214886, 0.005406775694158424, 0
116, 1.7185381710602852, 0.09619395010500181, 0.001810760150084585, 0
117, 1.5577564210676536, 0.2066413137334939, 0.001531275970186172, 0
118, 1.6377820903319171, 0.6212772514432074, 0.012513480716116751, 0
119, 0.9309487358803246, 0.7410459522368904, 0.03689410536552418, 0
120, 1.4872805377616136, 0.12487115540106727, 0.11306111639245495, 0
121, 1.4872805377616136, 0.12487115540106727, 0.4418430516537167, 1
122, 1.4872805377616136, 0.12487115540106727, 0.5960405825730591, 1
