A, mu, sigma, chi2, flag
66, 3.3844221831951824, 0.8449371839754678, 1.1826250866299585e-05, 0
67, 3.3407993490981096, 0.9811653357392235, 3.201509100627251e-05, 0
68, 3.620553623897484, 0.21521230430802896, 4.001951749356432e-05, 0
69, 3.818992766226888, 0.39138069859513624, 6.230674447200546e-05, 0
70, 3.226178045586993, 0.23149314869150148, 0.00023811102929181076, 0
71, 3.513193577889128, 0.18574641265217032, 0.0003212831431373126, 0
72, 3.7664471193587064, 0.585347538784925, 0.00027290053364656164, 0
73, 3.9564352907598512, 0.5968522572534691, 0.00018712388960658732, 0
74, 3.836448601056883, 0.0366818913255893, 0.00033288692965913126, 0
75, 3.7159750357520793, 0.4662318763188351, 0.0019640330174990803, 0
76, 3.9978300102086015, 0.27853856571836594, 0.0014256063548322433, 0
77, 3.7576239735243244, 0.37229717012619656, 0.005076940865096852, 0
78, 3.6983393930629185, 0.7611356319489668, 0.007434359642301259, 0
79, 3.6275696388229712, 0.1707553894312643, 0.006405448379028426, 0
80, 4.423367531061322, 0.1563972987763932, 0.005686629546466064, 0
81, 4.336339506523268, 0.020474340142785596, 0.042548936883063104, 0
82, 3.6374137987532795, 0.5975010029020278, 0.022802880454553896, 0
83, 4.405646135375554, 0.16896442233189402, 0.00304691491012056, 0
84, 3.8707098683701497, 0.6024327315809734, 0.1718674281632901, 0
85, 3.7851466689114757, 0.8105614761034702, 0.16843971504978245, 0
86, 3.804995713475226, 0.1332458639892673, 0.0948390610995609, 0
87, 4.31069249633995, 0.19044657366726422, 0.054495259107501644, 0
88, 4.473740553741296, 0.07170527040582378, 0.017494102810343113, 0
89, 4.505670570258913, 0.1814059561080917, 0.19996525265719542, 0
90, 3.5207024717008015, 0.15293960907467197, 0.7277355786177258, 0
91, 4.46214611767477, 0.13994891458416653, 0.006108745584754514, 0
92, 4.344927337424246, 0.4213714962804834, 0.011886484388340259, 0
93, 4.492949333124231, 0.19494236945643081, 0.10683274821581568, 0
94, 4.456904465512669, 0.2014996298827137, 0.049831436314531234, 0
95, 4.420686483044142, 0.15165025741284976, 0.2716717164827282, 0
96, 3.0016262658162893, 0.03537122469089393, 4.077911942808746, 0
97, 3.7581886662760113, 0.12148389267601248, 0.819405309119024, 0
98, 4.659166372311087, 0.16110098226833813, 0.18114813623852472, 0
99, 4.30926622968308, 0.15099535938940506, 1.3598690799277988, 0
100, 4.273205256105485, 0.49827219253785193, 0.10560272835234863, 0
101, 4.131107024712303, 0.5379302667115691, 0.2680773895286665, 0
102, 3.491791440787342, 0.09194276416546884, 0.3149998088062677, 0
103, 4.495591290607328, 0.1285957107885413, 0.4921035637525951, 0
104, 4.612256819866787, 1.0382889993634437, 0.36736311926412896, 0
105, 4.09257534264271, 0.6466307304201699, 0.6178838021212585, 0
106, 3.8560086217849294, 0.11313870805125453, 0.2973828108153017, 0
107, 4.0028212324809065, 0.6444474536073969, 0.2290215448165367, 0
