A, mu, sigma, chi2, flag
58, 2.3777366829064936, 0.35777649881430484, 0.0, 0
59, 2.317055198480182, 0.160500996979569, 1.505649008191259e-10, 0
60, 0.80333498733665, 0.03540999562005109, 1.6048541788193052e-09, 0
61, 2.355897071173376, 0.20384603747176766, 4.1081413622984336e-10, 0
62, 2.184921788881708, 0.3317787813274353, 4.715100868137187e-09, 0
63, 2.3851344833431574, 0.14019107310917533, 9.036659449395088e-09, 0
64, 2.361322441213475, 0.18217449357254112, 3.208432859659905e-08, 0
65, 2.4010201456306834, 0.1472406595545459, 2.5765734381463096e-08, 0
66, 2.4004191461228173, 0.1751061185168148, 9.526667079979172e-08, 0
67, 2.3957371770245053, 0.2269417541297285, 1.204565167488771e-07, 0
68, 1.7613880231061227, 0.5886418352476552, 3.59039665323872e-06, 0
69, 1.9601024097536994, 0.5256393315838889, 7.464360003279884e-07, 0
70, 0.8335735968863631, 0.04117582664198416, 2.6513526384027097e-05, 0
71, 2.2534702666609996, 0.10204149543703855, 2.1038370360917316e-05, 0
72, 2.4845789367940667, 0.16340077684461884, 2.3155942821261063e-05, 0
73, 1.3559549911920477, 0.11427144395826172, 9.880049590200571e-05, 0
74, 2.3288375831237302, 0.1493319380975131, 0.00023796770129660085, 0
75, 2.333923443256868, 0.16132533355355227, 0.0003904691017079132, 0
76, 2.475507359483135, 0.17050195491558462, 0.0004841239772931366, 0
77, 2.493817205469852, 0.09965913794144443, 0.00043857718469412387, 0
78, 2.526358153719313, 0.13824573942377613, 0.0011595200588642514, 0
79, 1.3013315032868173, 0.0943587237961101, 0.004011612188702095, 0
80, 2.508587299479408, 0.18712327416609575, 0.005237967079194517, 0
81, 2.333366277711789, 0.14696720377533773, 0.011604258524227317, 0
82, 1.3947376564531575, 0.1006601467982724, 0.044815797179631155, 0
83, 2.5789096124557127, 0.15325886534809022, 0.0033683038025003513, 0
84, 2.5623317276830617, 0.15348078152794967, 0.1172424971651458, 0
85, 2.5364718133155972, 0.32986650671382645, 0.0213305669921444, 0
86, 2.6345361826246414, 0.17763151785105036, 0.00518652875691991, 0
87, 2.6761977476273273, 0.4255623977664765, 0.021063551329485983, 0
88, 2.6177875782816225, 0.16703057822267178, 0.010566665157996175, 0
89, 2.5833494964555785, 0.16024814350454705, 0.005669552696874064, 0
90, 1.5608196057323487, 0.16966343398459674, 1.2793626923210475, 0
91, 2.5338544972354353, 0.2507819049471822, 0.09528066264065053, 0
92, 2.6106848106860743, 0.15937696069159615, 0.062172402414942304, 0
93, 2.3073852355120317, 0.15365895605171664, 0.5226745754190242, 0
94, 2.6036042313730263, 0.1713129461234045, 0.1270814271150737, 0
95, 2.6091182090918466, 0.47066756572460705, 0.17454560816844206, 0
96, 2.5533329490121734, 0.8245820096841068, 3.7177913244430156, 0
97, 2.6972191264030543, 0.9239847823128431, 5.9831548484872386, 0
98, 2.642592415573476, 0.1251955592653153, 5.644188054821618, 0
99, 2.411260259779471, 0.1201075609666939, 0.20552819874828912, 0
100, 1.5896416292861122, 0.15395114171024513, 8.513324359593499, 0
101, 2.414053063757345, 0.1402145702857795, 0.1761030692461332, 0
102, 2.353454434653395, 0.6366872519704446, 2.1342362351734105, 0
103, 2.063910105724269, 0.5320059492159278, 0.3061703378406655, 0
104, 2.4946294541998673, 0.17316604784066494, 0.9530932132432315, 0
105, 1.8414595476099087, 0.3050012197839049, 0.07291793993624505, 0
106, 1.6797929688871016, 0.5123498265848319, 0.48502991411120755, 0
107, 1.4777804958270866, 0.09552326578969814, 0.8517031222166118, 0
108, 2.051421125816935, 0.5180900650642644, 0.5268388728445209, 0
