A, mu, sigma, chi2, flag
56, 2.109988001198825, 2.4604755872623323, 0.0, 0
57, 2.8419634384821286, 0.43441476268900847, 1.6283877833322532e-41, 0
58, 2.4923672940479973, 0.20069748441700508, 1.027224657973174e-10, 0
59, 2.4084893523728055, 0.49722303282136293, 4.870875755890174e-10, 0
60, 1.2469215266018756, 0.1708921564295216, 3.6358778978106347e-09, 0
61, 2.3875655578941926, 0.15920791593419348, 5.684292556629723e-09, 0
62, 2.4519833429070763, 0.16359578295584254, 1.0521135163297562e-08, 0
63, 2.4437838443775695, 0.1899907752824117, 8.12107383221533e-09, 0
64, 2.475760850418593, 0.09172559890522458, 2.473712933658781e-08, 0
65, 2.4425254318005165, 0.2347213729411668, 9.885362302003305e-08, 0
66, 2.4897638628971333, 0.15401765070452522, 1.374008928567313e-07, 0
67, 2.464189476669166, 0.13481449993573946, 6.836177729555981e-08, 0
68, 2.3260943213282315, 0.15258559189116738, 3.213914112516942e-06, 0
69, 1.7224840016263916, 0.765171298438524, 3.274033356333718e-06, 0
70, 1.3109779613984212, 0.3297339784496778, 2.8487984366805468e-05, 0
71, 1.8030881827955572, 0.033525728050671555, 1.686564798312465e-05, 0
72, 2.5065683180771225, 0.08677963784891984, 2.215316288862333e-06, 0
73, 1.2799111009257982, 0.2582116672932955, 0.00016569507870524812, 0
74, 2.3956074256491666, 0.1161551070043865, 7.658023603029064e-05, 0
75, 2.403406093281482, 0.10195252820928902, 0.0001987283657711783, 0
76, 2.472106618696945, 0.19643092977526888, 1.3237328361944459e-05, 0
77, 2.4336869134642165, 0.17570185913996617, 0.00013045860743775842, 0
78, 2.514438452218613, 0.20118956575160585, 0.00011396911102188124, 0
79, 0.7704850226541415, 0.15680362260119507, 0.007620896140588067, 0
80, 2.526146335185915, 0.18055648099465205, 0.000348553405041163, 0
81, 2.2851596532387304, 0.16333781195281505, 0.010757945561212396, 0
82, 1.272954535349067, 1.3542911924996224, 0.0487720835226605, 0
83, 2.647708528061909, 0.4678656986174397, 0.0032274649791182745, 0
84, 2.672593173618007, 0.14176413524826637, 0.05212874866010931, 0
85, 3.2879360422883823, 0.18581478658556766, 0.0031948120345109154, 0
86, 3.3228341300347735, 0.13131065362857391, 0.007834774095869348, 0
87, 3.0648646928496976, 0.6349125319593051, 0.09064828291648915, 0
88, 3.3218411617586114, 0.16843874291115146, 0.018465443609481016, 0
89, 2.9986501502927565, 0.6913182327993516, 0.03989074817406663, 0
90, 1.6062397765733956, 0.08059015055587056, 0.1848678532209713, 0
91, 3.3930246355421945, 0.10341977490344356, 0.037020736218179424, 0
92, 3.41202761395024, 0.09108590307380401, 0.010022144505657683, 0
93, 2.561516922139448, 0.16620473131472396, 0.43562320665597487, 0
94, 3.404015453391682, 0.1742985968473841, 0.0363368134913817, 0
95, 3.4407644458763307, 0.20012437598928373, 0.10854514820826554, 0
96, 2.490371136371707, 0.08252651308933094, 1.6331231632503822, 0
97, 3.0920579080082438, 1.0200520703420508, 4.975826929773658, 0
98, 3.383988754209469, 0.12139080591253211, 5.838491571720898, 0
99, 2.6766208387574664, 0.16491760434701527, 0.06565828394149512, 0
100, 2.2056646172073573, 0.014507204695704434, 4.7278962092482875, 0
101, 2.6874699520822554, 0.16113577679533814, 0.05303795126222591, 0
102, 2.9033359043856084, 0.590776449842456, 1.4254343198547996, 0
103, 2.488399588292422, 0.09342280050400081, 0.4917322576981422, 0
104, 2.5030065720099097, 0.13464679958136344, 0.2859886651880024, 0
105, 2.6686266566528434, 0.6264336407581811, 0.5275856488509306, 0
106, 2.547634161954321, 0.17973331954332816, 0.4211733662329109, 0
107, 2.380860272728152, 0.19039603846169592, 0.2394264348500196, 0
108, 2.3450927709569576, 0.09001947389907916, 0.13250446341927122, 0
109, 2.6299692780163513, 0.17253756806062331, 0.726361891641934, 0
110, 2.4993346112038495, 0.09303631433597048, 0.2617144014727655, 0
111, 2.4347880029040003, 0.17076564569384456, 0.12263995247062355, 0
112, 2.6778140425929298, 0.1652856168499342, 0.43966011758451157, 0
113, 2.4749609502439887, 0.12677484212703877, 0.1251173419970117, 0
114, 3.5602545227806908, 0.09608817995945533, 0.1688910244229713, 0
115, 3.5333643392116794, 0.17629618455428228, 0.17521403627476134, 0
116, 2.2378101482370534, 0.15282889348741494, 0.03460571874002948, 0
117, 2.977554693216603, 0.5131839853594868, 0.18369468657546487, 0
118, 2.755508721585933, 0.7081366127553294, 0.07684050608053555, 0
119, 2.977959739491096, 0.6847932622288364, 0.10422176155222901, 0
120, 1.8168526657613242, 0.12348407933090616, 0.002541447042730218, 0
121, 1.7655875067606044, 0.13440757647561816, 0.0007922930820721789, 0
122, 1.7677816214719004, 0.09571720148975871, 0.0017669775254433055, 0
123, 2.4079633154216094, 0.18039161483281482, 0.04633324037470318, 0
124, 2.381393237035953, 0.833095120910561, 0.04425557655033922, 0
125, 2.4177262407571103, 0.20461703523734046, 0.04785227277077004, 0
126, 1.811873396578142, 0.03040014492292409, 0.021989674805497364, 0
127, 2.501653034475737, 0.6020662813849395, 0.04317917501113492, 0
128, 1.4333909253751116, 0.06431356359213604, 0.06706293490522423, 0
129, 2.359636768072251, 0.12167047193467968, 0.06305049176588662, 0
130, 1.5016305452121201, 1.2241879133359046, 0.4282645273443148, 0
131, 1.8148500043009883, 0.011091730078808482, 0.20466238314505614, 0
132, 2.5195993743391436, 0.1643409864024465, 0.7542899367032501, 0
133, 1.7764260160383367, 1.0508408644287595, 3.5498289783092134, 0
134, 2.270292705805045, 0.12738661735263493, 0.2916261159930254, 0
135, 2.3240292879342936, 0.14609026551931883, 1.1596708032750136, 0
136, 3.487259830348903, 0.17466154250794697, 1.9303341820335735, 0
137, 2.7565638403880257, 0.5281685473200305, 0.2505083661801111, 0
138, 2.388054502129598, 0.16127759531094749, 0.8034029180104117, 0
139, 2.818698035148655, 0.6003712603931483, 0.5000072917392908, 0
140, 2.6387858614684574, 0.09694468811260254, 0.04955082209759825, 0
141, 2.477962618250654, 0.1921277075041165, 0.7147836552004797, 0
142, 3.0096089097025214, 0.028253832611443652, 0.09751799131454403, 0
143, 2.5851302167020997, 0.3263733361540369, 0.8143570903568825, 0
