A, mu, sigma, chi2, flag
60, 1.3257387154693263, 0.12587922679097763, 8.151597012351546e-11, 0
61, 1.6284898458391164, 0.15433404219396762, 6.45847395867842e-12, 0
62, 1.5408930760875013, 0.11621316321805542, 2.3413519408407793e-10, 0
63, 1.6792309362227331, 0.2681806307165886, 2.105843995240717e-11, 0
64, 1.57695051446449, 0.11484281045209865, 1.1329455425242537e-10, 0
65, 1.6042581409973307, 0.16223838691439374, 3.0486631510232103e-10, 0
66, 1.7890599376582412, 0.320926857133883, 1.607743241576347e-08, 0
67, 1.586644860654841, 0.12923823870368056, 6.6834763748827515e-09, 0
68, 1.532491545361189, 0.18885395664201066, 3.829431938884002e-07, 0
69, 0.8252528694384655, 0.7647710043456204, 1.2394983926396382e-06, 0
70, 0.46880856674475657, 0.11897254868687845, 8.278169970034237e-06, 0
71, 1.3654808646883996, 0.17934883178516725, 1.1184823895515815e-05, 0
72, 1.6277708980501822, 0.380490307608472, 1.1829534531076765e-06, 0
73, 0.27531926393047135, 0.2486934608957554, 7.670741792666528e-05, 0
74, 1.4812553905713612, 0.17659479543965428, 4.952953203930613e-05, 0
75, 1.4371701910683765, 0.20798770112495424, 0.0001707474510590638, 0
76, 1.612219596891615, 0.3218477169513201, 0.00015759632341005297, 0
77, 1.5506573118348161, 0.20197456175001616, 0.000516376921343076, 0
78, 1.5637912124634945, 0.18581549453060645, 0.0006889580982652539, 0
79, 0.036513384648102575, 0.27926089694708905, 0.014396698128716074, 0
80, 1.6122129776290601, 0.46407748596834864, 0.003444304142639079, 0
81, 1.2388147907677756, 0.3841170530815891, 0.031029719835261073, 0
82, 1.8538331194079913, 0.019717956923894553, 0.055182690643474384, 0
83, 1.5434347849603907, 0.1278116688174017, 0.01589856815716687, 0
84, 1.5990316760284902, 0.11653528291840975, 0.02905909122176112, 0
85, 1.7627900132044807, 0.5578026518663672, 0.02256937491030047, 0
86, 2.1762472754821993, 0.1688906739417803, 0.02768748588656729, 0
87, 2.0988108115318624, 0.5428355423457146, 0.1073694484572557, 0
88, 2.062440756391684, 0.6831786864799179, 0.11713845444490242, 0
89, 2.390502817463937, 0.10826521138908259, 0.012742775955011373, 0
90, 1.6410077289232714, 0.15302861867391876, 0.5315845117353841, 0
91, 2.038285506612336, 0.3880559825507463, 0.01630293018680193, 0
92, 2.1753369629500265, 0.5223727114036695, 0.07165724335102336, 0
93, 1.565260010157857, 0.16558587773065075, 0.607345704421637, 0
94, 2.378761480265691, 0.09759000371655369, 0.07364345376758337, 0
95, 2.340679919853728, 0.15018163033731072, 0.014988875616924602, 0
96, 2.0722659192128785, 0.05058255009660928, 2.1949874903562803, 0
97, 2.6907977525731654, 0.16728670877067592, 2.0813264651441683, 0
98, 2.0835489119194364, 0.013786652830920065, 1.440394716538723, 0
99, 1.9478747765429307, 0.3612683084879299, 0.006622475255659788, 0
100, 1.7772867867917186, 0.023481154921432212, 0.2753841161351097, 0
101, 1.6057971548221106, 0.191634969255803, 0.18657848912490924, 0
102, 1.9961663132289196, 0.2886213563496462, 0.811288471657433, 0
103, 1.0393480515076032, 0.057413754393619953, 0.7712561768943711, 0
104, 1.567891843074417, 0.06984430606353181, 0.15524944979411964, 0
105, 1.5058526049099321, 0.16892609854168952, 0.1038311497166176, 0
106, 1.1727639308608044, 0.5577646897129697, 0.3601937504260269, 0
107, 1.3558123290187802, 0.8536983070622243, 0.7443701427955388, 0
108, 0.9337262802696846, 0.03533942943387691, 0.41453492008750475, 0
109, 1.8262706127829618, 0.039322188820494874, 0.5882755417789005, 0
110, 0.9784288886686809, 0.04679001996009102, 0.03526592038692781, 0
111, 0.9784288886686809, 0.04679001996009102, 0.0878253259468578, 1
112, 2.014562149418892, 0.33264170834328083, 0.021836984917434948, 0
113, 2.428055956959043, 0.18012923473179387, 0.029742414255591862, 0
114, 3.01735056723603, 0.7321118657880956, 0.01909950253912096, 0
115, 2.5124628300811955, 0.18186776462892038, 0.0001407746405547666, 0
116, 2.4755394441918233, 0.18473760240244985, 0.004397872887616247, 0
117, 2.353575043833319, 0.1086657008457948, 0.0014073976209160524, 0
118, 2.926540461657442, 0.5863776435316267, 0.0005665549600169356, 0
119, 2.2261592110872765, 0.1739033025056997, 0.0006483153511195148, 0
120, 2.49320762748106, 0.15218984583196823, 0.0047745461833775754, 0
121, 1.7958851071477238, 0.02652696381644848, 0.006648009432648873, 0
122, 1.3942090498004092, 0.14349222431236838, 0.013125150095514626, 0
123, 2.320865579395222, 0.1709076263527907, 0.048010941106125554, 0
124, 1.598587744654378, 0.045500539744522506, 0.06862068970934418, 0
125, 1.9778810078528988, 0.043028405456798646, 0.4482861612112375, 0
126, 1.2664841662484736, 0.38223346958986776, 0.23241115703963644, 0
127, 0.5410873547324428, 0.16006325135173397, 0.010281561618317834, 0
128, 0.10281378444858769, 0.030631988872641625, 0.211692255367767, 0
129, 1.354944447567656, 0.11467110480805978, 1.0892660406576133, 0
130, 1.354944447567656, 0.11467110480805978, 1.310975560108347, 1
131, 0.5326255933114391, 0.02175396008359868, 1.7347684926271432, 0
132, 1.6884637603109787, 0.1395646805836977, 0.238348945101176, 0
133, 1.6884637603109787, 0.1395646805836977, 9.260551599291697, 1
134, 1.576395966464548, 0.14550596700032842, 1.0863500641760933, 0
135, 1.5296451695633362, 0.1618870509444288, 1.9238994432043346, 0
136, 2.018423883059807, 0.3319132142564747, 0.0527110184001475, 0
137, 1.7542739174080222, 0.025344324813981967, 0.0468747647515539, 0
138, 1.8419677163234687, 0.5235043426807093, 0.19766495060396166, 0
139, 2.3856893752371042, 0.17050979528466376, 2.0971227579759746, 0
140, 2.4118068979492016, 0.2470189178929727, 0.6056621767734969, 0
141, 2.341520675705631, 0.1573627964542721, 0.014365122560387916, 0
142, 2.331454088270166, 0.11770898827885584, 0.08118829140748493, 0
143, 2.07871934809652, 0.5264793595913708, 0.09043084458838349, 0
144, 2.3337089337014967, 0.18958574644045045, 0.3274724032280017, 0
145, 2.0781371584656854, 0.05084689751966365, 0.04465531868392453, 0
146, 2.5517992228090876, 0.09948843110767949, 0.5581744243494547, 0
147, 2.373121286598881, 0.12492634436666292, 0.009569911853689243, 0
148, 2.3280695016489807, 1.0391011483275636, 1.2587382903606261, 0
149, 2.0440454775308736, 0.43700588915023325, 0.11186385636620029, 0
150, 2.2886139842998805, 0.13461356164373875, 0.021017834089990448, 0
151, 1.845154198621016, 0.13788158824742264, 0.023433405845683406, 0
152, 1.6023848689947184, 0.10230419967912466, 0.019137684625817025, 0
153, 1.599467593506464, 0.11819767642252378, 0.023328326321747524, 0
154, 1.9603882185876416, 0.6250424424842858, 0.010802769030187091, 0
155, 1.6801506568828952, 0.1727110620119473, 0.014100808225469873, 0
156, 1.6109883492292754, 0.08969296375824665, 0.0042661588930309495, 0
157, 1.892055626465338, 0.8194931520136731, 0.008052742537544007, 0
158, 2.0641141451310707, 0.024877561988981167, 0.0013563176690627836, 0
159, 1.6397297323663151, 0.1538313904796766, 0.00048798754434039893, 0
160, 1.6811586485485384, 0.18944254215545042, 0.0001858651002530658, 0
161, 1.6753321060676658, 0.18818641629628097, 6.351691332376596e-05, 0
162, 1.5634943607598002, 0.07863788877691724, 2.646662166430009e-05, 0
163, 1.5260982619428887, 0.20999375580014878, 2.6891418518478646e-05, 0
164, 1.710965666285881, 0.09344231959723048, 1.0908655118316647e-05, 0
165, 1.5809157651178207, 0.09298806600534992, 9.528793286456532e-07, 0
166, 1.5528863341683423, 0.12638423030015522, 8.443820390759616e-07, 0
167, 1.6088824956348573, 0.15863126159418672, 1.7755413797476587e-06, 0
168, 1.5894245826910713, 0.07665138147084938, 1.4835656434915025e-07, 0
169, 1.7091904598734078, 0.14675096092671436, 3.86765622749777e-08, 0
170, 2.149011062385483, 0.4501406451094081, 1.369015466696303e-08, 0
171, 1.6278870210279615, 0.08217932127823935, 3.5037346898877696e-09, 0
172, 1.6802081500733683, 0.11389265239192503, 1.061328743321792e-09, 0
173, 1.7112976606793557, 0.1455898270477709, 1.7603840254264707e-10, 0
174, 1.5952384590588482, 0.07012222840024251, 1.2625478497063136e-10, 0
175, 1.5840083428206124, 0.05123035028570189, 2.371515546514633e-11, 0
176, 2.3860911833791927, 2.999860026570884, 2.937523328237421e-13, 0
177, 2.3860911833791927, 2.999860026570884, 1.2046394993134443e-11, 1
