A, mu, sigma, chi2, flag
53, 0.010049833799000485, 1.587871718365026, 1.120565971331651e-10, 0
54, 0.035776382785889904, 0.8702739696924089, 1.5465356896951483e-09, 0
55, 0.017682888135462704, 0.3461024617162731, 5.446651627694735e-09, 0
56, 0.02328024402053286, 0.03452976654260409, 3.210418315920962e-08, 0
57, 0.2502588830845567, 0.02534384484527341, 8.476181746031745e-08, 0
58, 0.04814621191275048, 0.026330922685244618, 1.8244401408531177e-07, 0
59, 0.21621320692466117, 0.21820260939455327, 1.475061000240581e-06, 0
60, 0.13720071853245264, 0.042128171951406834, 2.442374859729548e-05, 0
61, 0.11980751736124784, 0.3079812185169686, 2.3997392263464163e-05, 0
62, 0.05916882554213965, 0.020075175008246182, 6.99516217238302e-05, 0
63, 0.7056705868568067, 1.73343124348747, 0.00012748057960390883, 0
64, 2.3440082946083223, 0.16499168412545884, 8.197538953912597e-05, 0
65, 2.44099394622834, 1.0655197196476827, 4.8078295396052416e-05, 0
66, 3.306206470098946, 0.18467814224923584, 5.065311977478771e-06, 0
67, 3.364568925549, 0.1537374081518681, 1.2024180830566865e-05, 0
68, 1.5865813160833224, 0.6832388026121632, 0.0004018480156074482, 0
69, 1.3165041597978182, 1.0314222629837042, 0.0010328757228647686, 0
70, 0.49841394094366365, 0.18114355797530624, 0.004644166003747486, 0
71, 1.2022716999079555, 0.15169889796156566, 0.001993917913983964, 0
72, 2.7056833850189435, 0.23072678682783326, 0.001449354710237615, 0
73, 0.5226854162078043, 0.21426822843489143, 0.022066341958598013, 0
74, 2.509681393764106, 0.22247200301138692, 0.003747895415163351, 0
75, 1.6722662590131383, 0.6008309767731703, 0.015249979188808837, 0
76, 3.1710557266128228, 0.1683748124007557, 0.0030937513640745145, 0
77, 2.6149809874507186, 0.16578864426776027, 0.009206595899749169, 0
78, 2.8566631635234137, 0.40284143657708277, 0.0015469258723155611, 0
79, 0.5847229145009621, 0.16818617990050935, 0.311264722654574, 0
80, 3.07031539147459, 0.4075446118380381, 0.009591855329723627, 0
81, 1.8084142891763566, 0.6044157036852216, 0.2569588180875868, 0
82, 4.543139924507965, 0.17133801183950234, 0.22481139532716152, 0
