A, mu, sigma, chi2, flag
1, 2.8459423097334007, 0.5610465270020392, 0.0, 0
2, 2.8459423097334007, 0.5610465270020392, 0.0, 1
3, 2.8459423097334007, 0.5610465270020392, 0.0, 1
4, 2.8459423097334007, 0.5610465270020392, 0.0, 1
5, 2.8459423097334007, 0.5610465270020392, 0.0, 1
6, 2.8459423097334007, 0.5610465270020392, 0.0, 1
7, 2.8459423097334007, 0.5610465270020392, 0.0, 1
8, 2.8459423097334007, 0.5610465270020392, 0.0, 1
9, 2.8459423097334007, 0.5610465270020392, 0.0, 1
10, 2.8459423097334007, 0.5610465270020392, 0.0, 1
11, 2.8459423097334007, 0.5610465270020392, 0.0, 1
12, 2.8459423097334007, 0.5610465270020392, 0.0, 1
13, 2.8459423097334007, 0.5610465270020392, 0.0, 1
14, 2.8459423097334007, 0.5610465270020392, 0.0, 1
15, 2.8459423097334007, 0.5610465270020392, 0.0, 1
16, 2.8459423097334007, 0.5610465270020392, 0.0, 1
17, 2.8459423097334007, 0.5610465270020392, 0.0, 1
18, 2.8459423097334007, 0.5610465270020392, 0.0, 1
19, 2.8459423097334007, 0.5610465270020392, 0.0, 1
20, 2.8459423097334007, 0.5610465270020392, 0.0, 1
21, 2.8459423097334007, 0.5610465270020392, 0.0, 1
22, 2.8459423097334007, 0.5610465270020392, 0.0, 1
23, 2.8459423097334007, 0.5610465270020392, 0.0, 1
24, 2.8459423097334007, 0.5610465270020392, 0.0, 1
25, 2.8459423097334007, 0.5610465270020392, 0.0, 1
26, 2.8459423097334007, 0.5610465270020392, 0.0, 1
27, 2.8459423097334007, 0.5610465270020392, 0.0, 1
28, 2.8459423097334007, 0.5610465270020392, 0.0, 1
29, 2.8459423097334007, 0.5610465270020392, 0.0, 1
30, 2.8459423097334007, 0.5610465270020392, 0.0, 1
31, 2.8459423097334007, 0.5610465270020392, 0.0, 1
32, 2.8459423097334007, 0.5610465270020392, 0.0, 1
33, 2.8459423097334007, 0.5610465270020392, 0.0, 1
34, 2.8459423097334007, 0.5610465270020392, 0.0, 1
35, 2.8459423097334007, 0.5610465270020392, 0.0, 1
36, 2.8459423097334007, 0.5610465270020392, 0.0, 1
37, 2.8459423097334007, 0.5610465270020392, 0.0, 1
38, 2.8459423097334007, 0.5610465270020392, 0.0, 1
39, 2.8459423097334007, 0.5610465270020392, 0.0, 1
40, 2.8459423097334007, 0.5610465270020392, 0.0, 1
41, 2.8459423097334007, 0.5610465270020392, 0.0, 1
42, 2.8459423097334007, 0.5610465270020392, 0.0, 1
43, 2.8459423097334007, 0.5610465270020392, 0.0, 1
44, 2.8459423097334007, 0.5610465270020392, 0.0, 1
45, 2.8459423097334007, 0.5610465270020392, 0.0, 1
46, 2.8459423097334007, 0.5610465270020392, 0.0, 1
47, 2.8459423097334007, 0.5610465270020392, 0.0, 1
48, 2.8459423097334007, 0.5610465270020392, 0.0, 1
49, 2.8459423097334007, 0.5610465270020392, 0.0, 1
50, 2.2605327617972284, 0.021775734984340822, 9.443145061007587e-10, 0
51, 0.010107131597636876, 1.2780621075308132, 1.6692600673199662e-10, 0
52, 0.010084798302161246, 1.2357174233455932, 2.4125602064501553e-09, 0
53, 0.618795675723482, 0.16487168762694093, 1.5297234298240396e-08, 0
54, 2.1706726918817467, 0.28388056532009287, 3.164458331744255e-08, 0
55, 1.6554778682104394, 0.10913453048560462, 2.14445971711851e-08, 0
56, 0.9902225315385773, 0.029152605722856384, 3.433100484379129e-08, 0
57, 1.9373896464793663, 0.7835338520210106, 8.577897213843269e-08, 0
58, 2.276351797998677, 0.1277764881525103, 4.455151694197854e-09, 0
59, 1.3118133288832894, 0.08946980723079179, 2.0107439944443796e-07, 0
60, 0.042692659236375, 0.05380276095731462, 7.01178101671337e-07, 0
61, 1.4990755349706437, 0.03038882580068547, 4.040896739665365e-07, 0
62, 1.326786457013353, 0.9280499036786811, 9.960874642841257e-07, 0
63, 2.4651373492409383, 0.20716042428006065, 1.6857231281258986e-06, 0
64, 2.2243969428970414, 0.13067648278777355, 2.6089158431392203e-07, 0
65, 1.4108770329296754, 0.11107680435368272, 5.624747427609233e-06, 0
66, 2.2469269605913356, 0.1770037692874451, 9.08699891073069e-06, 0
67, 1.9362056965039751, 0.5253841669852181, 2.099149323554778e-05, 0
68, 1.4410199781927198, 0.21018050218162454, 9.343825200938067e-05, 0
69, 1.7683606828720702, 0.8663424861552493, 0.00011238659859149688, 0
70, 1.5575438493240679, 0.11035586826329036, 0.0005369142893269867, 0
71, 2.3386079739887062, 0.1609162716206367, 2.77594501216815e-05, 0
72, 3.251694508272234, 0.12113325617691797, 0.0017987045923896691, 0
73, 1.5171266339630567, 0.13623131759856058, 0.0075394946761389355, 0
74, 2.025175998042054, 0.3186234629670295, 0.0001224747105511171, 0
75, 1.6410652843868698, 0.400138824570917, 0.0005206237691234446, 0
76, 2.5313331531765737, 0.03679394634279949, 0.00031124859629113737, 0
77, 2.675312460740044, 0.15654673723172446, 0.00406118532282434, 0
78, 2.376784530363573, 0.1286630014218657, 0.0013791337873808557, 0
79, 0.8354080900318419, 0.017956988049915967, 0.0071179433202360615, 0
80, 2.470685662415802, 0.21260740453086144, 0.008124785548861252, 0
81, 1.5778913718436467, 0.10482067703542873, 0.02442634363813755, 0
82, 1.2473474669149132, 0.13191387280321698, 0.10026531083206802, 0
83, 2.3689475853546345, 0.2094444484342191, 0.0319142113607505, 0
84, 2.4406646074432374, 0.21156106786532372, 0.08601728392211529, 0
85, 2.450778637555362, 0.12344493644354257, 0.02614254994501495, 0
86, 2.451586436073553, 0.21866246886273186, 0.03473502849618654, 0
87, 2.4630248309079854, 0.22555945903237196, 0.016255480449269617, 0
88, 2.5397116013478196, 0.1355969655220635, 0.013708462888257479, 0
89, 2.560388712087216, 0.12670558468659188, 0.022789697827455487, 0
90, 1.532213599115764, 0.15551781589498948, 0.7439360029592872, 0
91, 2.5207736015906823, 0.40932891756704165, 0.13758293281534012, 0
92, 2.922545845047525, 0.02129766698374147, 0.01091014778719493, 0
93, 2.3129055825207754, 0.0815554243603108, 0.5041910603611941, 0
94, 3.395765713827431, 0.07428062039018916, 0.020505155167605222, 0
95, 3.432243852987383, 0.10904380102723707, 0.14806663219459104, 0
96, 2.570513543620639, 0.09308839249844894, 1.3434289050764063, 0
97, 3.900851791087277, 0.04234303221883162, 3.2588327784928883, 0
98, 2.987151868521135, 0.03087232021976183, 5.797690303421629, 0
99, 3.316882535431219, 0.31890385923873454, 0.07255189028325518, 0
100, 2.6303235028903025, 0.10522359042614779, 4.450771271984322, 0
101, 3.2842637902412783, 0.6145307288706886, 0.03652936253051985, 0
102, 3.4895866696908002, 0.9155147638776134, 3.4003788054785864, 0
103, 3.347895749206286, 0.6072156560414421, 0.2854869991826162, 0
104, 3.1671880886785044, 0.5635876106368514, 0.060701857820531294, 0
105, 2.924670254809164, 0.9457651116376258, 0.6921551107358399, 0
106, 2.7959765953697233, 0.8003571108472161, 0.4904711579087814, 0
107, 2.801933112035882, 0.6333311560375353, 0.23226879971857367, 0
108, 2.5533234995288514, 0.10596154380898024, 0.04891239086291255, 0
109, 2.716077628211403, 0.7652749128405395, 0.22272403763373455, 0
110, 2.483877670754934, 0.7336222354771732, 0.335455708304913, 0
111, 2.489460591393947, 0.7897975748368073, 0.3048809078830768, 0
112, 3.0089091403555583, 0.7817606970915307, 0.053083565699045696, 0
113, 3.1189046564097542, 0.39618862818166395, 0.0767748443045658, 0
114, 2.8723481336331127, 0.1167768629769228, 0.0040809471528476925, 0
115, 3.7605736268521457, 0.17648948177992452, 0.023834576835700217, 0
116, 3.359147130587706, 0.1526260910540914, 0.004169594204264387, 0
117, 3.7264429600427285, 0.17229428423101137, 0.011769064375915352, 0
118, 3.0064409073376543, 0.03467983556690202, 0.0040008207348749105, 0
119, 3.0064409073376543, 0.03467983556690202, 4.903379987487569, 1
120, 4.428784442380322, 0.16345437351931133, 0.023854214600155358, 0
121, 3.3290424802659015, 0.01602091527548266, 0.018835064150673743, 0
122, 3.39416397469791, 0.21170201659267193, 0.006196182417004211, 0
123, 3.475757498574299, 0.023483347089868916, 0.0008916112693170617, 0
124, 2.7473422466144064, 0.4240622827153543, 0.012246115764714594, 0
125, 2.6166598078537375, 0.1513215606625693, 0.0030811899883472884, 0
126, 2.5427383965711092, 0.14485113472860567, 0.02420449562149364, 0
127, 2.596669146837042, 0.1750286755163093, 0.09123271575628315, 0
128, 0.8588378535128381, 1.1911640383739437, 0.023785335331851287, 0
129, 0.11362433271977679, 0.028597508199816213, 0.5375060746709198, 0
130, 2.634076509650239, 0.08328797950152649, 0.967323885563542, 0
131, 2.504473042016604, 0.16397627775400114, 1.2932615801943173, 0
132, 2.522283813923657, 0.1611481502668652, 1.735162526635633, 0
133, 2.2701822319880494, 0.46792144750362485, 2.7627023584524517, 0
134, 2.9067679374172983, 0.33153587782444344, 5.49111844111999, 0
135, 3.0085961478959757, 0.02394765190544801, 1.2948390708854096, 0
136, 3.397444061862892, 0.15741998616938957, 8.578323900773372, 0
137, 3.2727685415031718, 0.4256369476526372, 1.2557271566104427, 0
138, 3.2928780573477043, 0.09562649616913776, 0.7463053878390647, 0
139, 3.349773202708818, 0.6696767240607837, 0.6559683716917605, 0
140, 3.2419861116758666, 0.10255070917162086, 0.2802673000352124, 0
141, 3.261140122848496, 0.7048845600469662, 0.8807080777426729, 0
142, 3.436548946254539, 0.19056083674090377, 1.946079202313542, 0
143, 3.4382674885982305, 0.16362303248388307, 0.36078296483139505, 0
144, 3.3257868948988905, 0.17025116696196094, 0.4813275352278239, 0
145, 3.2837290693035714, 0.14280812942623272, 0.03245309371142032, 0
146, 4.190359014346797, 0.028608118431500573, 1.3709969521811252, 0
147, 2.6878608861341178, 0.11224343662155017, 0.011928973246477369, 0
148, 2.5129122439955163, 0.17700227084900066, 1.8819896419335302, 0
149, 2.587140841553821, 0.3043959169162049, 0.05910660245090346, 0
150, 2.6303558566441834, 0.09812593920162677, 0.05019733858762261, 0
151, 2.6322791895817566, 0.15703914072257177, 0.02473326920635455, 0
152, 2.4373062607283944, 0.09569055375882167, 0.06833132847376093, 0
153, 2.483374165121272, 0.10171347638966184, 0.013587515288808352, 0
154, 2.420481545548475, 0.2878258531456926, 0.15318951496059507, 0
155, 2.7093927548938956, 0.6376968696538413, 0.0006587367468142111, 0
156, 2.4756830269226247, 0.6485826025091473, 0.0046862679834271375, 0
157, 2.4836409932444234, 0.12300628448491262, 0.015801476591205843, 0
158, 2.541315043365992, 0.1923313183177818, 0.0033903323868823667, 0
159, 2.3389094208866994, 0.651477795823294, 0.002381741884916382, 0
160, 2.7529554396908558, 0.5385638187218752, 0.0019603370029557788, 0
161, 2.5102573558205843, 0.01615356339360906, 0.005659656749656988, 0
162, 2.625340799047119, 0.415962627663119, 0.0003694796646732275, 0
163, 2.598958474411763, 0.11643427784749583, 2.7576717455580363e-05, 0
164, 2.4133753418799277, 0.2800048107892764, 0.00013154897581416674, 0
165, 3.107595423800919, 0.6363122101824729, 0.0003169093110561662, 0
166, 1.7151735388863596, 0.15514911830876343, 0.00011277998378531482, 0
167, 3.5298629717917596, 0.15523500908827503, 0.00014680352335154492, 0
168, 2.6049306847905567, 0.24670560228657923, 0.000293873886246716, 0
169, 2.502558061658842, 0.05537681508384429, 5.4258537927907486e-06, 0
170, 2.819347886044214, 0.9191274979832045, 3.343882835903659e-05, 0
171, 1.6992501139335907, 0.11499452585775605, 3.726331331120968e-05, 0
172, 2.624008985955404, 0.1921406635019296, 2.1675996416349948e-05, 0
173, 2.5426148693187436, 0.10782558975558332, 1.2439881728700407e-05, 0
174, 2.4417668717953025, 0.06296623678378599, 4.5990555061719535e-06, 0
175, 2.3043479214903373, 0.1368790787329739, 2.851937287805278e-06, 0
176, 2.3106957752548762, 0.13607454504859673, 1.4262224889556578e-07, 0
177, 2.5171691673036385, 0.18906700399529464, 1.329838158512032e-06, 0
178, 2.366957395764296, 0.1077843871965043, 7.919298759011358e-07, 0
179, 2.0549220255111265, 0.039144402302421444, 4.610767653109226e-07, 0
180, 1.2005269969734051, 2.9810936055167065, 8.917338184318977e-08, 0
181, 2.0714690107426312, 1.0151133369232523, 2.3407337115741335e-07, 0
182, 2.3887484366248577, 0.09066976349072364, 6.137033512001862e-10, 0
183, 2.4250328726385204, 0.14833294287050447, 9.636834626283925e-08, 0
184, 2.4958826270094514, 0.1781798569441846, 2.441421355443735e-08, 0
185, 1.666290829402385, 0.8554374588985313, 2.6466647394975697e-09, 0
186, 1.7036603127949004, 0.19681839080945185, 1.1272445226400609e-08, 0
187, 2.2809734133973096, 0.47085057622525817, 1.4204625915146367e-08, 0
188, 2.0576681110090562, 0.04296235404397053, 5.015003449947199e-09, 0
189, 1.7702256046689067, 0.11499961494654132, 3.970794864480583e-09, 0
190, 2.055361028679736, 0.41704194179644616, 3.669091882262166e-10, 0
191, 1.445676063102393, 0.0524427397590439, 1.3893010230420239e-09, 0
192, 0.27100275280706, 0.8256092318192815, 6.229320177173969e-10, 0
193, 0.27100275280706, 0.8256092318192815, 0.0, 1
194, 0.27100275280706, 0.8256092318192815, 0.0, 1
195, 0.27100275280706, 0.8256092318192815, 0.0, 1
196, 0.27100275280706, 0.8256092318192815, 0.0, 1
