A, mu, sigma, chi2, flag
1, 2.8459423097334007, 0.5610465270020392, 0.0, 0
2, 2.8459423097334007, 0.5610465270020392, 0.0, 1
3, 2.8459423097334007, 0.5610465270020392, 0.0, 1
4, 2.8459423097334007, 0.5610465270020392, 0.0, 1
5, 2.8459423097334007, 0.5610465270020392, 0.0, 1
6, 2.8459423097334007, 0.5610465270020392, 0.0, 1
7, 2.8459423097334007, 0.5610465270020392, 0.0, 1
8, 2.8459423097334007, 0.5610465270020392, 0.0, 1
9, 2.8459423097334007, 0.5610465270020392, 0.0, 1
10, 2.8459423097334007, 0.5610465270020392, 0.0, 1
11, 2.8459423097334007, 0.5610465270020392, 0.0, 1
12, 2.8459423097334007, 0.5610465270020392, 0.0, 1
13, 2.8459423097334007, 0.5610465270020392, 0.0, 1
14, 2.8459423097334007, 0.5610465270020392, 0.0, 1
15, 2.8459423097334007, 0.5610465270020392, 0.0, 1
16, 2.8459423097334007, 0.5610465270020392, 0.0, 1
17, 2.8459423097334007, 0.5610465270020392, 0.0, 1
18, 2.8459423097334007, 0.5610465270020392, 0.0, 1
19, 2.8459423097334007, 0.5610465270020392, 0.0, 1
20, 2.8459423097334007, 0.5610465270020392, 0.0, 1
21, 2.8459423097334007, 0.5610465270020392, 0.0, 1
22, 2.8459423097334007, 0.5610465270020392, 0.0, 1
23, 2.8459423097334007, 0.5610465270020392, 0.0, 1
24, 2.8459423097334007, 0.5610465270020392, 0.0, 1
25, 2.8459423097334007, 0.5610465270020392, 0.0, 1
26, 2.8459423097334007, 0.5610465270020392, 0.0, 1
27, 2.8459423097334007, 0.5610465270020392, 0.0, 1
28, 2.8459423097334007, 0.5610465270020392, 0.0, 1
29, 2.8459423097334007, 0.5610465270020392, 0.0, 1
30, 2.8459423097334007, 0.5610465270020392, 0.0, 1
31, 2.8459423097334007, 0.5610465270020392, 0.0, 1
32, 2.8459423097334007, 0.5610465270020392, 0.0, 1
33, 2.8459423097334007, 0.5610465270020392, 0.0, 1
34, 2.8459423097334007, 0.5610465270020392, 0.0, 1
35, 2.8459423097334007, 0.5610465270020392, 0.0, 1
36, 2.8459423097334007, 0.5610465270020392, 0.0, 1
37, 2.8459423097334007, 0.5610465270020392, 0.0, 1
38, 2.8459423097334007, 0.5610465270020392, 0.0, 1
39, 2.8459423097334007, 0.5610465270020392, 0.0, 1
40, 2.8459423097334007, 0.5610465270020392, 0.0, 1
41, 2.8459423097334007, 0.5610465270020392, 0.0, 1
42, 2.8459423097334007, 0.5610465270020392, 0.0, 1
43, 2.8459423097334007, 0.5610465270020392, 0.0, 1
44, 2.8459423097334007, 0.5610465270020392, 0.0, 1
45, 2.8459423097334007, 0.5610465270020392, 0.0, 1
46, 2.8459423097334007, 0.5610465270020392, 0.0, 1
47, 2.8459423097334007, 0.5610465270020392, 0.0, 1
48, 2.8459423097334007, 0.5610465270020392, 0.0, 1
49, 2.8459423097334007, 0.5610465270020392, 0.0, 1
50, 2.7712537069336123, 0.8764712225538929, 1.8736376257407678e-09, 0
51, 3.3026436710767326, 0.16495489955649867, 1.5952543915153088e-09, 0
52, 3.214377698822954, 0.48677435734661256, 2.7720806233968417e-09, 0
53, 3.3845990268574995, 0.06967368845340971, 4.28339297439459e-09, 0
54, 2.806178608822405, 0.012317238599114377, 8.900867909644677e-09, 0
55, 3.4114432490827844, 0.10821578147047872, 2.0574642108406525e-08, 0
56, 3.4295037980803666, 0.11488315306248142, 3.386180295075935e-08, 0
57, 2.8855161653213135, 0.040517233752930704, 2.7207738851045664e-08, 0
58, 3.0057239909077857, 0.5512301219849796, 9.06559574011188e-08, 0
59, 2.825215790314949, 0.027573388042909874, 6.414086499175695e-08, 0
60, 1.9045464481390801, 0.04669026204064797, 2.815036519466209e-07, 0
61, 3.211263407540875, 0.16176847073128253, 1.7661504828857024e-07, 0
62, 2.814457664253362, 0.48258188265314717, 3.040690827616242e-07, 0
63, 3.057051476449593, 0.024337296573810008, 4.861870354751021e-07, 0
64, 2.703497302670726, 0.5431474493206161, 1.4138286505892729e-06, 0
65, 3.1813372258462445, 0.16191974717727486, 6.452690140775212e-07, 0
66, 2.781441617312078, 0.4651406201965502, 2.2364421828975943e-06, 0
67, 3.0960760504002307, 0.017565769058246028, 1.389720085821728e-06, 0
68, 2.3966309463240436, 0.7638833769959352, 4.052806079020843e-05, 0
69, 2.4219788137260903, 0.19239036137603516, 6.629756723090427e-06, 0
70, 1.9005137413580515, 0.030499510662072682, 0.00011215630226014416, 0
71, 2.503218541352078, 0.02024701159975503, 0.0001350935634242309, 0
72, 1.9392987124771779, 0.682458401661264, 7.05496973040144e-05, 0
73, 0.05653154398242455, 0.2556200544709628, 0.0005739925654596185, 0
74, 2.678931821107916, 0.28000498734252965, 0.00042449057644136076, 0
75, 2.3488887369806943, 0.16170791451307626, 0.0016919782849777083, 0
76, 2.765287641484065, 0.13138062712798124, 0.0021287542901967157, 0
77, 2.472337297009283, 0.17471276102545175, 0.0018513682901883685, 0
78, 2.5594023620436896, 0.18000609045711494, 0.0031830997825459183, 0
79, 1.4896845498071567, 0.023510585900124382, 0.011708963470813917, 0
80, 2.5110601355550695, 0.1627282502700377, 0.013642054328837711, 0
81, 2.3479486575737885, 0.09877872120046088, 0.03033321734048684, 0
82, 1.9320764601392255, 0.22077739441031818, 0.07442534265683874, 0
83, 2.458890511406998, 0.13621078422906857, 0.020720979762363367, 0
84, 2.540905919973512, 0.18495923496271607, 0.09361938030253177, 0
85, 2.601035989724536, 0.18599214631297273, 0.023544829909278777, 0
86, 2.656730629630083, 0.18337124648631314, 0.05838992667517208, 0
87, 2.6626403753389494, 0.2969050711783195, 0.011431593283344891, 0
88, 2.7206893230367446, 0.39415105449821775, 0.026269120334138647, 0
89, 2.5326996683487084, 0.023223926834495204, 0.019638602766561594, 0
90, 1.7885311617611184, 0.11540746728232419, 0.5908472753178712, 0
91, 2.9831215070500976, 0.05410562898324778, 0.06379849779694641, 0
92, 2.875005344523123, 0.5438295820799129, 0.12362334061193789, 0
93, 2.470136182698446, 0.18899908461720766, 0.20490796596780583, 0
94, 3.519022414598598, 0.15697656020113895, 0.5748832767506178, 0
95, 3.229498949619211, 0.4709520113860315, 0.04609380642542617, 0
96, 2.4094277086150164, 0.16892738474529956, 1.4988010386374506, 0
97, 2.0321277193367266, 1.7869501462768969, 4.16553876723668, 0
98, 3.6159023618337036, 0.08518674420162337, 6.355966637770051, 0
99, 3.0996392017178227, 0.524923107889956, 0.038452771497407626, 0
100, 2.496377785328954, 0.15129535772645106, 3.188970689946804, 0
101, 3.485014025592641, 0.21869701512986536, 0.08226626937211616, 0
102, 3.3146196021516316, 0.6974355735739093, 2.625456180317847, 0
103, 3.4110628409875865, 0.13794647624859904, 0.2056075597278809, 0
104, 3.587009483306123, 0.16860363169274592, 0.4143352042170258, 0
105, 3.0950252505085167, 0.8025885921993887, 0.05090607967994801, 0
106, 2.830397744157375, 0.8447285059389796, 0.0986375872303891, 0
107, 2.4652925311002427, 0.14977013243664838, 0.3132640077996489, 0
108, 2.2234206128289666, 0.6689535987797308, 0.3861690336244664, 0
109, 2.4624707260161727, 0.40894620320764097, 0.21433652335825842, 0
110, 2.2479858317471617, 0.7201927584493196, 0.3682419085196608, 0
111, 2.190089877550002, 0.4877903149276617, 0.458448929854037, 0
112, 3.7472247197130875, 0.14687608335842453, 0.3265592616333612, 0
113, 2.1668072708344392, 0.029018966625359077, 0.12504411676727617, 0
114, 3.0375917465058895, 1.2335651225346937, 0.06677229951701429, 0
115, 3.6220205765125426, 1.4097962355813554, 0.06535960496777814, 0
116, 3.768102706737383, 0.15810601754055112, 0.012372299247987748, 0
117, 3.4080117890791306, 0.17764133394387, 0.026451268259280868, 0
118, 4.1904893270386845, 0.02318415718346367, 0.0062705692641638645, 0
119, 2.6391178914457223, 0.16531146058166787, 0.06297487419299044, 0
120, 3.7482637847802898, 0.3418468900272239, 0.015901637173715292, 0
121, 3.0221325644468107, 0.7320049065318713, 0.002873279544434951, 0
122, 3.1549301202608766, 0.6053980746079356, 0.011658663128177253, 0
123, 0.9847424308262924, 0.2655745051557018, 0.02173476229770865, 0
124, 2.0353933121806578, 0.8282975513587636, 0.02607608987438923, 0
125, 2.235851542489005, 0.09844217322344508, 0.029196907148212176, 0
126, 2.32445268029134, 0.18110406495315096, 0.0521266635946834, 0
127, 2.4309809975402716, 0.18039311134222494, 0.07057077738334348, 0
128, 1.9944676973933548, 0.4009777635032664, 0.21447385588777135, 0
129, 1.9944676973933548, 0.4009777635032664, 0.30744248317885914, 1
130, 0.14058553123556905, 0.01725955491392006, 1.4861912975582068, 0
131, 2.3465063383389895, 0.11005363362096, 3.9089577280000842, 0
132, 2.4079670217852582, 0.12142898514875088, 1.1398674758659473, 0
133, 2.5596897672662173, 0.16432671543844374, 6.419236522994467, 0
134, 2.6939075823109957, 0.13496106283846493, 5.268172511709805, 0
135, 2.763410488876969, 0.5770040149776431, 3.619391304323272, 0
136, 3.5772091995862465, 0.12426575805377289, 7.30114895705588, 0
137, 3.3555613457760938, 0.1607085474890156, 0.42446747092112375, 0
138, 3.302414349908526, 0.40915766947867555, 2.7224461174651986, 0
139, 3.488055656770915, 0.17161111511805882, 0.04698341211053734, 0
140, 3.1439544411528924, 0.6239568785655772, 0.5527540540036691, 0
141, 3.350089845732473, 0.18664997712475773, 0.05933738055264923, 0
142, 3.0656727599832343, 0.6724111749039299, 1.6410447132980277, 0
143, 3.4603314911108543, 0.11082782160676195, 1.3037366741958927, 0
144, 3.504467047764957, 0.1538605625867422, 0.8740299500833297, 0
145, 3.1003663168669062, 0.44227937067869205, 0.15069431437284642, 0
146, 4.103990035351247, 0.03914188275562491, 1.7432186496939723, 0
147, 2.916579122530111, 0.5484168208829721, 0.010021648657372621, 0
148, 2.603562028849415, 0.07399635623793376, 2.1369654998146825, 0
149, 3.003782193776234, 0.47108918423043167, 0.015600019982626235, 0
150, 2.5638762262525474, 0.2905803556876553, 0.07524221516536285, 0
151, 2.693969498590858, 0.1653121050552769, 0.015395207859660332, 0
152, 2.546421752838789, 0.16592697670074916, 0.12359889241689152, 0
153, 2.9563600579372915, 0.33807748193427317, 0.023950937205512675, 0
154, 2.6181491482040604, 0.40181122154013654, 0.09853470218473881, 0
155, 2.9150406476735102, 0.4872776653973627, 0.00171435582044621, 0
156, 3.0934094274095694, 0.7820960500997953, 0.005945018867805808, 0
157, 2.8461208970376126, 0.7101745346413233, 0.0017378294915356186, 0
158, 2.5029304345901866, 0.05168172807041181, 0.004884339273635329, 0
159, 2.5872297487925935, 0.1748963638253436, 0.002493623990999576, 0
160, 2.952872030283876, 0.7930825185795901, 0.0012475753154023795, 0
161, 2.514821033829981, 0.13418267256043834, 0.0005776733469106091, 0
162, 3.6992632335239377, 0.19954437676677883, 0.005255332169793642, 0
163, 3.431272392156511, 0.3386734574217673, 0.0024777671693614147, 0
164, 2.9334323040020727, 0.7469855986007425, 0.00019988686455745536, 0
165, 3.3165178255652163, 0.7514765440656022, 0.00042635879668749636, 0
166, 3.3012143877058686, 0.36061618474341, 0.00036674316246226813, 0
167, 2.494907569377847, 0.046126401352051705, 8.173086866559157e-05, 0
168, 2.0937874158751852, 0.5093626956865153, 0.0002256385402247843, 0
169, 2.5737320236803782, 0.1362839698112741, 2.0958940213626232e-05, 0
170, 3.093492441059811, 0.3741338241018415, 1.1395812827769344e-05, 0
171, 2.4046965115260113, 0.35663205414234533, 3.905474875760019e-06, 0
172, 3.372068704261456, 0.7411642914703876, 1.2227518669730536e-05, 0
173, 3.098175189848938, 0.3413572897826538, 1.1492174490633776e-06, 0
174, 3.1409096367173728, 0.5248472099399762, 3.7525681838811326e-06, 0
175, 3.1444886075467555, 0.318723400309741, 9.30791492148485e-07, 0
176, 3.2629668017069404, 0.7220110797014923, 3.2768306522637368e-06, 0
177, 3.2497634523144048, 0.16417821670382082, 7.765066896497631e-07, 0
178, 2.8060876726876227, 0.12159982445448825, 2.1523947625514068e-06, 0
179, 3.134417532670165, 0.362711506767577, 2.792795483018529e-07, 0
180, 4.9988519194163406, 2.9987203839463135, 4.523737293617178e-07, 0
181, 3.1965632567716176, 0.7266726556022236, 9.117428058821776e-08, 0
182, 4.995350404092923, 2.99987200685589, 3.0280264319164014e-07, 0
183, 4.993469510824024, 2.1655244729884404, 2.4871847173237872e-08, 0
184, 4.044312608508135, 0.6653001477122461, 5.664422440986599e-08, 0
185, 4.999049364949402, 2.9970540224191673, 3.8695139182051254e-08, 0
186, 4.9994309719080565, 2.031673031521489, 2.241967599478485e-09, 0
187, 3.288239823391115, 0.5315448974012313, 7.540512886183844e-09, 0
188, 4.999744544347464, 2.6186667229375002, 9.501738777928235e-09, 0
189, 4.247179595355064, 1.248281116308153, 2.773823875990669e-10, 0
190, 4.999939732825229, 1.5143368794982397, 4.092003566204107e-11, 0
191, 2.6056398389544184, 0.17744897689713768, 8.302567895074247e-11, 0
192, 1.736883216059823, 0.1888230133765425, 1.0460712140835854e-10, 0
193, 1.736883216059823, 0.1888230133765425, 2.5147999998412526e-10, 1
194, 1.736883216059823, 0.1888230133765425, 0.0, 1
