A, mu, sigma, chi2, flag
1, 2.8459423097334007, 0.5610465270020392, 0.0, 0
2, 2.8459423097334007, 0.5610465270020392, 0.0, 1
3, 2.8459423097334007, 0.5610465270020392, 0.0, 1
4, 2.8459423097334007, 0.5610465270020392, 0.0, 1
5, 2.8459423097334007, 0.5610465270020392, 0.0, 1
6, 2.8459423097334007, 0.5610465270020392, 0.0, 1
7, 2.8459423097334007, 0.5610465270020392, 0.0, 1
8, 2.8459423097334007, 0.5610465270020392, 0.0, 1
9, 2.8459423097334007, 0.5610465270020392, 0.0, 1
10, 2.8459423097334007, 0.5610465270020392, 0.0, 1
11, 2.8459423097334007, 0.5610465270020392, 0.0, 1
12, 2.8459423097334007, 0.5610465270020392, 0.0, 1
13, 2.8459423097334007, 0.5610465270020392, 0.0, 1
14, 2.8459423097334007, 0.5610465270020392, 0.0, 1
15, 2.8459423097334007, 0.5610465270020392, 0.0, 1
16, 2.8459423097334007, 0.5610465270020392, 0.0, 1
17, 2.8459423097334007, 0.5610465270020392, 0.0, 1
18, 2.8459423097334007, 0.5610465270020392, 0.0, 1
19, 2.8459423097334007, 0.5610465270020392, 0.0, 1
20, 2.8459423097334007, 0.5610465270020392, 0.0, 1
21, 2.8459423097334007, 0.5610465270020392, 0.0, 1
22, 2.8459423097334007, 0.5610465270020392, 0.0, 1
23, 2.8459423097334007, 0.5610465270020392, 0.0, 1
24, 2.8459423097334007, 0.5610465270020392, 0.0, 1
25, 2.8459423097334007, 0.5610465270020392, 0.0, 1
26, 2.8459423097334007, 0.5610465270020392, 0.0, 1
27, 2.8459423097334007, 0.5610465270020392, 0.0, 1
28, 2.8459423097334007, 0.5610465270020392, 0.0, 1
29, 2.8459423097334007, 0.5610465270020392, 0.0, 1
30, 2.8459423097334007, 0.5610465270020392, 0.0, 1
31, 2.8459423097334007, 0.5610465270020392, 0.0, 1
32, 2.8459423097334007, 0.5610465270020392, 0.0, 1
33, 2.8459423097334007, 0.5610465270020392, 0.0, 1
34, 2.8459423097334007, 0.5610465270020392, 0.0, 1
35, 2.8459423097334007, 0.5610465270020392, 0.0, 1
36, 2.8459423097334007, 0.5610465270020392, 0.0, 1
37, 2.8459423097334007, 0.5610465270020392, 0.0, 1
38, 2.8459423097334007, 0.5610465270020392, 0.0, 1
39, 2.8459423097334007, 0.5610465270020392, 0.0, 1
40, 2.8459423097334007, 0.5610465270020392, 0.0, 1
41, 2.8459423097334007, 0.5610465270020392, 0.0, 1
42, 2.8459423097334007, 0.5610465270020392, 0.0, 1
43, 2.8459423097334007, 0.5610465270020392, 0.0, 1
44, 2.8459423097334007, 0.5610465270020392, 0.0, 1
45, 2.8459423097334007, 0.5610465270020392, 0.0, 1
46, 2.8459423097334007, 0.5610465270020392, 0.0, 1
47, 2.8459423097334007, 0.5610465270020392, 0.0, 1
48, 2.8459423097334007, 0.5610465270020392, 0.0, 1
49, 2.8459423097334007, 0.5610465270020392, 0.0, 1
50, 2.2891865566144762, 0.19340808861687409, 1.4529290185902427e-09, 0
51, 3.174617688313922, 0.18819288414306845, 4.603561290559805e-09, 0
52, 2.2397186854602262, 0.7260510690931443, 6.9533238557872005e-09, 0
53, 2.173057787081163, 0.6357776951235383, 2.553742264267734e-08, 0
54, 2.186411619035945, 0.547817157592307, 1.0704463588015456e-07, 0
55, 1.0825733841667475, 0.05108390734648838, 1.106909136342637e-07, 0
56, 2.5122943635098154, 0.10672417701064107, 4.1840287554198416e-08, 0
57, 2.3910499169364137, 0.18442807949674855, 2.3742895396811084e-07, 0
58, 1.1017380084101374, 0.01826920637457219, 7.992243063071188e-07, 0
59, 2.840442416615881, 0.3145061181274671, 6.856934375984537e-08, 0
60, 2.0597705985976, 0.03118938745463984, 1.6599242756001498e-06, 0
61, 2.9496242169126257, 0.36023082869508394, 8.486714004912312e-07, 0
62, 2.448759085463448, 0.18067313061238321, 6.860190154565566e-07, 0
63, 2.518979753905086, 0.2427800315555695, 1.9206005623407715e-06, 0
64, 2.4184070210583672, 0.20091158785356877, 2.6562052760184477e-06, 0
65, 2.656118310279983, 1.0849634860806505, 3.6054013061777656e-05, 0
66, 2.7037481598442485, 0.3768995408850506, 2.4180983078453703e-06, 0
67, 3.8514365799837678, 0.0188256138799634, 2.3422140893590618e-05, 0
68, 2.9973247084950776, 0.03340846376636142, 5.684782111533603e-05, 0
69, 2.422661167538321, 0.04690873341050161, 3.301578963884514e-05, 0
70, 0.9356753509249776, 0.02473005540821327, 0.0005884711316701053, 0
71, 2.3286472283629536, 0.150347788963195, 0.0003930802180360001, 0
72, 2.3716656419867372, 0.17951229492473675, 1.4089399715539324e-05, 0
73, 1.410907757460765, 0.03691905887617031, 0.0006243243772775334, 0
74, 1.552854840532228, 0.2209077144279854, 0.0024305151575798865, 0
75, 2.652032722823275, 0.17479068426028552, 0.00656072342627051, 0
76, 2.792527744260975, 0.3865904056147104, 0.00038816846857864424, 0
77, 2.6872783252886037, 0.4899864100066364, 0.0008429192993503814, 0
78, 3.3312907895257005, 0.14384476304191074, 0.001824149536474556, 0
79, 1.4208835522808438, 0.10765012597717682, 0.03522823105250299, 0
80, 2.5723215866340343, 0.1700494201649736, 0.004459176697055339, 0
81, 2.1434959019632163, 0.030420487747971015, 0.019026472020272345, 0
82, 2.7562922607565503, 0.09429925837974837, 0.06644742247547727, 0
83, 2.6399836219899226, 0.14706819469283255, 0.025984910693935274, 0
84, 2.5415720186480883, 0.12270514881640107, 0.07327996243360135, 0
85, 3.164667597966913, 0.024614645539949853, 0.025565986992902398, 0
86, 2.748020378910409, 0.1418010674194053, 0.03459402842200996, 0
87, 2.975375340899497, 0.5776354768788635, 0.08069197289255588, 0
88, 2.939210704516174, 0.2242369855428491, 0.039445675154491794, 0
89, 2.7369562578486613, 0.32967537514259343, 0.05568106042897278, 0
90, 1.5198710626658916, 0.12389227912479565, 0.6527114200020961, 0
91, 3.1540235050427037, 0.03538239223180639, 0.10660422228754521, 0
92, 3.2561783061467464, 0.1308933150669578, 0.028919236638317015, 0
93, 2.5038906474432454, 0.17359471527146003, 0.6384689049865262, 0
94, 3.4299753670472874, 0.18641924642986452, 0.18699493970195524, 0
95, 3.503735032432511, 0.04454020244328137, 0.07988706496077859, 0
96, 3.9334610223800905, 0.021615052944390367, 1.9021083396454344, 0
97, 2.6669720193671487, 1.616728784874022, 3.420131766153403, 0
98, 3.5550950631899045, 0.11541684413108226, 5.437002248549694, 0
99, 3.3582992123166258, 0.301513710354252, 0.10197538524536776, 0
100, 2.41276569700883, 0.16867504884882517, 3.9531052258642387, 0
101, 3.673135183831929, 0.11515573751735425, 0.08454151135441847, 0
102, 3.632904494905248, 0.11287789251615385, 0.34522502454246234, 0
103, 3.5711649696824055, 0.13343746099693854, 0.21252586363322407, 0
104, 4.007204767308575, 0.5520646060296784, 0.12799811284167378, 0
105, 3.6249329025676587, 0.6187796563594627, 0.22374995450474627, 0
106, 3.165566223481093, 0.6597935584436618, 0.17792785725800697, 0
107, 2.647075199564108, 0.5250239596666536, 0.31499697905268376, 0
108, 2.404519387947593, 0.1232327190959781, 0.4930706706400994, 0
109, 2.664664563778887, 0.5499601395035811, 0.02918750221277413, 0
110, 2.443947207041767, 0.19774328651510117, 0.14507056467882265, 0
111, 2.179485806643424, 0.5378975327229388, 0.16532605658803753, 0
112, 3.322132677383075, 1.5252292421575169, 0.2545672262029339, 0
113, 2.21855872350719, 0.029896163490499728, 0.05322080878165228, 0
114, 2.451955960350247, 0.08884727867009043, 0.17633841398914923, 0
115, 2.451955960350247, 0.08884727867009043, 1.3330057748824682, 1
116, 3.7196193439988052, 0.10578220790822418, 0.027680463163588617, 0
117, 4.474513569324053, 0.05938829569060364, 0.035343110838718744, 0
118, 4.129402336423108, 0.04137625516376042, 0.002034700106647316, 0
119, 4.45406099997073, 0.19436367950090652, 0.021683502870942336, 0
120, 3.8778301376364883, 0.04205766244674458, 0.0012651517442726847, 0
121, 3.605699783034949, 0.08379613558200019, 0.01060987331195839, 0
122, 3.6603782704407677, 0.1714973215701197, 0.002409079766385235, 0
123, 3.5898645673706646, 0.09901018758587932, 0.02172694994080545, 0
124, 2.3449932025220197, 0.17366090805708362, 0.04726800155173559, 0
125, 2.7366441916277213, 0.6675172300791095, 0.0922169138010104, 0
126, 2.3820724489764564, 0.12363863690221441, 0.21598437819000219, 0
127, 2.7665446792039963, 0.514994604030218, 0.11933834840205249, 0
128, 1.403123403926436, 0.14400875374066732, 0.0786729485872042, 0
129, 2.2944361415159777, 0.1340115589892541, 0.48961787103026944, 0
130, 2.6056576408765872, 0.1669593835407989, 1.691763842432903, 0
131, 1.9577392158061775, 0.015668903878784946, 0.7896096368462557, 0
132, 2.5845896946317315, 0.15478272824485237, 0.743472962972663, 0
133, 2.645013411634597, 0.175490299398554, 1.5745129821644328, 0
134, 2.4567323304950124, 0.16617776132077255, 0.8115525208732024, 0
135, 3.1336206460581133, 0.024861270467786634, 3.1841779227001688, 0
136, 4.124377872331088, 0.037569784005807794, 2.6480297096154026, 0
137, 3.5672075770686518, 0.1498929694143112, 0.477838800524279, 0
138, 3.6563885801129965, 0.17049450959249512, 0.11496750552539459, 0
139, 3.5617495055959796, 0.03458705531496883, 0.06679978694549428, 0
140, 3.693682611855435, 0.36892372534335016, 0.44498660768893905, 0
141, 3.6181283855489914, 0.13419434727629082, 0.7715880968938074, 0
142, 3.4825749354076385, 0.1388850485050727, 0.19606663913739816, 0
143, 3.537488963996249, 0.7586175723696903, 1.1453856000743603, 0
144, 3.523067073301687, 0.17439952619159124, 0.9162988456200409, 0
145, 3.58356706347114, 0.11159292261094522, 0.4742160208929117, 0
146, 3.7736517107557157, 0.10154067786509838, 0.659133523152572, 0
147, 3.4349492842534346, 0.16012088340116487, 0.2738725629380593, 0
148, 2.4468405011225682, 0.19236647537085072, 2.0820054060472204, 0
149, 3.4119720335050245, 0.09865683249083017, 0.013969539055875712, 0
150, 3.0539591273735653, 0.21084515152174757, 0.02592021182110492, 0
151, 3.059919707859775, 0.8821267355655072, 0.2222252217720723, 0
152, 2.531846917924617, 0.12366266922505652, 0.27873492794454147, 0
153, 3.056370632477413, 0.503057156931145, 0.027027687790714353, 0
154, 3.7531683210338507, 0.6095849058942293, 0.13682978494061235, 0
155, 3.2305375344358094, 0.32750615428650126, 0.005489136661559958, 0
156, 3.086552833522662, 0.5590520882882721, 0.0014213206955541935, 0
157, 3.4551641735309357, 0.6282842348318392, 0.02091644207460211, 0
158, 3.0585973295417914, 0.8646236703747936, 0.002154410459227212, 0
159, 3.2459895622940924, 0.5424324758857968, 0.009153741923670368, 0
160, 2.721601578810125, 0.4281655553931371, 0.0009211114788796962, 0
161, 3.0073536939597685, 0.49493318556456345, 0.0024354488693299065, 0
162, 2.5105699261689054, 0.14213218687900836, 0.0015734749283256432, 0
163, 3.6634429364362973, 0.15703381520474902, 0.0041010512706896145, 0
164, 3.2828841363905763, 0.27065771718192366, 0.0017449373105452729, 0
165, 3.1578920716846444, 0.45494469061084963, 0.00024431013430609806, 0
166, 2.951188085798894, 0.5852677606466737, 0.0002127050110441093, 0
167, 2.410920285574615, 0.16821742194615436, 0.00012502578894711629, 0
168, 2.460340893761707, 0.552538832240167, 0.0003073515333366576, 0
169, 3.213801105360172, 0.02614156616249219, 0.00020366326753798217, 0
170, 3.3378873684072676, 0.6964378334409194, 5.6822013624008564e-05, 0
171, 1.8239040384284384, 0.025666638473754277, 9.814177195219861e-05, 0
172, 2.902070133555677, 0.04409326940101721, 0.00014055397458750905, 0
173, 3.413690685582634, 0.558513494279277, 1.0543595626085927e-05, 0
174, 3.303579711086896, 0.09017535583856917, 8.308333829862826e-05, 0
175, 3.265819361010877, 0.02795003474216906, 6.836016922195391e-06, 0
176, 3.762313672177407, 0.12264467064088147, 1.0295003655428998e-05, 0
177, 2.747714955284639, 0.06773340027554897, 3.946910997434432e-06, 0
178, 2.5645020281371878, 0.1595844446184833, 1.825761864183476e-06, 0
179, 2.6162400749928634, 0.14279967292749274, 2.6568613238580998e-06, 0
180, 3.4718832738768017, 0.8340712662859213, 1.9495760510983835e-07, 0
181, 2.5271712845228267, 0.12468807658095415, 1.7444696003761498e-06, 0
182, 3.2233114683123922, 1.2229902158384618, 2.573440661809862e-08, 0
183, 2.6776772540578104, 0.2674443807072868, 6.298380496317073e-07, 0
184, 3.2348114975125966, 0.01927255418315066, 3.4492173965162954e-07, 0
185, 2.603862796913628, 0.26872250209692083, 5.051445805003287e-08, 0
186, 2.622999119130612, 0.1718909999926348, 8.97251996118805e-08, 0
187, 2.594079844559791, 0.19403719918366358, 1.1407766029516551e-07, 0
188, 2.4583677401280224, 0.11718254155411367, 2.8055521108425087e-08, 0
189, 2.5204585019176355, 0.2065542152762776, 4.093575513508004e-08, 0
190, 3.3356771960633758, 0.5078442796102285, 2.068861184259141e-09, 0
191, 2.510250892892912, 0.2013408670865764, 1.0251176788144375e-08, 0
192, 2.403379720685855, 0.1175247894247804, 1.0776740975266412e-09, 0
193, 1.5867022276310174, 0.2092571542797732, 8.248952270880886e-09, 0
194, 0.3200049173251398, 1.4530382148995202, 2.7878179793422567e-09, 0
195, 0.3200049173251398, 1.4530382148995202, 0.0, 1
196, 0.3200049173251398, 1.4530382148995202, 0.0, 1
197, 0.3200049173251398, 1.4530382148995202, 0.0, 1
198, 0.3200049173251398, 1.4530382148995202, 0.0, 1
199, 0.3200049173251398, 1.4530382148995202, 0.0, 1
200, 0.3200049173251398, 1.4530382148995202, 0.0, 1
