A, mu, sigma, chi2, flag
1, 2.8459423097334007, 0.5610465270020392, 0.0, 0
2, 2.8459423097334007, 0.5610465270020392, 0.0, 1
3, 2.8459423097334007, 0.5610465270020392, 0.0, 1
4, 2.8459423097334007, 0.5610465270020392, 0.0, 1
5, 2.8459423097334007, 0.5610465270020392, 0.0, 1
6, 2.8459423097334007, 0.5610465270020392, 0.0, 1
7, 2.8459423097334007, 0.5610465270020392, 0.0, 1
8, 2.8459423097334007, 0.5610465270020392, 0.0, 1
9, 2.8459423097334007, 0.5610465270020392, 0.0, 1
10, 2.8459423097334007, 0.5610465270020392, 0.0, 1
11, 2.8459423097334007, 0.5610465270020392, 0.0, 1
12, 2.8459423097334007, 0.5610465270020392, 0.0, 1
13, 2.8459423097334007, 0.5610465270020392, 0.0, 1
14, 2.8459423097334007, 0.5610465270020392, 0.0, 1
15, 2.8459423097334007, 0.5610465270020392, 0.0, 1
16, 2.8459423097334007, 0.5610465270020392, 0.0, 1
17, 2.8459423097334007, 0.5610465270020392, 0.0, 1
18, 2.8459423097334007, 0.5610465270020392, 0.0, 1
19, 2.8459423097334007, 0.5610465270020392, 0.0, 1
20, 2.8459423097334007, 0.5610465270020392, 0.0, 1
21, 2.8459423097334007, 0.5610465270020392, 0.0, 1
22, 2.8459423097334007, 0.5610465270020392, 0.0, 1
23, 2.8459423097334007, 0.5610465270020392, 0.0, 1
24, 2.8459423097334007, 0.5610465270020392, 0.0, 1
25, 2.8459423097334007, 0.5610465270020392, 0.0, 1
26, 2.8459423097334007, 0.5610465270020392, 0.0, 1
27, 2.8459423097334007, 0.5610465270020392, 0.0, 1
28, 2.8459423097334007, 0.5610465270020392, 0.0, 1
29, 2.8459423097334007, 0.5610465270020392, 0.0, 1
30, 2.8459423097334007, 0.5610465270020392, 0.0, 1
31, 2.8459423097334007, 0.5610465270020392, 0.0, 1
32, 2.8459423097334007, 0.5610465270020392, 0.0, 1
33, 2.8459423097334007, 0.5610465270020392, 0.0, 1
34, 2.8459423097334007, 0.5610465270020392, 0.0, 1
35, 2.8459423097334007, 0.5610465270020392, 0.0, 1
36, 2.8459423097334007, 0.5610465270020392, 0.0, 1
37, 2.8459423097334007, 0.5610465270020392, 0.0, 1
38, 2.8459423097334007, 0.5610465270020392, 0.0, 1
39, 2.8459423097334007, 0.5610465270020392, 0.0, 1
40, 2.8459423097334007, 0.5610465270020392, 0.0, 1
41, 2.8459423097334007, 0.5610465270020392, 0.0, 1
42, 2.8459423097334007, 0.5610465270020392, 0.0, 1
43, 2.8459423097334007, 0.5610465270020392, 0.0, 1
44, 2.8459423097334007, 0.5610465270020392, 0.0, 1
45, 2.8459423097334007, 0.5610465270020392, 0.0, 1
46, 2.8459423097334007, 0.5610465270020392, 0.0, 1
47, 2.8459423097334007, 0.5610465270020392, 0.0, 1
48, 2.8459423097334007, 0.5610465270020392, 0.0, 1
49, 2.8459423097334007, 0.5610465270020392, 0.0, 1
50, 2.8459423097334007, 0.5610465270020392, 0.0, 1
51, 2.8459423097334007, 0.5610465270020392, 0.0, 1
52, 1.328239104606874, 1.5245095511721574, 1.3996944641423909e-10, 0
53, 1.328239104606874, 1.5245095511721574, 5.784717546884092e-12, 1
54, 0.4390211612283945, 1.7688945198453991, 4.060859004037876e-10, 0
55, 1.8630740800053833, 0.1378012635699053, 1.140484017267503e-09, 0
56, 0.7554453038999038, 1.764081312538781, 4.925879793944927e-10, 0
57, 2.677683349492337, 0.16871941205498264, 6.34964882011827e-10, 0
58, 1.8930907581726002, 0.03288397805190324, 8.746471068922359e-09, 0
59, 3.0257995201531274, 0.619075976376639, 1.614871388299699e-08, 0
60, 0.0843903569992217, 0.03198154625690908, 6.167241845292499e-08, 0
61, 2.7189652363236707, 0.6766428726202157, 1.8586962547645037e-08, 0
62, 3.063170085701689, 0.39603215050344187, 9.429738635423538e-09, 0
63, 2.8205331676485628, 0.5843935735369771, 1.715494964306594e-08, 0
64, 2.936930149853428, 0.4065307686642241, 2.3669940148030334e-08, 0
65, 3.0762966619969427, 0.4615605426599012, 2.969051217867106e-08, 0
66, 2.9953084352718067, 0.5841397096340235, 1.4817434552710854e-07, 0
67, 2.9607113261422224, 0.6618133393428665, 2.1994674456215602e-07, 0
68, 2.6015315653025275, 0.8760733159498749, 5.245397121331097e-06, 0
69, 2.644920236346617, 0.2239433440187748, 5.171179475107178e-06, 0
70, 2.5379160000645364, 0.16593687143483482, 2.512448324457214e-05, 0
71, 3.084588383431118, 0.021302754061508056, 7.038760754097114e-06, 0
72, 3.5019522648156913, 0.11361809838602244, 1.101971659279155e-06, 0
73, 2.444219469988524, 0.10239745502750641, 0.00010427160960165616, 0
74, 3.373965729385672, 0.16403051738905328, 2.5407604782887147e-05, 0
75, 3.3374375047537583, 0.20187850120685358, 8.140324051456498e-05, 0
76, 3.562273052487745, 0.35501844707221863, 2.5291569689696312e-05, 0
77, 3.5040933909182748, 0.06912502637890405, 9.227284805461345e-05, 0
78, 3.5497442320223893, 0.05449199885872669, 8.367571822387671e-05, 0
79, 1.6696974416399375, 0.07073484949792695, 0.014431888115725554, 0
80, 3.6614921602368127, 0.5491053068879177, 0.007400898757578774, 0
81, 2.920202910576712, 0.5466554437515769, 0.006377813590940906, 0
82, 4.375417358883904, 0.059523653727178355, 0.017016891248505108, 0
83, 3.637759647243051, 0.1239485955865502, 0.016715351320949395, 0
84, 3.3661872243655155, 0.15812455779002518, 0.031024628041320928, 0
85, 3.363533224907169, 0.17239911234515318, 0.027687006915110345, 0
86, 3.430708938392714, 0.056884165106637574, 0.037141405340065464, 0
87, 3.537187114253567, 0.0724035068101699, 0.01324130534827545, 0
88, 3.5084196011682516, 0.19416957474427543, 0.0876879084428322, 0
89, 3.486611931295087, 0.1586437101898386, 0.016019753899524796, 0
90, 2.4717356260325736, 0.031057190722609183, 0.5241908544134981, 0
91, 3.4650950540795074, 0.13027787996891405, 0.09471342510094613, 0
92, 3.5322774849881577, 0.06110619815147181, 0.06354141364958713, 0
93, 3.2929479202467746, 0.15347018867531248, 0.36668045261288024, 0
94, 3.5760025187816815, 0.36550993953730115, 0.1659549228651643, 0
95, 3.7767094862949295, 0.5612488614166411, 0.1522117865945743, 0
96, 3.4088195483980295, 0.16706958443510364, 0.44103005127436945, 0
97, 3.8453272095909443, 1.1095106881917398, 2.898098900141588, 0
98, 4.212024488274159, 0.10612246849713385, 2.688344090364208, 0
99, 3.6241926675881637, 0.16026821086095713, 0.23910629242664644, 0
100, 3.2011765279889337, 0.03540543303556598, 1.4767454882648106, 0
101, 4.0727047554433184, 0.5113502377362831, 0.14877405486407114, 0
102, 4.01827613656707, 0.7313511767161525, 1.4062148061496804, 0
103, 3.892534600835668, 0.6401495495141778, 1.2026932462008029, 0
104, 4.180396782116213, 0.623395783268735, 0.046461871473645035, 0
105, 3.9480068908164254, 0.8690328848576794, 0.8503379207839408, 0
106, 3.6312827315007747, 0.6774749361764945, 0.258211231667389, 0
107, 3.4589473816958356, 0.8294164836717802, 0.019429276114469624, 0
108, 3.0463579449471028, 0.3453941820857239, 0.27471419254717017, 0
109, 2.5182090269593242, 0.15107339097478237, 0.39063945105288594, 0
110, 2.838495810732736, 0.6434364948465808, 0.06038640281543655, 0
111, 2.9938837601594237, 0.4417664470842854, 0.3483503071727313, 0
112, 2.755253477166728, 0.14272600182263137, 0.24050752154513672, 0
113, 2.722783264414956, 0.14010530336208282, 0.10532301590533513, 0
114, 2.719617303883074, 0.14055954498313436, 0.09119832667507867, 0
115, 4.429283001880886, 0.16459425877780876, 0.08415569054116394, 0
116, 4.186734388234941, 0.7489061877385021, 0.03217983416281909, 0
117, 4.590380178193823, 0.2848762897816462, 0.00010789866133838807, 0
118, 3.848653151063334, 0.13618812619751441, 0.0026544951008953795, 0
119, 3.0301248320500767, 0.10851191128377069, 0.04925302234840204, 0
120, 3.0301248320500767, 0.10851191128377069, 9.772662749939172, 1
121, 4.9555341086326345, 0.04705149261786978, 0.19308117982075182, 0
122, 4.964177332652656, 0.03031918155084279, 0.22117162986275749, 0
123, 3.3734654023770294, 0.18877061087773328, 0.0058218384362421945, 0
124, 3.6482881897896156, 0.23908306095226314, 0.0028371604779303923, 0
125, 3.4156453507279743, 0.05784775401395778, 0.009959729528924087, 0
126, 2.691726068067547, 0.4763769244963618, 0.023460746720681904, 0
127, 2.2393919360020362, 0.7381049359458977, 0.10931637422094814, 0
128, 2.438781126687262, 0.1608967064458333, 0.04816115958031196, 0
129, 2.710745633036729, 0.13691313068637612, 0.24241963165276348, 0
130, 2.4899873203260485, 0.03060131548958104, 0.24450554511180167, 0
131, 1.201252094991617, 1.296681071800059, 1.1025333577270406, 0
132, 2.970080655937004, 0.05872291073880587, 0.6732293324251245, 0
133, 2.4909920419756997, 0.7454866912182831, 2.400979094487536, 0
134, 2.725571806349311, 0.015327524082913158, 0.6083243770607105, 0
135, 2.810659524447809, 0.022243924125074033, 2.0046812444096966, 0
136, 3.7051076168622883, 0.805066047369832, 8.378370291464819, 0
137, 3.5904866063153236, 0.048586018204518855, 0.8997394556444767, 0
138, 3.8810241730802435, 0.5546359158242701, 1.7867595458963383, 0
139, 4.214295912338355, 0.5325259169596216, 0.7423225861975037, 0
140, 4.151872926423291, 0.3331263763351315, 0.14887511087295177, 0
141, 4.080798421152188, 0.669943613755135, 1.4600031161517149, 0
142, 4.268224367001311, 0.28502174180328615, 0.3073958928421541, 0
143, 3.5226491528600676, 0.13534361660250527, 0.5795331209919039, 0
144, 3.9947162709222432, 0.4133397108554542, 1.1263418940846308, 0
145, 4.26290623981387, 0.422454365585044, 0.765961736608763, 0
146, 4.112913598714492, 0.6536867648356391, 0.24431225973866097, 0
147, 3.522902131604125, 0.18379969085571407, 0.07266809888315022, 0
148, 3.0061173502177816, 0.04593415057772399, 0.7435337815876752, 0
149, 3.73290630992692, 0.14826257693222028, 0.06970951830175981, 0
150, 3.732357158563874, 0.3751395365610519, 0.04599399190239675, 0
151, 3.508968724779693, 0.1164214454070309, 0.1189540239829684, 0
152, 3.5113120392949555, 0.19636450155989948, 0.42660090826047153, 0
153, 3.771664582519035, 0.49257982473682677, 0.05259792272766506, 0
154, 3.7526984451038783, 0.1542132175877697, 0.0225807379568963, 0
155, 3.625943151657571, 0.13189149472686756, 0.018891286530657247, 0
156, 3.7344110169400926, 0.4940869335370993, 0.0046922492588865345, 0
157, 4.154411318860077, 0.6405240028501269, 0.06026252673562639, 0
158, 4.320638589010082, 0.6187094188250559, 0.020098488630905426, 0
159, 4.312815685032166, 0.6967291600413876, 0.025163929657906942, 0
160, 3.7630954749060126, 0.447765041437505, 0.0020728802009242057, 0
161, 4.600294112107816, 0.16362236242324935, 0.0004149416096340281, 0
162, 4.12469975230219, 0.8186518966178101, 0.0018285347459742471, 0
163, 3.7028597568984494, 0.1334936670315665, 4.015390204204402e-05, 0
164, 3.829021315007539, 0.4369315728814933, 5.0989978667492027e-05, 0
165, 3.7932168582243433, 0.4407370818090657, 6.080902070436638e-05, 0
166, 3.562292266941387, 0.09235675001152899, 5.932950084145377e-05, 0
167, 3.688069665998222, 0.4349970174899198, 1.014449282746206e-06, 0
168, 3.3909866521562155, 0.1868712155653265, 3.3000241280827846e-05, 0
169, 3.5841362903902834, 0.056701026923498654, 1.7280361710389174e-05, 0
170, 3.7767300353538946, 0.5789402522308061, 2.876502937074286e-06, 0
171, 3.349499315431963, 0.4122756407044075, 1.5707703333540917e-06, 0
172, 3.078275673579427, 0.46972820620587297, 2.4730727605222563e-06, 0
173, 3.298215630477149, 0.5556151276140036, 2.995369905003823e-06, 0
174, 3.4621083885173807, 0.46250101509951747, 1.1877395481155647e-06, 0
175, 3.4654717353728515, 0.08081214472958931, 3.9702005038945216e-07, 0
176, 3.5925594938511516, 0.6622412675264547, 2.73704615660597e-07, 0
177, 3.43383017158301, 0.09318143104159726, 5.9514360814867707e-08, 0
178, 3.1023509378645517, 0.011329945117544371, 3.8649756952536314e-08, 0
179, 3.020708574626064, 0.05869049720901853, 4.6362769385378086e-08, 0
180, 3.978903490116126, 1.321054835808651, 9.978705977927061e-09, 0
181, 3.3049238572459916, 0.010892156909242834, 3.694620204574495e-08, 0
182, 3.461208717746248, 1.2811894797753303, 8.335252670546278e-10, 0
183, 2.4981337807974713, 0.4599327235239088, 1.1713054272760002e-08, 0
184, 3.5333727146684604, 0.1131238959328491, 7.637012038375365e-09, 0
185, 2.7384024013898878, 0.16544737540087184, 6.086221860351616e-10, 0
186, 2.7572926496374355, 0.17961730052606328, 2.383632460472354e-09, 0
187, 2.581620429499242, 0.19559413833626138, 2.212394719450825e-09, 0
188, 2.651195127116607, 0.1765514992958228, 8.701876918722154e-10, 0
189, 2.5478428565643947, 0.3063712479620002, 7.740359026700658e-10, 0
190, 3.381190774341397, 0.05135645420402013, 4.9477742936551165e-11, 0
191, 1.7922262329498033, 0.01672416388729303, 1.8651937670544914e-10, 0
192, 1.2115791795746849, 0.019840389161134953, 3.4837512171372905e-11, 0
193, 0.14481395925638862, 0.022340382794705516, 4.495946251129173e-11, 0
