A, mu, sigma, chi2, flag
1, 2.8459423097334007, 0.5610465270020392, 0.0, 0
2, 2.8459423097334007, 0.5610465270020392, 0.0, 1
3, 2.8459423097334007, 0.5610465270020392, 0.0, 1
4, 2.8459423097334007, 0.5610465270020392, 0.0, 1
5, 2.8459423097334007, 0.5610465270020392, 0.0, 1
6, 2.8459423097334007, 0.5610465270020392, 0.0, 1
7, 2.8459423097334007, 0.5610465270020392, 0.0, 1
8, 2.8459423097334007, 0.5610465270020392, 0.0, 1
9, 2.8459423097334007, 0.5610465270020392, 0.0, 1
10, 2.8459423097334007, 0.5610465270020392, 0.0, 1
11, 2.8459423097334007, 0.5610465270020392, 0.0, 1
12, 2.8459423097334007, 0.5610465270020392, 0.0, 1
13, 2.8459423097334007, 0.5610465270020392, 0.0, 1
14, 2.8459423097334007, 0.5610465270020392, 0.0, 1
15, 2.8459423097334007, 0.5610465270020392, 0.0, 1
16, 2.8459423097334007, 0.5610465270020392, 0.0, 1
17, 2.8459423097334007, 0.5610465270020392, 0.0, 1
18, 2.8459423097334007, 0.5610465270020392, 0.0, 1
19, 2.8459423097334007, 0.5610465270020392, 0.0, 1
20, 2.8459423097334007, 0.5610465270020392, 0.0, 1
21, 2.8459423097334007, 0.5610465270020392, 0.0, 1
22, 2.8459423097334007, 0.5610465270020392, 0.0, 1
23, 2.8459423097334007, 0.5610465270020392, 0.0, 1
24, 2.8459423097334007, 0.5610465270020392, 0.0, 1
25, 2.8459423097334007, 0.5610465270020392, 0.0, 1
26, 2.8459423097334007, 0.5610465270020392, 0.0, 1
27, 2.8459423097334007, 0.5610465270020392, 0.0, 1
28, 2.8459423097334007, 0.5610465270020392, 0.0, 1
29, 2.8459423097334007, 0.5610465270020392, 0.0, 1
30, 2.8459423097334007, 0.5610465270020392, 0.0, 1
31, 2.8459423097334007, 0.5610465270020392, 0.0, 1
32, 2.8459423097334007, 0.5610465270020392, 0.0, 1
33, 2.8459423097334007, 0.5610465270020392, 0.0, 1
34, 2.8459423097334007, 0.5610465270020392, 0.0, 1
35, 2.8459423097334007, 0.5610465270020392, 0.0, 1
36, 2.8459423097334007, 0.5610465270020392, 0.0, 1
37, 2.8459423097334007, 0.5610465270020392, 0.0, 1
38, 2.8459423097334007, 0.5610465270020392, 0.0, 1
39, 2.8459423097334007, 0.5610465270020392, 0.0, 1
40, 2.8459423097334007, 0.5610465270020392, 0.0, 1
41, 2.8459423097334007, 0.5610465270020392, 0.0, 1
42, 2.8459423097334007, 0.5610465270020392, 0.0, 1
43, 2.8459423097334007, 0.5610465270020392, 0.0, 1
44, 2.8459423097334007, 0.5610465270020392, 0.0, 1
45, 2.8459423097334007, 0.5610465270020392, 0.0, 1
46, 2.8459423097334007, 0.5610465270020392, 0.0, 1
47, 2.8459423097334007, 0.5610465270020392, 0.0, 1
48, 2.8459423097334007, 0.5610465270020392, 0.0, 1
49, 2.8459423097334007, 0.5610465270020392, 0.0, 1
50, 2.5525677246499616, 0.17781007016778627, 6.149642230743872e-11, 0
51, 3.230371530379079, 0.030339977356327097, 7.163238946845818e-11, 0
52, 2.9801048952481874, 0.6754789204793146, 3.050458843960416e-10, 0
53, 3.0335601816422244, 0.03822085781469031, 2.2272614774987843e-10, 0
54, 3.1595319313556, 0.42650929740840793, 4.900486385369086e-10, 0
55, 3.3332344387732453, 0.12601925092335886, 3.2372345287816864e-10, 0
56, 2.6461720303404306, 0.7887571717911319, 3.618550637360923e-09, 0
57, 3.0052331422846397, 0.025925780061162973, 2.4802051684509457e-09, 0
58, 3.1401658507056203, 0.3523141569700661, 2.5910096186829284e-09, 0
59, 2.8527547123245904, 0.4508478575561914, 1.005212095141249e-08, 0
60, 1.967949328656922, 0.04112775654447498, 5.523854993520653e-08, 0
61, 3.2388283020112105, 0.17046787459861124, 1.844263741730721e-08, 0
62, 2.7685317107082956, 0.519919357740406, 4.533916108027513e-08, 0
63, 2.8355483930921133, 0.34432658234569224, 1.212511618784125e-07, 0
64, 3.19271529247967, 0.13907328636681315, 2.6713713504592653e-07, 0
65, 3.048807912939453, 0.2925740470093965, 1.960333664074168e-07, 0
66, 2.682558737083312, 0.5719152300422218, 1.4579138695283767e-06, 0
67, 2.9029488885140777, 0.03755273828649619, 1.2639442803389495e-06, 0
68, 2.336904130735932, 0.7137062473255625, 7.195724067068592e-06, 0
69, 2.4807042598695244, 0.04122718587902563, 4.105316562615195e-06, 0
70, 2.2456299399959767, 0.20797829151528524, 0.0001130528480648791, 0
71, 2.5221820415501006, 0.1958914088868653, 8.55705676262074e-05, 0
72, 2.2996107829111905, 0.1782567872839571, 0.00016103457635510115, 0
73, 1.4601750627952501, 0.2521846145652664, 0.0003995028367147087, 0
74, 2.1796253713519844, 0.3423995274092255, 5.1751244095933136e-05, 0
75, 1.576786483246026, 0.6803078702794078, 0.0002187044374986795, 0
76, 2.5701331684228315, 0.17149251570579066, 0.0005041697664962577, 0
77, 2.4707780678710125, 0.06687381256894667, 0.0011157420802294592, 0
78, 2.355752206830973, 0.14721846245842302, 0.0003082837899017527, 0
79, 1.2208934035730148, 0.115674784759489, 0.003994663272294645, 0
80, 2.4156828242507453, 0.13383236646149999, 0.005917124268566155, 0
81, 2.215483308078364, 0.12312032170591576, 0.06703701315467919, 0
82, 1.6836143931327334, 0.11294444152298082, 0.0743605441573205, 0
83, 2.368310603250973, 0.18626598016680904, 0.07196450280366222, 0
84, 1.9512220159784495, 0.48606429151771813, 0.2624130549945018, 0
85, 2.4505356206164493, 0.11747846241523707, 0.0497996394156232, 0
86, 2.4522534806058416, 0.14112160078666527, 0.015411554816440593, 0
87, 2.4916361657550348, 0.1937123387899096, 0.06973579153841146, 0
88, 2.5028224813816573, 0.12628882466686892, 0.021443149120108876, 0
89, 2.293029742789209, 0.5087987957196458, 0.011884632105272503, 0
90, 1.51658823908992, 0.11383657689590518, 0.8371491112455386, 0
91, 2.5826071656110043, 0.1744623878421126, 0.15573558806457471, 0
92, 2.7690569133734906, 0.6513721746286553, 0.15856889161731305, 0
93, 2.520517258312027, 0.16883368300367477, 0.2927396105730952, 0
94, 2.5457236296833714, 0.18371865624721817, 0.0431274709673127, 0
95, 2.632760873543357, 0.6182782031331494, 0.07985235450883217, 0
96, 2.351057296566237, 0.14450456280513957, 1.899516067796293, 0
97, 2.530842643787763, 0.11697707733928167, 4.5078273464936665, 0
98, 1.8189097961593643, 0.020085549078413978, 7.572050532384212, 0
99, 2.688369782302855, 0.612465372492743, 0.004864622347191904, 0
100, 2.373885509611903, 0.11757302558120616, 3.581272330954301, 0
101, 2.566261967075626, 0.09124179265594816, 0.20602731773424302, 0
102, 1.7151455301173346, 0.13968958391637212, 1.590588901378989, 0
103, 2.386004764514672, 0.6245005596449659, 0.24396770204694768, 0
104, 2.275712685358625, 0.3560545618833766, 0.1417917268641531, 0
105, 1.9453053375230778, 0.38705042230397363, 0.23097541180571166, 0
106, 2.207653901557958, 0.7551467773373447, 0.4279654031178985, 0
107, 2.187137717902923, 0.4389481746261935, 0.40979004218244636, 0
108, 2.380548020538546, 0.1375472978110366, 0.4370432348519923, 0
109, 1.8669790742230727, 0.48412201457645404, 0.09314283515395921, 0
110, 2.1720598133193074, 0.2461991799611281, 0.01859900215683228, 0
111, 2.235071369262652, 1.0544510773198246, 0.0016369106429423433, 0
112, 3.289837319089302, 0.5335644922978107, 0.008247428087340074, 0
113, 3.628030738493135, 0.10194560455775839, 0.004364454354068734, 0
114, 3.5860674342167775, 0.2211715420533009, 0.002006300144669978, 0
115, 2.513289311700796, 0.18187759534688996, 0.0009473939482881018, 0
116, 4.900438091818991, 0.605259971798697, 0.01326242822200871, 0
117, 4.531222115226663, 0.15048556851154649, 0.006948066984536886, 0
118, 4.400850780629083, 0.11831005578080646, 0.008819879866238743, 0
119, 3.2286822685995475, 0.024652769057764257, 0.0027173680222456233, 0
120, 4.185094558796624, 0.02070672053325473, 0.0028418745960272986, 0
121, 2.459590962354808, 0.22512308528251954, 0.0009604079461222023, 0
122, 1.7701130630292696, 0.011132981462068425, 0.0021057832436499916, 0
123, 2.2149555801096725, 0.030215404075328633, 0.008081900620411303, 0
124, 2.384392895495937, 0.11918388809824386, 0.0021966884680119517, 0
125, 2.259833914925458, 0.13713794144322197, 0.0018083583266446774, 0
126, 1.59903679998631, 0.17914341282863408, 0.01892465927174405, 0
127, 2.1883663681561925, 0.14042424503775489, 0.011183451378013817, 0
128, 2.1883663681561925, 0.14042424503775489, 0.3203200940545609, 1
129, 1.4078516680781343, 0.12334340685776927, 0.24775873463028683, 0
130, 0.9786716977316968, 1.2914023579191178, 1.1974994457502302, 0
131, 2.0648528576838943, 0.053245439910589054, 2.6829078706871385, 0
132, 2.277349918861125, 0.1031319398512955, 0.5748107763869499, 0
133, 2.253728795938076, 0.028013702825228748, 1.1633696557262267, 0
134, 2.5016343781450994, 0.07238871245545665, 7.4915041989296505, 0
135, 2.44252842412147, 0.16404754291055862, 2.261388033336219, 0
136, 2.401215474851094, 0.15138357380599557, 4.505699781183798, 0
137, 2.560528762230561, 0.08409016209491826, 0.3674888360515405, 0
138, 2.454767653668815, 0.13312829372015036, 1.7812060743262423, 0
139, 2.6609043066189777, 0.1166788668689416, 1.4041488110307834, 0
140, 2.762593378982564, 0.6254708900591339, 1.6178864897380612, 0
141, 2.588118305426606, 0.1744769564028436, 0.3919380832104937, 0
142, 2.6069254238189963, 0.1564108379975386, 0.18493176953071605, 0
143, 2.547405177926904, 0.18356156855984557, 0.1903559939629537, 0
144, 2.7237180840422637, 0.1469049137147581, 0.7422780359965778, 0
145, 2.5433342103141077, 0.10372755833749359, 0.048356931863125494, 0
146, 2.8908722520264094, 1.0047213433778261, 1.6434742073211979, 0
147, 2.3494621507125326, 0.5897369428537939, 0.0786502947955781, 0
148, 2.303782659159821, 0.14459525345748522, 0.2298946874783889, 0
149, 2.7069026576427238, 0.3105573140715847, 0.08259088280395621, 0
150, 2.544212762955074, 0.1743197066436179, 0.005496250688654168, 0
151, 2.533428138788202, 0.1877586190354468, 0.001769443247641624, 0
152, 2.4833868802214245, 0.33590980785296487, 0.04535703443251254, 0
153, 2.536866848522632, 0.1289727295925864, 0.010951552213683923, 0
154, 2.492479407993502, 0.40955340669830004, 0.09382535484502037, 0
155, 2.50962231346051, 0.6635003205982506, 0.010070820849089024, 0
156, 2.4452288068178376, 0.5956489919674729, 0.007077514365167242, 0
157, 2.3961577641521328, 0.4404512080083402, 0.0008779299826739235, 0
158, 2.5337374229356895, 0.4518259380014443, 0.006646607485984704, 0
159, 2.50598988013488, 0.10335966549979436, 0.00021093849005237843, 0
160, 3.1190406213156114, 0.8291372856038508, 0.00028327627475997996, 0
161, 2.694246485782524, 0.13851856923777972, 0.00014148597715643588, 0
162, 2.357766257548883, 0.3361015613713313, 0.0005064042641445231, 0
163, 2.277101184935026, 0.15712079282761926, 0.0009270672653011723, 0
164, 3.8254882700706556, 0.029682043005738956, 0.0007506755910970723, 0
165, 3.27212877403199, 0.5229831552911586, 1.3232028666124858e-05, 0
166, 3.2207511434708884, 0.7082167367771529, 1.4823437849947172e-05, 0
167, 3.207540076811713, 0.6451988059372026, 2.7453594339745446e-06, 0
168, 2.972394463818595, 0.5348547604934013, 9.430987175259661e-06, 0
169, 3.1509123278045554, 0.5279763067839621, 3.14732633804088e-07, 0
170, 3.6057154356983605, 0.9349317313968175, 2.8374397420823474e-06, 0
171, 3.2431070099934636, 0.42791742204940286, 3.062035456528058e-07, 0
172, 3.3009764855065464, 0.5856154916142723, 8.88935784853267e-08, 0
173, 3.2086301551393483, 0.5938467025961569, 7.882840106333989e-08, 0
174, 3.2585968946912853, 0.5774127568150867, 1.256241306974025e-07, 0
175, 3.211558723914167, 0.44877648747950905, 1.0409941019943192e-08, 0
176, 2.8405680725334808, 0.5852971710021527, 3.7550658323152115e-08, 0
177, 3.1029397431231, 0.7389017373678606, 1.3974489565764378e-08, 0
178, 3.344057481700572, 0.20019059129486494, 1.2272140158858426e-08, 0
179, 3.274998517542491, 0.6418403127757234, 1.1297761295591468e-09, 0
180, 3.5999178326215038, 2.9992250520956687, 8.498747889271113e-09, 0
181, 3.3024597865214886, 0.4484204018767275, 4.6541660705036785e-10, 0
182, 3.741766404264216, 2.9999570825460955, 1.6939103587952207e-10, 0
183, 3.557830134605453, 1.1601408971438985, 3.467183019415853e-41, 0
184, 4.9999176736468876, 1.8222951433146934, 4.712266877264184e-12, 0
185, 3.7176055581034966, 1.480132201690536, 1.0926051756845615e-41, 0
186, 3.187856707133642, 0.8109534444285605, 4.5923792269625356e-42, 0
187, 3.187856707133642, 0.8109534444285605, 4.502117841247652e-11, 1
