A, mu, sigma, chi2, flag
1, 2.8459423097334007, 0.5610465270020392, 0.0, 0
2, 2.8459423097334007, 0.5610465270020392, 0.0, 1
3, 2.8459423097334007, 0.5610465270020392, 0.0, 1
4, 2.8459423097334007, 0.5610465270020392, 0.0, 1
5, 2.8459423097334007, 0.5610465270020392, 0.0, 1
6, 2.8459423097334007, 0.5610465270020392, 0.0, 1
7, 2.8459423097334007, 0.5610465270020392, 0.0, 1
8, 2.8459423097334007, 0.5610465270020392, 0.0, 1
9, 2.8459423097334007, 0.5610465270020392, 0.0, 1
10, 2.8459423097334007, 0.5610465270020392, 0.0, 1
11, 2.8459423097334007, 0.5610465270020392, 0.0, 1
12, 2.8459423097334007, 0.5610465270020392, 0.0, 1
13, 2.8459423097334007, 0.5610465270020392, 0.0, 1
14, 2.8459423097334007, 0.5610465270020392, 0.0, 1
15, 2.8459423097334007, 0.5610465270020392, 0.0, 1
16, 2.8459423097334007, 0.5610465270020392, 0.0, 1
17, 2.8459423097334007, 0.5610465270020392, 0.0, 1
18, 2.8459423097334007, 0.5610465270020392, 0.0, 1
19, 2.8459423097334007, 0.5610465270020392, 0.0, 1
20, 2.8459423097334007, 0.5610465270020392, 0.0, 1
21, 2.8459423097334007, 0.5610465270020392, 0.0, 1
22, 2.8459423097334007, 0.5610465270020392, 0.0, 1
23, 2.8459423097334007, 0.5610465270020392, 0.0, 1
24, 2.8459423097334007, 0.5610465270020392, 0.0, 1
25, 2.8459423097334007, 0.5610465270020392, 0.0, 1
26, 2.8459423097334007, 0.5610465270020392, 0.0, 1
27, 2.8459423097334007, 0.5610465270020392, 0.0, 1
28, 2.8459423097334007, 0.5610465270020392, 0.0, 1
29, 2.8459423097334007, 0.5610465270020392, 0.0, 1
30, 2.8459423097334007, 0.5610465270020392, 0.0, 1
31, 2.8459423097334007, 0.5610465270020392, 0.0, 1
32, 2.8459423097334007, 0.5610465270020392, 0.0, 1
33, 2.8459423097334007, 0.5610465270020392, 0.0, 1
34, 2.8459423097334007, 0.5610465270020392, 0.0, 1
35, 2.8459423097334007, 0.5610465270020392, 0.0, 1
36, 2.8459423097334007, 0.5610465270020392, 0.0, 1
37, 2.8459423097334007, 0.5610465270020392, 0.0, 1
38, 2.8459423097334007, 0.5610465270020392, 0.0, 1
39, 2.8459423097334007, 0.5610465270020392, 0.0, 1
40, 2.8459423097334007, 0.5610465270020392, 0.0, 1
41, 2.8459423097334007, 0.5610465270020392, 0.0, 1
42, 2.8459423097334007, 0.5610465270020392, 0.0, 1
43, 2.8459423097334007, 0.5610465270020392, 0.0, 1
44, 2.8459423097334007, 0.5610465270020392, 0.0, 1
45, 2.8459423097334007, 0.5610465270020392, 0.0, 1
46, 2.8459423097334007, 0.5610465270020392, 0.0, 1
47, 2.8459423097334007, 0.5610465270020392, 0.0, 1
48, 2.8459423097334007, 0.5610465270020392, 0.0, 1
49, 2.8459423097334007, 0.5610465270020392, 0.0, 1
50, 2.924174602557749, 0.42610196405257916, 9.050582820982245e-10, 0
51, 3.3932247876888013, 0.08652748696919543, 1.7223670507025708e-09, 0
52, 4.343359499746187, 0.13352587834075114, 1.7815866730086154e-09, 0
53, 3.4619682510006675, 0.13823333710845098, 5.062531610241491e-09, 0
54, 2.9679516134344337, 0.026145679017601786, 7.236878942755825e-09, 0
55, 3.4485548742450094, 0.23259141675337736, 1.777363083927862e-08, 0
56, 3.2538216701393314, 0.16713412513146797, 1.7511474723256376e-08, 0
57, 2.847612483096892, 0.7797480596301238, 7.839268255394966e-08, 0
58, 3.387852441263151, 0.1514589113097855, 3.7576917838756274e-08, 0
59, 3.088497824786455, 0.5036562193722187, 9.036985023011366e-08, 0
60, 1.937612170369411, 0.033538415316405557, 2.5213636662940973e-07, 0
61, 3.0936799285581253, 0.5034139462383473, 3.832118287938646e-07, 0
62, 3.1974912163855196, 0.26572889500990415, 3.598316189263985e-07, 0
63, 3.013771275680226, 0.44503224811500686, 5.47558411531271e-07, 0
64, 3.3209944266657008, 0.16483570434681716, 9.45025233166066e-07, 0
65, 3.305133415348786, 0.23903703446729696, 7.980286089338668e-07, 0
66, 3.02902545413861, 0.4137122759669283, 2.3530378157444062e-06, 0
67, 2.9462100176124735, 0.612141332052654, 8.656667807841764e-06, 0
68, 2.6743236721340664, 0.5176841875152184, 2.4112018067573884e-05, 0
69, 2.6946467602761563, 0.5973402328915336, 8.950318813699879e-05, 0
70, 1.9929090833988876, 0.058499398044313144, 0.0001615160387808261, 0
71, 2.3250384303888842, 0.26570364167175287, 0.0002783160769975228, 0
72, 2.7150603377795384, 0.5755056210571045, 3.484128804241795e-05, 0
73, 1.2117664335396914, 0.15032507105718218, 0.0003270313210915875, 0
74, 2.0429744069417404, 0.63261288807483, 0.0015798149398467652, 0
75, 2.289126778523828, 0.12599073294694962, 0.0005438617039111586, 0
76, 2.3675275693747255, 0.20283217119215147, 0.0027702529601256127, 0
77, 2.5902642273426966, 0.12591087194462655, 0.001778312975247257, 0
78, 2.436269029834397, 0.22815666222537911, 0.003180814093152652, 0
79, 0.8522404756308608, 0.01393164685712378, 0.008691070083053778, 0
80, 2.411973554038276, 0.202428182497047, 0.02097104994839416, 0
81, 1.7494302150560608, 0.13578575472218785, 0.046181030490241234, 0
82, 1.6059107260452787, 0.14762048629068622, 0.10786541009826411, 0
83, 2.4542420753918694, 0.09943680808687187, 0.03384804606381632, 0
84, 2.343078757853719, 0.15413957624611904, 0.08414951935038661, 0
85, 2.485217276883388, 0.19453277050756615, 0.013283199995929116, 0
86, 2.513334043505823, 0.1648061339778404, 0.12023560981779693, 0
87, 2.680407211142409, 0.14843252400494847, 0.01878334887247063, 0
88, 2.660659272938542, 0.1601151575653847, 0.12397729365635295, 0
89, 2.5556520865230663, 0.21189970917275733, 0.08381023319266805, 0
90, 1.5362401876573262, 0.05672827498904563, 0.9634996475067824, 0
91, 2.838833609558089, 0.6755153354997798, 0.5143860817598052, 0
92, 3.169685894027154, 0.49924048835662116, 0.06217616505109801, 0
93, 2.744651904815241, 0.13816117494992777, 0.32872620267148667, 0
94, 2.694976716938597, 0.16518788270813228, 0.2427514334859404, 0
95, 2.976466316986016, 0.6405475994876746, 0.047206108022039533, 0
96, 2.4011615738895977, 0.09725995780316352, 2.454353805825185, 0
97, 3.0171329541205134, 1.3514033931113036, 6.280406240414676, 0
98, 3.5836246464205908, 0.10081565735390977, 4.51452177310505, 0
99, 2.9909988028802523, 0.6349547457820603, 0.3701801986919749, 0
100, 2.2898083211806552, 0.022321007852783792, 1.1776458292342393, 0
101, 3.4682308838583977, 0.34037030225686593, 0.3844052761180847, 0
102, 3.019472937318653, 0.9237506293371007, 1.1858063746359877, 0
103, 2.6270912080026587, 0.7050014849127527, 0.07726337091222146, 0
104, 2.443691524748939, 0.14892715783637578, 0.4372186554259655, 0
105, 2.3899948648151947, 0.7887513531987392, 0.3934186209021934, 0
106, 2.4445747340088966, 0.5817545019493687, 0.20310762741152755, 0
107, 2.293185044174689, 0.4845026678711511, 0.3229629247621783, 0
108, 2.214613985665404, 0.6612973273345977, 0.6148130357980192, 0
109, 1.7081823526747708, 0.1460798662608543, 0.5564941546605224, 0
110, 2.355521190598554, 0.33859588170195654, 0.17093944870495428, 0
111, 2.111554091458865, 0.40833916277276605, 0.005366826265820526, 0
112, 3.229701886960471, 1.0376186066965862, 0.012250278636872173, 0
113, 2.313188897011012, 0.15661291275761388, 0.017830649210705016, 0
114, 2.1274210530244524, 0.040885357519354626, 0.006614178740471567, 0
115, 2.203980798852995, 0.4428148636113531, 0.0059168871836602285, 0
116, 3.9478561403847805, 0.010980065311832377, 0.0024944709416644837, 0
117, 4.2532630753998415, 0.02979478616457354, 0.012095359959164702, 0
118, 4.332178413035596, 0.13804885447403692, 0.004840299192665302, 0
119, 3.3827326821190313, 0.10535630548754947, 0.044384385879931765, 0
120, 4.362607376090627, 0.058067317065067285, 0.010728777410716258, 0
121, 1.9044608125385674, 0.33017570684065944, 0.007703422906636386, 0
122, 1.6374074848598257, 0.22854727689507806, 0.008783192202704931, 0
123, 1.7309271206094485, 0.02743455103857828, 0.02128849075372206, 0
124, 1.5367393828180147, 0.09243810615846988, 0.006737592914983329, 0
125, 2.4376016739649877, 0.06946370107265414, 0.009704854126616957, 0
126, 2.286480871419299, 0.1762805302095676, 0.02401250098920119, 0
127, 2.2236643272798173, 0.1453219996250231, 0.01205027602561665, 0
128, 0.9964634552400365, 0.646860689647461, 0.1383129771050654, 0
129, 0.1824058381953635, 0.02627979005083869, 0.8573003938026394, 0
130, 2.0829011193299416, 0.8089251206715729, 1.20735539083759, 0
131, 1.9827119631157903, 0.035675007267903736, 2.1472606551825195, 0
132, 2.372246469321972, 0.15421786726839065, 1.4236328884243468, 0
133, 2.369180417739454, 0.012945805961433132, 3.551269157590172, 0
134, 2.5658010401018156, 0.17007567292142434, 3.2935915958699944, 0
135, 2.396904902514395, 0.1384598717578416, 3.798921439666092, 0
136, 3.583108329159085, 0.14310927357271538, 2.102378791012166, 0
137, 3.070397507128813, 0.5472436083230902, 1.2845621455280711, 0
138, 3.5688430145361822, 0.17597184762313264, 0.6289435157279707, 0
139, 3.1825109642092437, 0.702745370423527, 1.5639164138305428, 0
140, 3.379227496465154, 0.6417376555287992, 1.4118328711714596, 0
141, 3.3767498938340648, 0.3624308713702874, 1.1920888457963403, 0
142, 2.9864790258868608, 0.2657103842986203, 0.27869382550558924, 0
143, 2.9632240007607513, 0.4668114994203568, 0.10419642522453704, 0
144, 3.017321863879465, 0.4622901948093611, 0.08821811958289187, 0
145, 3.3835856483017346, 0.16780506425767375, 0.14391142792232758, 0
146, 3.58505603432614, 0.16322117666510064, 0.41117154983501264, 0
147, 2.6583278947877167, 0.3900135707401412, 0.1901832062461937, 0
148, 2.1440291759481953, 0.2794624151744003, 0.8123754283996091, 0
149, 3.06631365243963, 0.6377394723735578, 0.051505857050168365, 0
150, 2.966163418695995, 0.47571851743026516, 0.006962499328602535, 0
151, 2.735927577160003, 0.16831115428383914, 0.022605485911224438, 0
152, 2.498654349332697, 0.13504849958540951, 0.179902940252818, 0
153, 2.487856923191549, 0.12534636138965788, 0.013155655652921887, 0
154, 2.7956982302695366, 0.952578481312757, 0.06071566731236711, 0
155, 2.503943891563959, 0.15800091229319987, 0.011899290662611155, 0
156, 2.581549106495068, 0.5007228561923718, 0.011417809140019082, 0
157, 2.256789514891414, 0.4883797477412268, 0.007579550850959125, 0
158, 2.371268055072843, 0.4403986768457333, 0.008465960133013315, 0
159, 2.53343653390677, 0.8655073649492929, 0.00100701320581034, 0
160, 2.6958028149594733, 0.11963215512239662, 0.0008682622290720202, 0
161, 3.2903951354958174, 0.9853419038652115, 0.000380662918562022, 0
162, 3.2622571767484265, 0.7742583704271517, 0.00039651731063412724, 0
163, 2.4165584136580156, 0.14545162251466293, 0.00030873814473937123, 0
164, 3.0557400657689593, 0.660909325412527, 7.186800210754841e-05, 0
165, 3.068090904158034, 0.033707886788388874, 9.830058762385174e-05, 0
166, 3.585573153926908, 0.11222836996497154, 9.495915709978469e-05, 0
167, 2.5340164953462283, 0.4512597374985883, 8.729366221324452e-05, 0
168, 3.7656261036939775, 0.16732480405545425, 4.358424384407515e-05, 0
169, 3.368762647023847, 0.5822985056084711, 3.4807260017259163e-06, 0
170, 3.5354870110381214, 0.7909428248028464, 5.651471632569156e-06, 0
171, 3.3654204587205663, 0.547492982822042, 3.4711548152776134e-06, 0
172, 3.496797429967865, 0.15102313653066757, 9.16853883625954e-07, 0
173, 3.4135476435833754, 0.5753364219998169, 3.607910030300772e-07, 0
174, 3.3559143222203245, 0.5775488395248979, 5.86321051347396e-07, 0
175, 3.469395562760929, 0.36903966254269105, 4.505085822133285e-07, 0
176, 3.18630423384857, 0.4021700541156801, 1.0159619715919489e-06, 0
177, 3.374204220553839, 0.7570363205749875, 3.137314589289636e-07, 0
178, 2.491780083237162, 0.1350459936865842, 2.7599560102738845e-07, 0
179, 3.4836284701218077, 0.11763447890947609, 4.907270283846906e-08, 0
180, 4.998278382643528, 2.9989740508146214, 7.409927169355799e-08, 0
181, 3.539689587105289, 0.6365347976375417, 1.81182137902329e-08, 0
182, 4.998349858814205, 2.999340485327885, 3.3437313643606405e-08, 0
183, 3.9129198069131252, 1.0808951332097476, 6.839291354242274e-10, 0
184, 4.998368086950088, 1.508709640913089, 4.630316121519909e-09, 0
185, 4.999487747342531, 2.4583900544335537, 4.805011192321371e-09, 0
186, 3.9924828624493904, 1.049096675313298, 1.5469198884174214e-10, 0
187, 3.327288135950832, 0.7615081024223898, 6.315792838241615e-11, 0
188, 2.5441463067377508, 0.09355985959606117, 2.665139335160942e-10, 0
189, 1.8367504110661779, 0.34995723769993337, 4.910420110907567e-10, 0
190, 2.0008889165576775, 0.8403687870838588, 1.0758121204732888e-10, 0
191, 2.0008889165576775, 0.8403687870838588, 0.0, 1
192, 2.0008889165576775, 0.8403687870838588, 0.0, 1
