A, mu, sigma, chi2, flag
1, 2.8459423097334007, 0.5610465270020392, 0.0, 0
2, 2.8459423097334007, 0.5610465270020392, 0.0, 1
3, 2.8459423097334007, 0.5610465270020392, 0.0, 1
4, 2.8459423097334007, 0.5610465270020392, 0.0, 1
5, 2.8459423097334007, 0.5610465270020392, 0.0, 1
6, 2.8459423097334007, 0.5610465270020392, 0.0, 1
7, 2.8459423097334007, 0.5610465270020392, 0.0, 1
8, 2.8459423097334007, 0.5610465270020392, 0.0, 1
9, 2.8459423097334007, 0.5610465270020392, 0.0, 1
10, 2.8459423097334007, 0.5610465270020392, 0.0, 1
11, 2.8459423097334007, 0.5610465270020392, 0.0, 1
12, 2.8459423097334007, 0.5610465270020392, 0.0, 1
13, 2.8459423097334007, 0.5610465270020392, 0.0, 1
14, 2.8459423097334007, 0.5610465270020392, 0.0, 1
15, 2.8459423097334007, 0.5610465270020392, 0.0, 1
16, 2.8459423097334007, 0.5610465270020392, 0.0, 1
17, 2.8459423097334007, 0.5610465270020392, 0.0, 1
18, 2.8459423097334007, 0.5610465270020392, 0.0, 1
19, 2.8459423097334007, 0.5610465270020392, 0.0, 1
20, 2.8459423097334007, 0.5610465270020392, 0.0, 1
21, 2.8459423097334007, 0.5610465270020392, 0.0, 1
22, 2.8459423097334007, 0.5610465270020392, 0.0, 1
23, 2.8459423097334007, 0.5610465270020392, 0.0, 1
24, 2.8459423097334007, 0.5610465270020392, 0.0, 1
25, 2.8459423097334007, 0.5610465270020392, 0.0, 1
26, 2.8459423097334007, 0.5610465270020392, 0.0, 1
27, 2.8459423097334007, 0.5610465270020392, 0.0, 1
28, 2.8459423097334007, 0.5610465270020392, 0.0, 1
29, 2.8459423097334007, 0.5610465270020392, 0.0, 1
30, 2.8459423097334007, 0.5610465270020392, 0.0, 1
31, 2.8459423097334007, 0.5610465270020392, 0.0, 1
32, 2.8459423097334007, 0.5610465270020392, 0.0, 1
33, 2.8459423097334007, 0.5610465270020392, 0.0, 1
34, 2.8459423097334007, 0.5610465270020392, 0.0, 1
35, 2.8459423097334007, 0.5610465270020392, 0.0, 1
36, 2.8459423097334007, 0.5610465270020392, 0.0, 1
37, 2.8459423097334007, 0.5610465270020392, 0.0, 1
38, 2.8459423097334007, 0.5610465270020392, 0.0, 1
39, 2.8459423097334007, 0.5610465270020392, 0.0, 1
40, 2.8459423097334007, 0.5610465270020392, 0.0, 1
41, 2.8459423097334007, 0.5610465270020392, 0.0, 1
42, 2.8459423097334007, 0.5610465270020392, 0.0, 1
43, 2.8459423097334007, 0.5610465270020392, 0.0, 1
44, 2.8459423097334007, 0.5610465270020392, 0.0, 1
45, 2.8459423097334007, 0.5610465270020392, 0.0, 1
46, 2.8459423097334007, 0.5610465270020392, 0.0, 1
47, 2.8459423097334007, 0.5610465270020392, 0.0, 1
48, 2.8459423097334007, 0.5610465270020392, 0.0, 1
49, 2.8459423097334007, 0.5610465270020392, 0.0, 1
50, 2.8459423097334007, 0.5610465270020392, 0.0, 1
51, 3.889621715946854, 0.02484328294382321, 9.96710451034105e-11, 0
52, 4.5515948035503975, 0.17143853675666, 1.952968582010072e-10, 0
53, 3.9915585791166546, 0.041241312848073086, 3.223273181325377e-10, 0
54, 3.2420341849231478, 0.1352807326871821, 1.0085913682284548e-09, 0
55, 3.9598967795210607, 0.04177340491625503, 1.0289930771017891e-09, 0
56, 3.362004204429569, 0.11346509786716186, 2.788228921962e-09, 0
57, 3.559867734892925, 0.10326952923273125, 5.2398289070591024e-09, 0
58, 3.428196018047302, 0.16153078837933377, 5.601181301700046e-09, 0
59, 3.3720343148557923, 0.2106538967920073, 9.838104004512568e-09, 0
60, 1.9741103582846826, 0.030779428131533226, 2.8984399252306777e-08, 0
61, 3.119270059087664, 0.4109549350424353, 3.7513077509689656e-08, 0
62, 3.0358239233274613, 0.3456935040372249, 3.5736958269949444e-08, 0
63, 2.859548298602992, 0.4658621292655536, 5.0244518307005685e-08, 0
64, 2.871956958644904, 0.33551679818434055, 9.372286416265658e-08, 0
65, 2.804064759870657, 0.5157593765960621, 7.066493547307454e-08, 0
66, 2.6358161962407896, 0.532036302280271, 8.380550496078914e-08, 0
67, 2.5124804964201854, 0.513905948160561, 9.893274358875754e-07, 0
68, 2.3308917883024707, 0.17584398624403286, 5.062493372970933e-06, 0
69, 2.0046151585728174, 0.36510969769883705, 6.352356143640718e-06, 0
70, 1.7287281021976086, 0.11184951593684245, 1.6381384244349044e-05, 0
71, 1.845188833291647, 0.3101418614396274, 1.3329738689458862e-05, 0
72, 1.354421816825952, 0.9430134528875731, 0.00010818244815599695, 0
73, 1.7555882178427702, 0.12450072533479073, 0.0002926699243480981, 0
74, 2.508286400110306, 0.15063660122722386, 0.00015286475252059687, 0
75, 2.178796328341265, 0.17928079769650024, 0.00038771356040200836, 0
76, 1.8698094011028668, 0.617298094819906, 0.0003170591536818138, 0
77, 2.405811744938194, 0.16936528125298284, 0.0005201256206249316, 0
78, 2.511495767724079, 0.23234761825658973, 0.007065862066622581, 0
79, 0.928073825336077, 0.5081735026426342, 0.06132305856434796, 0
80, 2.3288785359008113, 0.14812637558041464, 0.014403713575321912, 0
81, 1.8510363233036395, 0.4568853987391709, 0.05817411510905712, 0
82, 1.7937898184132133, 0.13409162804302216, 0.08157199548436911, 0
83, 2.494946227192814, 0.1883247454941548, 0.02394943242717746, 0
84, 2.283541342451053, 0.14646672100723576, 0.1334356074401529, 0
85, 2.5073226429348097, 0.18453253171652906, 0.018797727342630563, 0
86, 2.6237957387520408, 0.1750551435026756, 0.03728410357779632, 0
87, 2.6951122803894036, 0.12852805554164526, 0.02155368620321348, 0
88, 2.624662805821439, 0.1674448325451592, 0.17151711601888253, 0
89, 2.574464300922154, 0.2711505662648163, 0.07757985097049608, 0
90, 1.6233524757618827, 0.16064469225151004, 0.8828035889456408, 0
91, 2.581533638847401, 0.578798719002216, 0.5336365090427263, 0
92, 3.083513423108232, 0.4889055146636488, 0.06618217285966828, 0
93, 2.645202107615072, 0.1472691459494841, 0.27816916867804126, 0
94, 2.6530535411053826, 0.1725727972387497, 0.16941953938700616, 0
95, 2.8870029828911585, 0.5778048040616853, 0.0406653365852968, 0
96, 2.2901872564632835, 0.1616218015818225, 2.1296295691050022, 0
97, 2.8078465612721684, 1.4549921631471554, 4.876455641330906, 0
98, 3.568335869982368, 0.13563948714745752, 5.602615905460223, 0
99, 2.840938886389111, 0.5654531881446986, 0.3517977927154419, 0
100, 2.011083886975026, 0.026093907015413587, 1.2289533219827307, 0
101, 3.097161569089449, 0.7581182689313523, 0.24033049063914108, 0
102, 2.9361122006385947, 0.917046170027752, 1.1625556615135013, 0
103, 2.510345187235635, 0.6530229184513833, 0.18488983983129464, 0
104, 2.463104156609697, 0.07634400032559678, 0.423331144797535, 0
105, 2.390553300745936, 0.8032364072378748, 0.6421754247388383, 0
106, 2.4984098409679425, 0.1337273460019954, 0.3744565529488543, 0
107, 2.326815295533497, 0.5318416571838638, 0.4450994036651391, 0
108, 2.4351525102241385, 0.6721807620287217, 0.5427596323138764, 0
109, 2.137469173283756, 0.3286220509383021, 0.24149268872194515, 0
110, 3.294225589648754, 0.01829624820039566, 0.08375270459194435, 0
111, 2.811523852204627, 0.8848843941370776, 0.05625863151761934, 0
112, 3.580691699613202, 0.694213458271081, 0.028013045832410932, 0
113, 2.369796973068029, 0.012549790179545495, 0.02404399526041259, 0
114, 2.91472353597593, 0.5886832557503451, 0.015590560426803103, 0
115, 2.254243995047429, 0.13678369808101568, 0.019941077170688593, 0
116, 4.111635118704222, 0.3027375997798794, 0.00030021534444917453, 0
117, 4.273774484564385, 0.02174680082889191, 0.010182499611043425, 0
118, 4.377205731688557, 0.08199984668822104, 0.004301118834300455, 0
119, 4.599001879375892, 0.33309174819166887, 0.0436693925560957, 0
120, 4.315671185291214, 0.07522243756488688, 0.004332988892999546, 0
121, 1.8843349982285775, 0.40146682068405215, 0.008415578485406467, 0
122, 2.0589886231861305, 0.11441646739340228, 0.014573070399840446, 0
123, 1.9956166282567298, 0.015573178678174093, 0.006290650614324506, 0
124, 2.4046001647005317, 0.09482041117212586, 0.03519672754714284, 0
125, 2.3675204380330737, 0.17217304678108492, 0.0036061618786492806, 0
126, 2.44352777454371, 0.0860570545159949, 0.07484687332041468, 0
127, 2.4025758593228232, 0.21004736777535113, 0.019566778758149394, 0
128, 2.4025758593228232, 0.21004736777535113, 0.9443994488634108, 1
129, 2.4025758593228232, 0.21004736777535113, 1.0646653476831665, 1
130, 2.083292949091912, 0.7797174863522666, 1.6298422465681943, 0
131, 2.294611052718711, 0.13441593394533097, 3.466118849940449, 0
132, 2.4026517819299285, 0.10893914468380467, 2.0782345325329117, 0
133, 2.3390270305584497, 0.15328139599742943, 4.300810462089386, 0
134, 2.5257614341786563, 0.10150691825246097, 4.558094255542902, 0
135, 2.3631869832287107, 0.1418109826589854, 3.047427526853671, 0
136, 3.511221894120011, 0.17788255334703185, 2.155884531067449, 0
137, 2.947826684719327, 0.5603014384093344, 1.3890731233883216, 0
138, 3.558192255622426, 0.16119277170684804, 0.8021105454625486, 0
139, 2.9480784927511876, 0.6072619173786797, 1.424542021681604, 0
140, 3.257313314413644, 0.4810692357386724, 1.313242548433652, 0
141, 3.3747925977737143, 0.24082415837105497, 1.4215050533159705, 0
142, 2.6319591877877864, 0.0962324556925473, 0.26025270888102386, 0
143, 2.9020922251721886, 0.4494058655178203, 0.08592208933658327, 0
144, 2.561523386625609, 0.060480413131005224, 0.09344355968152475, 0
145, 3.3171370435287453, 0.16871906250617838, 0.13895903893024525, 0
146, 3.555334863774139, 0.16706742795915328, 0.3785087176080253, 0
147, 2.5578784679623197, 0.2380255085129309, 0.1689481558056227, 0
148, 2.1896622862629695, 0.30627534338395224, 0.7862794179034239, 0
149, 3.0549722663706236, 0.730634816141956, 0.0522452626098978, 0
150, 3.0226210539983662, 0.4816271677188032, 0.008739410375426327, 0
151, 2.570268841670326, 0.03373508339533041, 0.011115492921762941, 0
152, 2.7870440043811016, 0.6103199283181069, 0.14054929052775925, 0
153, 2.432778056252996, 0.1832291095347641, 0.023631781384874016, 0
154, 2.925769513212917, 0.8005110454662885, 0.024427831215393308, 0
155, 2.999748009505733, 0.5826494754567516, 0.040027960355498556, 0
156, 2.569829143473953, 0.12795819139606632, 0.00590884778195178, 0
157, 3.07195433959568, 0.9460725187658631, 0.006484072926771441, 0
158, 2.3727762046887855, 0.5143012464948079, 0.0016972871194517408, 0
159, 3.566755955677229, 0.1635936833175229, 0.006472717629723302, 0
160, 2.6782469521689474, 0.08370518102007539, 0.0027333307891537224, 0
161, 2.5424681563135487, 0.20012378639680706, 0.00013939686580827855, 0
162, 2.4200831811025107, 0.1502531937691156, 0.00029670580224818734, 0
163, 2.5744712059425288, 0.16578245663507007, 7.50047730354243e-05, 0
164, 2.1790501272256044, 0.46482176435759714, 0.0001116717349746739, 0
165, 2.65649040619821, 0.5638873404603382, 6.15728860750466e-05, 0
166, 2.4296057275785388, 0.20319733597690748, 3.624754744561399e-05, 0
167, 2.372366346511086, 0.13450977993407065, 1.8992885122907884e-05, 0
168, 2.285616002836162, 0.47685907124259574, 4.305343331879647e-06, 0
169, 2.887473952804216, 0.5922219052980291, 3.763425112316456e-06, 0
170, 2.986845768853957, 0.6423755912947104, 2.372077213974079e-07, 0
171, 2.970557635425919, 0.4229025733216618, 3.2507636217629247e-07, 0
172, 3.2296468557369162, 0.463089298999134, 1.2798845367916806e-07, 0
173, 3.2397381143517703, 0.5711172875836255, 1.556254132792882e-08, 0
174, 3.311772984834506, 0.6459606393179171, 4.817945994811391e-08, 0
175, 3.4126976479730633, 0.5051396458208739, 4.645685145870003e-08, 0
176, 3.265467131420376, 0.48097201171710724, 9.141772540262873e-08, 0
177, 4.997952592388396, 1.6068967234370257, 2.77762262956731e-08, 0
178, 4.998967663455901, 2.020413736496265, 1.5881295624945206e-08, 0
179, 3.544369195582006, 0.22496265017329087, 9.591957228559462e-09, 0
180, 4.99942995268953, 2.1598726093205904, 1.066778878575893e-08, 0
181, 4.9999100725650685, 1.479213531722913, 8.597290045496905e-10, 0
182, 4.730227379775985, 0.022523001104650664, 6.471671348008003e-10, 0
183, 4.999903488878674, 1.576351486436144, 1.781069127210854e-10, 0
184, 4.999903488878674, 1.576351486436144, 0.0, 1
185, 4.999903488878674, 1.576351486436144, 1.6888647470734777e-11, 1
