A, mu, sigma, chi2, flag
1, 2.8459423097334007, 0.5610465270020392, 0.0, 0
2, 2.8459423097334007, 0.5610465270020392, 0.0, 1
3, 2.8459423097334007, 0.5610465270020392, 0.0, 1
4, 2.8459423097334007, 0.5610465270020392, 0.0, 1
5, 2.8459423097334007, 0.5610465270020392, 0.0, 1
6, 2.8459423097334007, 0.5610465270020392, 0.0, 1
7, 2.8459423097334007, 0.5610465270020392, 0.0, 1
8, 2.8459423097334007, 0.5610465270020392, 0.0, 1
9, 2.8459423097334007, 0.5610465270020392, 0.0, 1
10, 2.8459423097334007, 0.5610465270020392, 0.0, 1
11, 2.8459423097334007, 0.5610465270020392, 0.0, 1
12, 2.8459423097334007, 0.5610465270020392, 0.0, 1
13, 2.8459423097334007, 0.5610465270020392, 0.0, 1
14, 2.8459423097334007, 0.5610465270020392, 0.0, 1
15, 2.8459423097334007, 0.5610465270020392, 0.0, 1
16, 2.8459423097334007, 0.5610465270020392, 0.0, 1
17, 2.8459423097334007, 0.5610465270020392, 0.0, 1
18, 2.8459423097334007, 0.5610465270020392, 0.0, 1
19, 2.8459423097334007, 0.5610465270020392, 0.0, 1
20, 2.8459423097334007, 0.5610465270020392, 0.0, 1
21, 2.8459423097334007, 0.5610465270020392, 0.0, 1
22, 2.8459423097334007, 0.5610465270020392, 0.0, 1
23, 2.8459423097334007, 0.5610465270020392, 0.0, 1
24, 2.8459423097334007, 0.5610465270020392, 0.0, 1
25, 2.8459423097334007, 0.5610465270020392, 0.0, 1
26, 2.8459423097334007, 0.5610465270020392, 0.0, 1
27, 2.8459423097334007, 0.5610465270020392, 0.0, 1
28, 2.8459423097334007, 0.5610465270020392, 0.0, 1
29, 2.8459423097334007, 0.5610465270020392, 0.0, 1
30, 2.8459423097334007, 0.5610465270020392, 0.0, 1
31, 2.8459423097334007, 0.5610465270020392, 0.0, 1
32, 2.8459423097334007, 0.5610465270020392, 0.0, 1
33, 2.8459423097334007, 0.5610465270020392, 0.0, 1
34, 2.8459423097334007, 0.5610465270020392, 0.0, 1
35, 2.8459423097334007, 0.5610465270020392, 0.0, 1
36, 2.8459423097334007, 0.5610465270020392, 0.0, 1
37, 2.8459423097334007, 0.5610465270020392, 0.0, 1
38, 2.8459423097334007, 0.5610465270020392, 0.0, 1
39, 2.8459423097334007, 0.5610465270020392, 0.0, 1
40, 2.8459423097334007, 0.5610465270020392, 0.0, 1
41, 2.8459423097334007, 0.5610465270020392, 0.0, 1
42, 2.8459423097334007, 0.5610465270020392, 0.0, 1
43, 2.8459423097334007, 0.5610465270020392, 0.0, 1
44, 2.8459423097334007, 0.5610465270020392, 0.0, 1
45, 2.8459423097334007, 0.5610465270020392, 0.0, 1
46, 2.8459423097334007, 0.5610465270020392, 0.0, 1
47, 2.8459423097334007, 0.5610465270020392, 0.0, 1
48, 2.8459423097334007, 0.5610465270020392, 0.0, 1
49, 2.8459423097334007, 0.5610465270020392, 0.0, 1
50, 2.8459423097334007, 0.5610465270020392, 0.0, 1
51, 2.8459423097334007, 0.5610465270020392, 0.0, 1
52, 2.8459423097334007, 0.5610465270020392, 0.0, 1
53, 2.8459423097334007, 0.5610465270020392, 0.0, 1
54, 2.8459423097334007, 0.5610465270020392, 0.0, 1
55, 2.8459423097334007, 0.5610465270020392, 0.0, 1
56, 2.8459423097334007, 0.5610465270020392, 0.0, 1
57, 2.8459423097334007, 0.5610465270020392, 0.0, 1
58, 2.8459423097334007, 0.5610465270020392, 0.0, 1
59, 2.8459423097334007, 0.5610465270020392, 0.0, 1
60, 2.8459423097334007, 0.5610465270020392, 0.0, 1
61, 2.8459423097334007, 0.5610465270020392, 0.0, 1
62, 2.8459423097334007, 0.5610465270020392, 0.0, 1
63, 2.8459423097334007, 0.5610465270020392, 0.0, 1
64, 2.8459423097334007, 0.5610465270020392, 0.0, 1
65, 2.8459423097334007, 0.5610465270020392, 0.0, 1
66, 2.8459423097334007, 0.5610465270020392, 0.0, 1
67, 2.5415793688807287, 0.09024970184442549, 4.9401208275330784e-09, 0
68, 2.5375995488618477, 0.12195242598730949, 1.548831423998587e-08, 0
69, 2.4669210200494365, 0.11285225975589763, 1.7826278406886952e-07, 0
70, 2.1751489458313134, 0.17402835293071695, 4.144948776384088e-06, 0
71, 2.5176155272230787, 0.08665517207328488, 1.2290284389400712e-05, 0
72, 2.6873326935458155, 0.12473231091508263, 3.9194329737140876e-05, 0
73, 1.9281692859924942, 0.010852749520309013, 0.00032883077241708446, 0
74, 2.3584639417660327, 0.08990312071255162, 0.0014837934821519195, 0
75, 2.1952461578011073, 0.10094385699309157, 0.004654536167635427, 0
76, 1.970109145281079, 0.01784246180603044, 0.01403211745662777, 0
77, 1.2656745890930299, 0.15501330504271235, 0.004393409937612918, 0
78, 0.8285734868388213, 0.3149409432823072, 0.01714481832310076, 0
79, 0.09429745676136508, 0.2908560769939567, 0.02890555406618618, 0
80, 1.5181279126866039, 0.5234937133701963, 0.030036515504639826, 0
81, 1.421728942623656, 0.20114023318855245, 0.08201945253046804, 0
82, 2.096316255978191, 0.41813691068539255, 3.2108292540880505, 0
83, 1.63327397259151, 0.5034628031374913, 0.1098920515740175, 0
84, 1.982526496579514, 0.6619720725819741, 1.5004649899103517, 0
85, 1.8012029409844972, 0.439732962221628, 0.1890881720221111, 0
86, 2.4120838010240777, 0.19238221706496933, 0.17692186194294632, 0
87, 2.5381322926980046, 0.165190695440373, 0.3014732976005494, 0
88, 2.433964839985828, 0.31026851976289826, 0.1888007942807115, 0
89, 2.383587226807863, 0.13987718538035068, 0.24668270400090556, 0
90, 1.5288256130698834, 0.14448221720224091, 5.850380856660614, 0
91, 2.068926263202008, 0.7191229519742629, 0.06189386536590034, 0
92, 2.494911550272491, 0.044394465415462304, 0.05650590736567442, 0
93, 2.511925442238129, 0.18162310936758747, 0.7141913150696596, 0
94, 2.4969216280483586, 0.19755722783908336, 0.1602296669182386, 0
95, 2.133085046533826, 0.6855990878013223, 0.22273899657935559, 0
96, 2.5865056585444957, 0.11104863888879772, 0.24444116796383308, 0
97, 2.5865056585444957, 0.11104863888879772, 16.057772548526163, 1
98, 2.5865056585444957, 0.11104863888879772, 2.8266171636818487, 1
99, 1.640383781732408, 0.6130235018244778, 0.041374084281092745, 0
100, 1.4468534557485302, 0.09327693918927019, 0.13488915984623168, 0
101, 1.0166492910431653, 0.5033326674696603, 0.22077548548754317, 0
102, 1.2496859523658754, 0.1176329730019951, 0.03076281571762982, 0
103, 3.106278142072348, 0.04377163135861317, 0.05724645340150281, 0
104, 0.5142154352900967, 0.01078777989412784, 0.01642094459126879, 0
105, 1.6313049030337914, 0.6923804270890578, 0.021377329095293104, 0
106, 1.8292805052139145, 0.5339819891759287, 0.0349534932480392, 0
107, 3.169854998849026, 0.22681362372587088, 0.022827001697307187, 0
108, 2.7268092235798624, 0.013305226201727471, 0.032009429999220185, 0
109, 2.500573613362971, 0.10659972802698013, 0.018044854714349214, 0
110, 2.325331213505898, 0.08451920715775196, 0.029993467806572673, 0
111, 3.258323758864597, 0.2872094332999331, 0.5002913965648479, 0
112, 2.737720115307415, 0.10556875867923293, 0.010473092754484443, 0
113, 3.5339632693921494, 0.37729105046369005, 0.4519328265136858, 0
114, 2.101006100708527, 0.48577499331816754, 0.036952938752489346, 0
115, 2.5432462777300087, 0.020650121291642235, 0.005679932404665609, 0
116, 3.154946739270636, 0.25000498372764096, 0.0261096231923676, 0
117, 1.4622055493284736, 0.9739317629638801, 0.0005968292197977689, 0
118, 2.662258327138215, 0.1543756723980204, 0.014232839934505585, 0
119, 1.8940059083073757, 0.7211196566634026, 0.026259236097316042, 0
120, 3.025157781316042, 1.9184301564735329, 0.006576317684992478, 0
121, 1.4328344543883085, 0.33017819038276386, 0.10074355378676034, 0
122, 4.4484953951162485, 0.20277388888083123, 0.01463545785016164, 0
123, 1.3663939257074469, 0.1266370728053027, 0.15187977057562022, 0
124, 2.834061711541895, 0.013805964867700027, 0.021946312850577774, 0
125, 3.1537430180475634, 0.018241272074296377, 0.3335690888507511, 0
126, 1.2253778686675825, 0.06429962991881796, 0.14376022725158188, 0
127, 2.280265655609627, 0.323138569529849, 0.05097922701103263, 0
128, 0.6375822998685606, 0.11604529281031783, 0.03265558757106916, 0
129, 0.7165888568210831, 0.11196044715300353, 0.004342361171642297, 0
130, 0.7135194556052675, 0.16106395863591502, 0.0208806578493542, 0
131, 0.23376250311778843, 0.1854558067043347, 0.26995389298050737, 0
132, 2.4592798791581614, 0.1585968461257318, 2.831594103923334, 0
133, 0.8823084084209174, 0.03763937638669401, 1.3322303554396275, 0
134, 1.864214237268367, 0.4435496701955537, 2.5426410059978073, 0
135, 1.7914560417600387, 0.1255305677336507, 1.2613416725854691, 0
136, 1.4405239917599397, 0.15349223818850188, 2.2922553533264938, 0
137, 2.4780506001492437, 0.1683452271257009, 0.6697873227167198, 0
138, 2.1771137762498975, 0.5065379374831145, 1.8765457653139002, 0
139, 2.4585341895868678, 0.1374521005610869, 0.6573854167582399, 0
140, 2.228971506009302, 0.13405098155111986, 1.0032773137183355, 0
141, 1.7315486494945735, 0.3513032494851184, 0.9109953341481283, 0
142, 2.3699649556387303, 0.23472864533367255, 0.15987636619814052, 0
143, 2.441802688345765, 0.1546020340097801, 0.75492195149322, 0
144, 2.5866713346437815, 0.10155224494532528, 2.1106700520746102, 0
145, 2.2802669307329153, 0.6033492609951562, 0.20205480624979694, 0
146, 2.174384033376933, 0.6802392148810138, 1.3707325786853115, 0
147, 2.4869322786117336, 0.19342744298791337, 0.7724159263620891, 0
148, 1.904445879107379, 0.271341557149903, 0.14446810713073024, 0
149, 1.5412822853705297, 0.169765340603687, 0.18775633625634255, 0
150, 1.7065921596076326, 0.154556461961475, 0.19211434475219344, 0
151, 2.0504096492790174, 0.9937125849046494, 0.02286369819023707, 0
152, 2.748076017341584, 0.16058552164050277, 0.21345602960649754, 0
153, 0.667906587521161, 0.20257842189004205, 0.03015466913207618, 0
154, 1.460237504351583, 0.17044785942296964, 0.012426606037906771, 0
155, 3.3665936811637005, 0.723159229496612, 0.0015597246771177976, 0
156, 3.7877823179887056, 1.151797775780271, 0.0006383898044132577, 0
157, 3.2905736039840257, 0.6854585418491345, 0.00012645195806397437, 0
158, 3.854482541687002, 0.9869303008175692, 1.7257405320766422e-05, 0
159, 3.801551367086788, 0.891522651418078, 3.2441338405953777e-06, 0
160, 3.2555265215604385, 0.5276950695416434, 2.268931875271328e-07, 0
161, 3.3021229991120746, 0.6957277902717032, 5.275887677756903e-08, 0
162, 2.710115649863103, 0.1474416762623867, 1.752679394207842e-08, 0
163, 3.0131249461080483, 0.33100681207924976, 2.9249708198081868e-09, 0
164, 2.5394473869728436, 0.04818283697076442, 3.3916962748793584e-09, 0
165, 2.1093163700894837, 0.33885900151669746, 1.6236623323583579e-09, 0
166, 2.1093163700894837, 0.33885900151669746, 7.071060263937329e-10, 1
