A, mu, sigma, chi2, flag
1, 2.8459423097334007, 0.5610465270020392, 0.0, 0
2, 2.8459423097334007, 0.5610465270020392, 0.0, 1
3, 2.8459423097334007, 0.5610465270020392, 0.0, 1
4, 2.8459423097334007, 0.5610465270020392, 0.0, 1
5, 2.8459423097334007, 0.5610465270020392, 0.0, 1
6, 2.8459423097334007, 0.5610465270020392, 0.0, 1
7, 2.8459423097334007, 0.5610465270020392, 0.0, 1
8, 2.8459423097334007, 0.5610465270020392, 0.0, 1
9, 2.8459423097334007, 0.5610465270020392, 0.0, 1
10, 2.8459423097334007, 0.5610465270020392, 0.0, 1
11, 2.8459423097334007, 0.5610465270020392, 0.0, 1
12, 2.8459423097334007, 0.5610465270020392, 0.0, 1
13, 2.8459423097334007, 0.5610465270020392, 0.0, 1
14, 2.8459423097334007, 0.5610465270020392, 0.0, 1
15, 2.8459423097334007, 0.5610465270020392, 0.0, 1
16, 2.8459423097334007, 0.5610465270020392, 0.0, 1
17, 2.8459423097334007, 0.5610465270020392, 0.0, 1
18, 2.8459423097334007, 0.5610465270020392, 0.0, 1
19, 2.8459423097334007, 0.5610465270020392, 0.0, 1
20, 2.8459423097334007, 0.5610465270020392, 0.0, 1
21, 2.8459423097334007, 0.5610465270020392, 0.0, 1
22, 2.8459423097334007, 0.5610465270020392, 0.0, 1
23, 2.8459423097334007, 0.5610465270020392, 0.0, 1
24, 2.8459423097334007, 0.5610465270020392, 0.0, 1
25, 2.8459423097334007, 0.5610465270020392, 0.0, 1
26, 2.8459423097334007, 0.5610465270020392, 0.0, 1
27, 2.8459423097334007, 0.5610465270020392, 0.0, 1
28, 2.8459423097334007, 0.5610465270020392, 0.0, 1
29, 2.8459423097334007, 0.5610465270020392, 0.0, 1
30, 2.8459423097334007, 0.5610465270020392, 0.0, 1
31, 2.8459423097334007, 0.5610465270020392, 0.0, 1
32, 2.8459423097334007, 0.5610465270020392, 0.0, 1
33, 2.8459423097334007, 0.5610465270020392, 0.0, 1
34, 2.8459423097334007, 0.5610465270020392, 0.0, 1
35, 2.8459423097334007, 0.5610465270020392, 0.0, 1
36, 2.8459423097334007, 0.5610465270020392, 0.0, 1
37, 2.8459423097334007, 0.5610465270020392, 0.0, 1
38, 2.8459423097334007, 0.5610465270020392, 0.0, 1
39, 2.8459423097334007, 0.5610465270020392, 0.0, 1
40, 2.8459423097334007, 0.5610465270020392, 0.0, 1
41, 2.8459423097334007, 0.5610465270020392, 0.0, 1
42, 2.8459423097334007, 0.5610465270020392, 0.0, 1
43, 2.8459423097334007, 0.5610465270020392, 0.0, 1
44, 2.8459423097334007, 0.5610465270020392, 0.0, 1
45, 2.8459423097334007, 0.5610465270020392, 0.0, 1
46, 2.8459423097334007, 0.5610465270020392, 0.0, 1
47, 2.8459423097334007, 0.5610465270020392, 0.0, 1
48, 2.8459423097334007, 0.5610465270020392, 0.0, 1
49, 2.8459423097334007, 0.5610465270020392, 0.0, 1
50, 3.6646768354928176, 0.6834609220954733, 4.4238352464480504e-10, 0
51, 3.923600767150657, 0.6923465855300144, 7.02855667613071e-10, 0
52, 3.714892585504672, 0.8158811979435713, 2.777475623764953e-10, 0
53, 3.6426352390817653, 0.6405702239623529, 9.056358088825499e-10, 0
54, 3.4798623656838137, 0.8079006709174751, 1.1479722142776027e-08, 0
55, 3.4130661099329926, 0.8783930530998589, 1.4020074123817211e-08, 0
56, 3.5104336512169683, 0.582592601324557, 2.51278639401538e-08, 0
57, 3.415297874122085, 0.6715059525425188, 1.4207135496739844e-07, 0
58, 3.02822928140522, 1.0342096697315426, 2.6702274041763675e-07, 0
59, 3.4359567301410943, 0.5038284774337931, 3.753523677635474e-07, 0
60, 2.7467206100826997, 0.020082430735604895, 1.3803359982037411e-06, 0
61, 2.6972076562591685, 1.1182002248252476, 2.5853580507497588e-06, 0
62, 3.0782015152645252, 0.722551568979884, 5.481954540234112e-06, 0
63, 3.342061123762319, 0.2152316629346469, 1.248191777567419e-05, 0
64, 2.917341242488876, 0.013025519451585588, 3.3329057876289446e-05, 0
65, 2.595478561898993, 1.1124624259148255, 0.00029907208372333225, 0
66, 3.8367799140053047, 0.2669562052645462, 6.964921411130605e-05, 0
67, 3.4745207247663843, 0.23676630699996615, 0.000460885693553931, 0
68, 2.566976045709519, 0.11651838838665018, 0.0012061350619296189, 0
69, 2.977961151156158, 0.27503080567965243, 0.0003732522268640368, 0
70, 1.2632163336526405, 0.1584793734444805, 0.005187860420264648, 0
71, 2.6094676992766033, 0.1605254783203872, 0.004404219730872691, 0
72, 1.9645541829242332, 0.02899093751901871, 0.01900350627305624, 0
73, 0.029163423881077843, 0.029109699637003494, 0.043217105338878306, 0
74, 2.739202169200437, 0.12972532723571722, 0.029537987764251174, 0
75, 2.634378580491254, 0.09942198779225049, 0.015381697831926899, 0
76, 3.390362855477817, 0.16352156856275346, 0.02360674125409805, 0
77, 3.412771584807648, 0.21519029344280224, 0.005189858362869647, 0
78, 3.669746240705987, 0.3750352859647851, 0.05879039497735062, 0
79, 2.4371779967249396, 0.1948706138195382, 0.16974860796390392, 0
80, 3.479262987667586, 0.11718516257672322, 0.08306811093371205, 0
81, 2.944089915232888, 0.026563998225050067, 0.15320133716437484, 0
82, 2.7050666369511815, 0.1604783109302589, 0.8123521530654181, 0
83, 3.59683306769756, 0.4809328179024501, 0.9342191595844757, 0
84, 3.458694550009665, 0.16268741874763212, 1.4201154382050158, 0
85, 4.274651999451893, 0.10965731121601245, 0.13543792812426642, 0
86, 3.5508818859576152, 0.08356598776756864, 0.35793129338210566, 0
87, 4.354409490029251, 0.08006032798574128, 0.5360316897688413, 0
88, 4.348975230133117, 0.07666689599047004, 0.34286044930868914, 0
89, 4.013795646427337, 0.44426005743538394, 0.7999392196451859, 0
90, 3.362570617083727, 0.016630091907315236, 6.850237491241314, 0
91, 4.144522589669374, 0.35086492027987154, 0.630130634338383, 0
92, 4.121543383230925, 0.5386704729531125, 0.2477566422201538, 0
93, 3.8031216949567583, 0.5011534536180876, 2.114969966419311, 0
94, 3.9010577512666966, 0.3738100983158024, 0.2087812650016628, 0
95, 3.3825454993669872, 0.34875538851380444, 0.3129823352763896, 0
96, 3.3682911213346083, 0.14551998943037323, 0.37543795570422767, 0
97, 3.7006203495051144, 0.014034084489480847, 1.0165954579898868, 0
98, 4.730904076903615, 0.0164581187383801, 1.0881873393719046, 0
99, 3.3789610739405083, 0.4487110350481465, 0.5433950960881162, 0
100, 3.348911294230838, 0.15864794303215884, 1.097696625058589, 0
101, 4.639962798548448, 0.15039006442179673, 0.5864252876704186, 0
102, 4.58292634789555, 0.17794011733647264, 0.21123798440973604, 0
103, 4.646749307439151, 0.33371406005447973, 0.0967103704930997, 0
104, 4.478544730129206, 0.14214301823953068, 0.05209148865024926, 0
105, 4.290379638514977, 0.856840620081198, 0.26964811516393916, 0
106, 4.531016618421245, 0.08140316688634983, 0.2340309015566673, 0
107, 4.581779053551601, 0.2354773207620451, 0.11397932220434484, 0
108, 4.479871135640646, 0.18218722328855366, 0.13004528953344024, 0
109, 4.932676830416057, 0.28913564745838166, 0.5741840966109965, 0
110, 4.611772075220789, 0.15842584511051172, 0.3430234377468627, 0
111, 4.462778428292985, 0.18389180549518278, 0.5141165357402545, 0
112, 4.462778428292985, 0.18389180549518278, 0.2745729037037957, 1
113, 4.6354210674689975, 0.12749601054446, 0.3259557372207813, 0
114, 4.7414660650711395, 0.13133416364030795, 0.046401311006978016, 0
115, 3.454896442264207, 0.020307936158323107, 0.011655404636445765, 0
116, 4.8827949472810515, 0.013980779994898551, 0.5204865975608731, 0
117, 3.3105106036902865, 0.14602757904202252, 0.8822225043975804, 0
118, 3.488890643947675, 0.014133243640163743, 1.1392936322677987, 0
119, 3.110725919670125, 0.8734890064644087, 2.9356124992279664, 0
120, 4.682176895408897, 0.021675248443753237, 1.0846378534491257, 0
121, 4.134095454759838, 0.5260024242545353, 0.8217978320379176, 0
122, 4.542361174751867, 0.0852056895176573, 1.7335431556995395, 0
123, 4.542361174751867, 0.0852056895176573, 1.7869138336423325, 1
124, 4.767822356822057, 0.014707196485949092, 0.46988726228913036, 0
125, 4.474507621444854, 0.09731821067898525, 0.8401670803575861, 0
126, 4.5815754780239, 0.16894546828644508, 0.2989677611177519, 0
127, 3.45624806102757, 0.16234934250225064, 0.10534183906018615, 0
128, 2.5816763050511096, 0.07052512734498602, 1.7326365734387819, 0
129, 2.6235196988625953, 0.15636205215157792, 4.040578862204098, 0
130, 4.5191060845413045, 0.17498833033801847, 1.7002532073180743, 0
131, 3.300516470046796, 0.13313332179021614, 4.247446372572977, 0
132, 3.5122659306753206, 0.5663814459958958, 0.5190222098731193, 0
133, 2.623066429482764, 0.1100931135956999, 4.2322616978329695, 0
134, 3.359720346677701, 0.12428772380703011, 1.3522020519040594, 0
135, 3.5060555299958236, 0.1703837900039557, 0.9486565773812512, 0
136, 4.863097554401989, 0.04277703346470707, 5.848742876286539, 0
137, 3.9967203289916884, 0.5796577971849602, 0.40962113083594537, 0
138, 3.5557918318005126, 0.17263954519747815, 0.8108443104179394, 0
139, 4.206849547646823, 0.9163744838046382, 0.6219270744377731, 0
140, 3.9059880958485365, 0.932750404293796, 0.36821709881145026, 0
141, 4.035831296864492, 0.6751274894473241, 0.09033789999790176, 0
142, 4.162678897477025, 0.5859774355972839, 0.16078108419531895, 0
143, 3.9097980901210816, 0.5594288121285034, 0.07896912029362031, 0
144, 4.370988944485348, 0.42333599013248296, 0.0227029701022362, 0
145, 4.526329890833662, 0.16627139189649784, 0.3063092090712411, 0
146, 4.591990360526328, 0.08198796748383953, 0.7507746994831427, 0
147, 3.699792535128393, 0.45733398130501873, 0.20108551852885917, 0
148, 3.19242517777038, 0.28653269708354157, 0.5055634770163113, 0
149, 3.6014828584049043, 0.5043748317263466, 0.029772204354004416, 0
150, 3.4881021030691586, 0.08894659605922615, 0.10495334461776915, 0
151, 4.41824215771039, 1.0505555104644095, 0.06888830430741277, 0
152, 3.9051992215367926, 0.5022007753164213, 0.020987355158399168, 0
153, 3.488691717841685, 0.12624788187008876, 0.002985335143394601, 0
154, 2.881967993226797, 0.22983701913305388, 0.0017959227618818926, 0
155, 2.68071294555189, 0.2063802580969683, 0.004815191864683595, 0
156, 2.5827683971798643, 0.2054106087724816, 0.005430048321986901, 0
157, 2.5305059754859824, 0.054391651700862347, 0.007363601175183299, 0
158, 2.5436940462870674, 0.020204651663987373, 0.0031609694665011147, 0
159, 2.7014694855226837, 0.12193165656246574, 0.0011126042179350627, 0
160, 2.488844579051246, 0.03336065063908688, 0.0007321670140090552, 0
161, 3.1834470487713236, 0.45809560754339573, 0.00033817111971242624, 0
162, 3.8845952317227823, 0.02334185756193552, 0.00024033892364143798, 0
163, 4.07549021943745, 0.019374842328894637, 3.7096996436284374e-05, 0
164, 4.615487666849313, 0.1859752505883301, 5.631134034393561e-05, 0
165, 4.243229333563719, 0.4943802448693322, 4.110536745659131e-05, 0
166, 3.6170019247661562, 0.19836448710059962, 5.726933042451924e-06, 0
167, 3.54686051328998, 0.1507259749815073, 5.759103172481118e-06, 0
168, 3.6546450828976957, 0.20853362767552164, 2.6887210377644254e-06, 0
169, 3.5306891167031225, 0.17739138737586946, 1.059631350523796e-06, 0
170, 3.1906947267241077, 0.38378194245677966, 1.6693796324766995e-07, 0
171, 3.971915032131819, 0.46459078223896744, 2.8167380513494626e-07, 0
172, 3.7506570067816036, 0.32362650046116825, 7.68848396593647e-08, 0
173, 3.750254297675995, 0.23386508898271074, 4.276746842199149e-08, 0
174, 4.168427465889666, 0.550296262510159, 2.8583476141676092e-08, 0
175, 4.09713145565723, 0.5307202109234993, 7.263955041777307e-09, 0
176, 3.6128299494059344, 0.16280326971712777, 1.3114103786953993e-10, 0
177, 4.3496347756871465, 0.5133392217249381, 2.768369008419422e-09, 0
178, 4.463199114645649, 0.18259517711283957, 6.815998496208123e-10, 0
179, 3.973879733091116, 0.49060189271266763, 1.506508882764293e-10, 0
180, 3.973879733091116, 0.49060189271266763, 1.171156904557824e-09, 1
181, 2.75951368578661, 0.28352294517687815, 6.919601818936553e-10, 0
182, 1.1424277136552874, 0.028796913432109328, 1.1916429465920904e-10, 0
183, 0.09141628267428237, 0.039974642694128315, 2.2461279332389053e-11, 0
184, 0.09141628267428237, 0.039974642694128315, 0.0, 1
