A, mu, sigma, chi2, flag
1, 2.8459423097334007, 0.5610465270020392, 0.0, 0
2, 2.8459423097334007, 0.5610465270020392, 0.0, 1
3, 2.8459423097334007, 0.5610465270020392, 0.0, 1
4, 2.8459423097334007, 0.5610465270020392, 0.0, 1
5, 2.8459423097334007, 0.5610465270020392, 0.0, 1
6, 2.8459423097334007, 0.5610465270020392, 0.0, 1
7, 2.8459423097334007, 0.5610465270020392, 0.0, 1
8, 2.8459423097334007, 0.5610465270020392, 0.0, 1
9, 2.8459423097334007, 0.5610465270020392, 0.0, 1
10, 2.8459423097334007, 0.5610465270020392, 0.0, 1
11, 2.8459423097334007, 0.5610465270020392, 0.0, 1
12, 2.8459423097334007, 0.5610465270020392, 0.0, 1
13, 2.8459423097334007, 0.5610465270020392, 0.0, 1
14, 2.8459423097334007, 0.5610465270020392, 0.0, 1
15, 2.8459423097334007, 0.5610465270020392, 0.0, 1
16, 2.8459423097334007, 0.5610465270020392, 0.0, 1
17, 2.8459423097334007, 0.5610465270020392, 0.0, 1
18, 2.8459423097334007, 0.5610465270020392, 0.0, 1
19, 2.8459423097334007, 0.5610465270020392, 0.0, 1
20, 2.8459423097334007, 0.5610465270020392, 0.0, 1
21, 2.8459423097334007, 0.5610465270020392, 0.0, 1
22, 2.8459423097334007, 0.5610465270020392, 0.0, 1
23, 2.8459423097334007, 0.5610465270020392, 0.0, 1
24, 2.8459423097334007, 0.5610465270020392, 0.0, 1
25, 2.8459423097334007, 0.5610465270020392, 0.0, 1
26, 2.8459423097334007, 0.5610465270020392, 0.0, 1
27, 2.8459423097334007, 0.5610465270020392, 0.0, 1
28, 2.8459423097334007, 0.5610465270020392, 0.0, 1
29, 2.8459423097334007, 0.5610465270020392, 0.0, 1
30, 2.8459423097334007, 0.5610465270020392, 0.0, 1
31, 2.8459423097334007, 0.5610465270020392, 0.0, 1
32, 2.8459423097334007, 0.5610465270020392, 0.0, 1
33, 2.8459423097334007, 0.5610465270020392, 0.0, 1
34, 2.8459423097334007, 0.5610465270020392, 0.0, 1
35, 2.8459423097334007, 0.5610465270020392, 0.0, 1
36, 2.8459423097334007, 0.5610465270020392, 0.0, 1
37, 2.8459423097334007, 0.5610465270020392, 0.0, 1
38, 2.8459423097334007, 0.5610465270020392, 0.0, 1
39, 2.8459423097334007, 0.5610465270020392, 0.0, 1
40, 2.8459423097334007, 0.5610465270020392, 0.0, 1
41, 2.8459423097334007, 0.5610465270020392, 0.0, 1
42, 2.8459423097334007, 0.5610465270020392, 0.0, 1
43, 2.8459423097334007, 0.5610465270020392, 0.0, 1
44, 2.8459423097334007, 0.5610465270020392, 0.0, 1
45, 2.8459423097334007, 0.5610465270020392, 0.0, 1
46, 2.8459423097334007, 0.5610465270020392, 0.0, 1
47, 2.8459423097334007, 0.5610465270020392, 0.0, 1
48, 2.8459423097334007, 0.5610465270020392, 0.0, 1
49, 2.8459423097334007, 0.5610465270020392, 0.0, 1
50, 2.8459423097334007, 0.5610465270020392, 0.0, 1
51, 2.8459423097334007, 0.5610465270020392, 0.0, 1
52, 2.8459423097334007, 0.5610465270020392, 0.0, 1
53, 2.8459423097334007, 0.5610465270020392, 0.0, 1
54, 2.8459423097334007, 0.5610465270020392, 0.0, 1
55, 2.8459423097334007, 0.5610465270020392, 0.0, 1
56, 2.8459423097334007, 0.5610465270020392, 1.615805210319788e-11, 1
57, 2.7618829550932267, 0.5840833953160868, 1.7377959241595645e-10, 0
58, 3.423587377222487, 0.16753553971113866, 1.8719807991233682e-11, 0
59, 2.8974471385977556, 0.4921819745095335, 3.081936028455446e-10, 0
60, 1.9187923171932053, 0.013012109282367623, 1.4897143507030888e-09, 0
61, 2.545620903391054, 0.4967871224517244, 2.1522159599909205e-09, 0
62, 2.5060900582177488, 0.7786045124666793, 6.712830798714771e-10, 0
63, 2.449413101880584, 0.11682884198169696, 7.364200275376459e-09, 0
64, 2.4260423064565857, 0.12872448202397457, 1.4421482367378689e-08, 0
65, 2.3003172317259866, 0.6058703752317094, 1.6120704667528154e-08, 0
66, 2.363418120780022, 0.19876586626880566, 1.339886730490969e-08, 0
67, 2.3784345796702193, 0.11087753732580885, 6.021917830171794e-08, 0
68, 1.6575367804159382, 0.11071113817164435, 8.777286499299575e-07, 0
69, 1.615635107960543, 0.1647275368294583, 7.885434432264946e-07, 0
70, 1.5989136292761503, 0.11367466578096375, 9.259319388111721e-06, 0
71, 1.7249985872521054, 0.11609587000340293, 4.306014588841973e-06, 0
72, 1.9331146550791916, 0.6044365671104371, 5.205484550865003e-06, 0
73, 0.48529959391929856, 0.696567008983325, 0.0001345381360109271, 0
74, 1.6573744414772573, 0.34868987310783495, 6.5032330417765045e-06, 0
75, 1.636365596065111, 0.4781867621862417, 0.00013915345458984535, 0
76, 2.463532428450302, 0.05829552416094628, 0.0010279916379006377, 0
77, 2.270979887147885, 0.15665034452429696, 0.00014723509348782022, 0
78, 2.409942590450984, 0.048100330082111495, 0.0035536049509257545, 0
79, 0.5361894122364101, 0.08516961853314044, 0.009702782087809189, 0
80, 2.4348354273530504, 0.15609885248110217, 0.015312545981658009, 0
81, 1.6704003309163582, 0.16797486056186048, 0.021520958577437396, 0
82, 0.5710562163837609, 1.0502199327786055, 0.07745307583355718, 0
83, 2.3135425893424846, 0.1496688496429129, 0.040760143354834376, 0
84, 2.2881955916445187, 0.13921680805563078, 0.47593720411476553, 0
85, 2.3658956607981017, 0.15556593310809902, 0.042985517755580085, 0
86, 2.2758884214636983, 0.3734434193895182, 0.1051419857279287, 0
87, 2.4498506434475207, 0.04243572457029126, 0.40941297154895967, 0
88, 2.538208060474302, 0.18332072325034246, 0.27462760930798946, 0
89, 2.5189763357068293, 0.1680594670904118, 0.014821481334038728, 0
90, 1.7052176135826747, 0.11287792750484794, 0.8774145064210853, 0
91, 2.5279512750263478, 0.18844629448614203, 0.086693556567219, 0
92, 2.582814852543043, 0.34874004808959974, 0.053042417543971196, 0
93, 2.3458501032078973, 0.15227902339695937, 0.5318082012630656, 0
94, 2.5002864088776193, 0.03251006290028414, 0.26151920135112633, 0
95, 2.480051222476627, 0.18594043335473584, 0.0686289232485528, 0
96, 1.6963972501269615, 0.08256731762822642, 1.2955999535447629, 0
97, 3.072983200990743, 0.03996494189823685, 0.5735711026743204, 0
98, 2.2913398616464264, 0.13461655579303428, 1.843779354918718, 0
99, 2.086729145453823, 0.4351133259266669, 0.1008623103883661, 0
100, 1.9508878052113408, 0.29955362878728825, 0.6715033008889993, 0
101, 1.826615665776046, 0.796364361477324, 0.06284840657054412, 0
102, 1.8648107329547334, 0.04045619419388813, 0.1304238314724721, 0
103, 1.55282958637102, 0.07734932180287765, 0.40463643474482447, 0
104, 1.716693231417078, 0.14614580806267005, 0.4876641235131221, 0
105, 1.616246526834868, 0.1816661962739741, 0.35868524878129265, 0
106, 1.418686108119692, 0.18089877762049061, 0.11476715668037214, 0
107, 2.0005466233927316, 0.050304507342784355, 0.041636245294579655, 0
108, 2.4656008142112875, 0.45357706073262355, 0.01658454935155442, 0
109, 2.0698424820869787, 0.42575606518004194, 0.0036025047389360446, 0
110, 2.853118459732527, 0.39555373142437783, 0.01149053105285203, 0
111, 3.4753011839549464, 0.16295076177050052, 0.045905578951742895, 0
112, 2.9542821016443344, 0.17461413945726756, 0.006628776407644563, 0
113, 2.3676241690102127, 0.14852236799917118, 0.0089815484565832, 0
114, 3.832671822173288, 0.03209019025047244, 0.008460604059686344, 0
115, 3.5985428863333797, 0.11043252177049748, 0.013488805025088913, 0
116, 4.101509901047908, 0.016983859443469473, 9.428218349355812e-06, 0
117, 4.197399908016624, 0.3200540270407962, 0.029049644682835416, 0
118, 4.151985226057998, 0.0390740710831714, 0.0051813474478895755, 0
119, 0.3471529506254476, 0.014430538002287996, 0.0024972471678314026, 0
120, 3.764053843954902, 0.1767681857233541, 0.0008873433268641779, 0
121, 2.512165556880463, 0.18578320088222605, 0.007710320502508531, 0
122, 2.2455634390397243, 0.1289796513053557, 0.004332124052752813, 0
123, 1.0878565516059866, 0.043774720462640415, 0.03105984684664931, 0
124, 1.7298486208557005, 0.07597209552474982, 0.012110764444831279, 0
125, 2.05860670575164, 0.03416147616583931, 0.011039767051471399, 0
126, 0.44999386582807493, 0.9420491306688638, 0.01599760581447535, 0
127, 1.3251511786704728, 0.5484960267228651, 0.003395685448472447, 0
128, 1.3251511786704728, 0.5484960267228651, 0.17703053376296116, 1
129, 1.3251511786704728, 0.5484960267228651, 0.4072429023684322, 1
130, 1.3251511786704728, 0.5484960267228651, 0.6793610397949734, 1
131, 1.6392928167824365, 0.1435899360997244, 1.874135777503423, 0
132, 1.6755863357456886, 0.16622108974318509, 0.07225439651152335, 0
133, 1.5966581121497456, 0.18855150101104368, 3.488517533651433, 0
134, 2.2400696401317903, 0.1214227141090152, 1.2725604518438975, 0
135, 2.156974010454725, 0.037427382793919106, 0.6885372732831392, 0
136, 2.4336470876208343, 0.5128495764767551, 0.6552799432045, 0
137, 2.6325375557591837, 0.187659947628044, 1.7892776688572614, 0
138, 2.447911397942955, 0.16596466318804579, 1.280357321201237, 0
139, 2.528880716713876, 0.16857561001987567, 0.14555821063686827, 0
140, 2.471778371110834, 0.18079595778341495, 0.09119989296736272, 0
141, 2.5226814931839003, 0.16646801959886667, 0.4656954966723036, 0
142, 2.5495117126291515, 0.1582484590487982, 0.47185916007031353, 0
143, 2.449048978910103, 0.15807189012258555, 0.20318182914188496, 0
144, 2.278989158087842, 0.4237500499088154, 0.24869989825897182, 0
145, 2.5621516186043483, 0.17899656512087359, 0.09920605973655718, 0
146, 2.6691858286456456, 0.6723497095385047, 1.1584625719470902, 0
147, 2.5396765714783824, 0.1323116459921792, 0.036383565589545426, 0
148, 2.422502613975404, 0.14602175201773554, 0.37366649679149067, 0
149, 2.641898997377629, 0.7202323041248165, 0.04278502201928727, 0
150, 2.609033691752932, 0.17853303969795764, 0.03245379464647644, 0
151, 2.4116084428672737, 0.17698134993693432, 0.028792678968684114, 0
152, 2.351465362711016, 0.4485206504959163, 0.0708499011343247, 0
153, 2.0171565017207196, 0.34740871180224436, 0.009477566759144806, 0
154, 2.709515181361563, 1.0659420588328261, 0.06320214771636763, 0
155, 3.3687839735178082, 0.8952623199126177, 0.018481329155350102, 0
156, 2.6041584410004424, 0.1684911763403827, 0.004375287528622034, 0
157, 2.443838157256189, 0.07408180440249623, 8.581998827063942e-05, 0
158, 2.895147850429028, 0.7346596904195738, 3.568271215323009e-05, 0
159, 1.9859291567958655, 0.03511236652825245, 0.0001384416327922663, 0
160, 1.7525500438247859, 0.1274401437128938, 2.6991032979090626e-05, 0
161, 2.573963431089924, 0.7219236578552004, 2.2653764987966407e-05, 0
162, 2.168322325975562, 0.3215211241908469, 8.347567532687397e-06, 0
163, 2.144641607918229, 0.31431658356128, 1.8102670988914218e-06, 0
164, 1.9964392122507637, 0.3368027779019309, 7.23683833987673e-07, 0
165, 2.213759859232671, 0.4497304239612474, 7.467895654851965e-07, 0
166, 2.5077976017783734, 0.4150846213690782, 1.3030207229121045e-07, 0
167, 2.4797622536558492, 0.2005888416140349, 4.41060033394863e-08, 0
168, 2.590907867315302, 0.27882866529739747, 6.29396442785108e-08, 0
169, 2.8857442357207734, 0.5835625406304387, 3.2242992928487803e-09, 0
170, 3.255175135001989, 0.849209000169455, 1.921106009273714e-08, 0
171, 3.1803240928721124, 0.6767469402741783, 5.134839007038447e-09, 0
172, 3.2816249303087006, 0.7871674678571162, 1.3266270587608064e-11, 0
173, 4.21979451760791, 2.9409876633742185, 1.3106201986852974e-10, 0
174, 4.2042545385041485, 1.4524451117610773, 5.601688298544794e-10, 0
175, 3.8099235882311016, 0.918592763158754, 6.714645672885807e-42, 0
176, 4.376874079551516, 1.6778113642545183, 4.4000472640790784e-42, 0
177, 4.376874079551516, 1.6778113642545183, 1.1032585196245465e-11, 1
