A, mu, sigma, chi2, flag
1, 2.8459423097334007, 0.5610465270020392, 0.0, 0
2, 2.8459423097334007, 0.5610465270020392, 0.0, 1
3, 2.8459423097334007, 0.5610465270020392, 0.0, 1
4, 2.8459423097334007, 0.5610465270020392, 0.0, 1
5, 2.8459423097334007, 0.5610465270020392, 0.0, 1
6, 2.8459423097334007, 0.5610465270020392, 0.0, 1
7, 2.8459423097334007, 0.5610465270020392, 0.0, 1
8, 2.8459423097334007, 0.5610465270020392, 0.0, 1
9, 2.8459423097334007, 0.5610465270020392, 0.0, 1
10, 2.8459423097334007, 0.5610465270020392, 0.0, 1
11, 2.8459423097334007, 0.5610465270020392, 0.0, 1
12, 2.8459423097334007, 0.5610465270020392, 0.0, 1
13, 2.8459423097334007, 0.5610465270020392, 0.0, 1
14, 2.8459423097334007, 0.5610465270020392, 0.0, 1
15, 2.8459423097334007, 0.5610465270020392, 0.0, 1
16, 2.8459423097334007, 0.5610465270020392, 0.0, 1
17, 2.8459423097334007, 0.5610465270020392, 0.0, 1
18, 2.8459423097334007, 0.5610465270020392, 0.0, 1
19, 2.8459423097334007, 0.5610465270020392, 0.0, 1
20, 2.8459423097334007, 0.5610465270020392, 0.0, 1
21, 2.8459423097334007, 0.5610465270020392, 0.0, 1
22, 2.8459423097334007, 0.5610465270020392, 0.0, 1
23, 2.8459423097334007, 0.5610465270020392, 0.0, 1
24, 2.8459423097334007, 0.5610465270020392, 0.0, 1
25, 2.8459423097334007, 0.5610465270020392, 0.0, 1
26, 2.8459423097334007, 0.5610465270020392, 0.0, 1
27, 2.8459423097334007, 0.5610465270020392, 0.0, 1
28, 2.8459423097334007, 0.5610465270020392, 0.0, 1
29, 2.8459423097334007, 0.5610465270020392, 0.0, 1
30, 2.8459423097334007, 0.5610465270020392, 0.0, 1
31, 2.8459423097334007, 0.5610465270020392, 0.0, 1
32, 2.8459423097334007, 0.5610465270020392, 0.0, 1
33, 2.8459423097334007, 0.5610465270020392, 0.0, 1
34, 2.8459423097334007, 0.5610465270020392, 0.0, 1
35, 2.8459423097334007, 0.5610465270020392, 0.0, 1
36, 2.8459423097334007, 0.5610465270020392, 0.0, 1
37, 2.8459423097334007, 0.5610465270020392, 0.0, 1
38, 2.8459423097334007, 0.5610465270020392, 0.0, 1
39, 2.8459423097334007, 0.5610465270020392, 0.0, 1
40, 2.8459423097334007, 0.5610465270020392, 0.0, 1
41, 2.8459423097334007, 0.5610465270020392, 0.0, 1
42, 2.8459423097334007, 0.5610465270020392, 0.0, 1
43, 2.8459423097334007, 0.5610465270020392, 0.0, 1
44, 2.8459423097334007, 0.5610465270020392, 0.0, 1
45, 2.8459423097334007, 0.5610465270020392, 0.0, 1
46, 2.8459423097334007, 0.5610465270020392, 0.0, 1
47, 2.8459423097334007, 0.5610465270020392, 0.0, 1
48, 2.8459423097334007, 0.5610465270020392, 0.0, 1
49, 2.8459423097334007, 0.5610465270020392, 0.0, 1
50, 2.8459423097334007, 0.5610465270020392, 0.0, 1
51, 2.8459423097334007, 0.5610465270020392, 0.0, 1
52, 2.8459423097334007, 0.5610465270020392, 0.0, 1
53, 2.8459423097334007, 0.5610465270020392, 0.0, 1
54, 2.8459423097334007, 0.5610465270020392, 0.0, 1
55, 2.8459423097334007, 0.5610465270020392, 0.0, 1
56, 2.8459423097334007, 0.5610465270020392, 0.0, 1
57, 2.8459423097334007, 0.5610465270020392, 0.0, 1
58, 2.8459423097334007, 0.5610465270020392, 0.0, 1
59, 2.8459423097334007, 0.5610465270020392, 0.0, 1
60, 0.8666051048658721, 0.9056878794392446, 9.559188495185394e-41, 0
61, 0.08515137824390306, 0.5139210763128877, 1.6314889878980648e-09, 0
62, 0.029960497763058314, 0.015189940620758291, 6.47118203256574e-09, 0
63, 0.029753041170243577, 1.5703116192947268, 1.1894197021921675e-07, 0
64, 0.060895615784732016, 0.05168737051822658, 3.291088536562714e-08, 0
65, 0.10898358216901771, 0.026701196752249468, 1.336605509349498e-07, 0
66, 1.5298469932303864, 0.9527927242375493, 7.493761976615295e-07, 0
67, 1.737667854779452, 0.9072006203691252, 2.067827694072697e-06, 0
68, 0.010889257426989651, 0.03627116454114154, 1.845875250096864e-06, 0
69, 1.6285445054990202, 0.14788181491276298, 8.080589325634962e-06, 0
70, 1.5527292631976537, 0.6565539006599395, 4.213745568872433e-05, 0
71, 1.8241546548165335, 0.6509723556072105, 2.0416903210476336e-05, 0
72, 1.9859685319003955, 0.48657152674831017, 3.2097955102968835e-05, 0
73, 1.4600027036371324, 0.23091607219914323, 0.00019068598785181322, 0
74, 2.2414641488686984, 0.509595219041553, 0.00021674038437999028, 0
75, 2.3664591453218504, 0.12498495941264776, 0.00017439135242017063, 0
76, 2.062285074747295, 0.5637420324917006, 0.0014707326079454193, 0
77, 1.8363761522953874, 0.6746281354536169, 0.0011080288854861424, 0
78, 1.7609418367757848, 0.4352530387695052, 0.0020599228337993053, 0
79, 1.3289990165350969, 0.15742242369052883, 0.017387037523782612, 0
80, 1.8803208974958219, 0.4611039754679867, 0.000998323542591661, 0
81, 1.2759317713446878, 0.10481990897747322, 0.03584243621906387, 0
82, 1.6697434103030935, 0.16487086723023203, 0.21894085834465832, 0
83, 1.8289384235922856, 0.3105708034612637, 0.008880634774293699, 0
84, 1.7954300456954353, 0.5429656881351781, 0.1600762065222208, 0
85, 2.3764060690296187, 0.1696645104825578, 0.0636960413120215, 0
86, 2.4811068598890875, 0.08492217784732806, 0.04436820014565317, 0
87, 2.503099084188177, 0.16639945694781932, 0.0217751774524378, 0
88, 2.6080441441254423, 0.11752983898307703, 0.24933987131121285, 0
89, 2.6840167586780717, 0.5353665875147106, 0.2328549323946514, 0
90, 1.6891611240379165, 0.5283516540987128, 2.162225919888787, 0
91, 2.55984164981006, 0.17067408860825015, 0.19162542331277677, 0
92, 2.7174596949313754, 0.7292217065080582, 0.20148066920446067, 0
93, 2.769170574053307, 0.12030022719796153, 0.6082654193459713, 0
94, 2.688609328789046, 0.10795126294678425, 0.09658692888182971, 0
95, 2.6356994192098484, 0.4762308966586363, 0.20017366608825182, 0
96, 2.6190187072875006, 0.13929350589742737, 1.770865810319943, 0
97, 1.6899655310503277, 0.15522744726630777, 1.8667598143166155, 0
98, 2.758547161472351, 0.03209195670761256, 6.7496207724156765, 0
99, 2.998653683653349, 0.349472544118472, 0.03952026022980422, 0
100, 2.5362723768046487, 0.05572618683505035, 1.1233935172904028, 0
101, 2.7934230373288598, 0.9039251607076649, 0.3136299582114085, 0
102, 2.897193791193783, 0.44590580146266245, 0.09130272341245455, 0
103, 2.6873823724100125, 0.5962411334276833, 0.12243389147213833, 0
104, 3.2087419372336803, 1.5534375726117429, 0.4550579216561056, 0
105, 2.1025581246886498, 0.6756898950302876, 0.057450398216355586, 0
106, 1.547876958899651, 0.11373029232255234, 0.28750711206256285, 0
107, 1.605360256219674, 0.5789334270741316, 0.56541836283248, 0
108, 1.475200315112672, 0.17510658359728626, 0.0244635443325583, 0
109, 1.524427913581447, 0.18041366875052348, 0.030324759978870415, 0
110, 2.404605800731006, 1.2782603664203087, 0.006104718985983413, 0
111, 2.584812450387773, 0.3003940782195024, 0.020890325008135407, 0
112, 2.958223802090561, 0.04274877310969538, 0.011327895905573192, 0
113, 2.3058995664118163, 0.7308809996113157, 0.003400389279857154, 0
114, 2.751531960362626, 0.1461532799489304, 0.006203083085969061, 0
115, 4.907979136357067, 0.015463765517520711, 0.0654193977161442, 0
116, 4.53786635391866, 0.146418960124292, 0.008490618871303984, 0
117, 1.0684212448575445, 0.040323901357734115, 0.00912080795730492, 0
118, 4.80989953440845, 0.025864503832274455, 0.017271116045593577, 0
119, 3.7367595327591476, 0.15516362427209607, 0.040092571493447325, 0
120, 1.9572493932869763, 0.5565282196203895, 0.017394487367772882, 0
121, 3.2708590904923573, 0.31176510013718073, 0.015590088099066436, 0
122, 3.517049586560149, 0.1257312663123966, 0.013503097583857067, 0
123, 1.4412146174438774, 0.1664894010337502, 0.05077463429306998, 0
124, 2.5384869029867723, 0.13394095168314502, 0.014162460680289379, 0
125, 0.761851824947676, 0.02680950127339865, 0.05830418553246694, 0
126, 0.03977945306830114, 0.14344890699947382, 0.06560311204334278, 0
127, 2.348164909424637, 0.11729126875090132, 0.01111418386150352, 0
128, 1.31271465683787, 0.16440207555208186, 0.022478919404074822, 0
129, 1.4552238921285137, 0.04643493201749665, 0.0713484054862097, 0
130, 0.9530205251205847, 0.34015045383799375, 0.09417977521114126, 0
131, 0.9530205251205847, 0.34015045383799375, 1.2978642544240595, 1
132, 1.7940307669365163, 0.6014809692006264, 0.8038598740046432, 0
133, 1.6083688484827836, 0.6330620917076056, 3.5462664828816455, 0
134, 3.0997074561187246, 0.04498061678460119, 1.999783164083985, 0
135, 2.6016756510112278, 0.1497178552549237, 1.345981774318263, 0
136, 2.6460786980643034, 0.12772450672025426, 0.8418574139197574, 0
137, 2.829792860131131, 0.019759150440814333, 0.1442044716280245, 0
138, 2.6280534834734537, 0.351818611017421, 0.8266126947882797, 0
139, 3.147174959951999, 0.044181546503305746, 2.179441532172006, 0
140, 2.7127891744320256, 0.15999771625813153, 0.528315334885948, 0
141, 3.0906624398669407, 0.030555139761472283, 0.2905609449737248, 0
142, 2.6237260435784098, 0.13126774372240008, 0.09232211146686942, 0
143, 2.743558360554924, 0.019362806227245954, 0.37343064692937367, 0
144, 3.351610039505548, 0.07662324696188753, 1.2543698990141847, 0
145, 2.585004594714051, 0.17146752519279168, 0.2181879289962872, 0
146, 2.3906646998603924, 0.32749031911157683, 1.129096264127764, 0
147, 2.7882500558463517, 0.02517447325019395, 0.28729695427768315, 0
148, 2.5940598109612, 0.14960175763215408, 0.14791746985443974, 0
149, 2.625797219156471, 0.17867006293731413, 0.11153507729762309, 0
150, 2.5655724315924555, 0.1357530810349433, 0.1182066442625331, 0
151, 2.7076229488934787, 0.7444307299909376, 0.07244115159531367, 0
152, 2.4957626436253633, 0.4583063334223439, 0.005828634415823869, 0
153, 2.4767344361713026, 0.31866783904034635, 0.040888402976164404, 0
154, 2.060362711269064, 0.38094643455944155, 0.0038049918613650567, 0
155, 2.1803653234241636, 0.6040097021804923, 0.0264943232491384, 0
156, 1.8342522344411032, 0.1182283404917831, 0.004351779066940057, 0
157, 2.1903463535223473, 0.4172918867094077, 0.0005735871262578347, 0
158, 3.404019475457278, 1.1611900651539009, 0.006548237205831384, 0
159, 1.7871391585485008, 0.01727640993727575, 0.0014420071229675742, 0
160, 2.6899678639292, 0.19952434015208512, 0.0013470296892180052, 0
161, 2.500386802206583, 0.14657235458777063, 0.0002033750914116577, 0
162, 2.5867442359054857, 0.19459503958567437, 0.00014118308789330412, 0
163, 2.5104282970938843, 0.07757578533400193, 7.352173152015915e-05, 0
164, 2.0559304459408256, 0.3825439141990672, 2.4738228864766053e-05, 0
165, 2.5688170088837827, 0.613209564167544, 1.6842717737278623e-05, 0
166, 2.5296508662506114, 0.13449469249917545, 8.777284286821942e-06, 0
167, 1.5953020939540652, 0.05845191540141337, 2.9703642157029373e-06, 0
168, 1.611759528332005, 0.15308451402874024, 1.1732953477140388e-06, 0
169, 2.625141087190068, 0.1880089092253776, 1.0697443323369677e-06, 0
170, 2.321194283631833, 0.1974723225073407, 3.8547568432529453e-07, 0
171, 1.793086873771279, 0.12645648071757631, 1.2971416631353185e-07, 0
172, 0.9319354072987887, 0.05014231999451102, 3.754221006700895e-08, 0
173, 2.016232190035035, 0.8314877732202002, 3.814326914276166e-08, 0
174, 2.03960614715393, 0.021541728527077586, 1.5580285078910995e-08, 0
175, 0.9863652817822142, 0.01747715484915746, 6.012844766384523e-09, 0
176, 0.9275902545458488, 0.053291018764829, 3.9705417626587245e-09, 0
177, 0.03155196779080782, 0.013263649494686058, 7.507805523977122e-10, 0
178, 0.03155196779080782, 0.013263649494686058, 0.0, 1
179, 0.03155196779080782, 0.013263649494686058, 0.0, 1
