A, mu, sigma, chi2, flag
66, 4.680802150047301, 0.6585061473388655, 6.593438378829512e-07, 0
67, 4.999895730367191, 0.3378165385914692, 1.9674013063598317e-05, 0
68, 4.388697740806393, 0.21736989859697986, 0.00029170331179826205, 0
69, 4.7214849230728415, 0.13072936938450774, 0.00014331244709190545, 0
70, 3.7535266309909043, 0.018422820692308273, 0.0007530698889027658, 0
71, 4.414008961251918, 0.12575382074981561, 0.0010721275765330556, 0
72, 4.414008961251918, 0.12575382074981561, 0.0023087081195319915, 1
73, 4.414008961251918, 0.12575382074981561, 0.003644412289212084, 1
74, 4.680745047399785, 0.10833957524914006, 0.000831963230700736, 0
75, 4.5369464643041875, 0.14631437732477887, 0.00467185442792147, 0
76, 4.5369464643041875, 0.14631437732477887, 0.005145644720361098, 1
77, 4.9436546031410975, 0.4401392141571785, 0.00045893110361025675, 0
78, 4.871915792115084, 0.5672345665522024, 0.0020868917761848907, 0
79, 4.254960468959525, 1.09690944286076, 0.02526094225916943, 0
80, 4.9451757694716525, 0.051072917474722423, 0.006187880639005942, 0
81, 4.4165827583485715, 0.18336044711830185, 0.061624708915586475, 0
82, 4.9281364720484175, 0.8165577419009088, 0.025875384711347663, 0
83, 4.888894950329382, 0.023213709002886995, 0.025269597913826925, 0
84, 4.4429559712652855, 0.18618318791705857, 0.24300000480651313, 0
85, 4.4429559712652855, 0.18618318791705857, 0.1671578330002586, 1
86, 4.758160362471023, 0.6376623894411022, 0.1141283950488663, 0
87, 4.758160362471023, 0.6376623894411022, 0.09293990478359063, 1
88, 4.758160362471023, 0.6376623894411022, 0.13281818750920277, 1
89, 4.913599557214432, 0.01958241426528895, 0.09131054653662572, 0
90, 4.260814289273825, 0.02380692583394861, 0.8969894736323251, 0
91, 4.898279358336133, 0.02361993963366249, 0.10961389625889739, 0
92, 4.898279358336133, 0.02361993963366249, 0.3902461163423094, 1
93, 4.868972599470119, 0.028123694822109968, 0.10300470264417165, 0
94, 4.868972599470119, 0.028123694822109968, 0.16558576007869943, 1
95, 4.868972599470119, 0.028123694822109968, 0.2199039677601402, 1
96, 3.5025453350249007, 0.1619731051081116, 8.992758059270793, 0
97, 3.5025453350249007, 0.1619731051081116, 7.282410014275221, 1
98, 3.5025453350249007, 0.1619731051081116, 9.686118492502258, 1
99, 4.412277119852911, 0.12659367189553566, 2.8050808952893362, 0
100, 4.412277119852911, 0.12659367189553566, 2.506757066792208, 1
101, 4.412277119852911, 0.12659367189553566, 2.361019386432877, 1
102, 4.412277119852911, 0.12659367189553566, 4.223713952187284, 1
103, 4.412277119852911, 0.12659367189553566, 3.837101917990943, 1
104, 4.412277119852911, 0.12659367189553566, 2.4039886415827394, 1
105, 4.412277119852911, 0.12659367189553566, 3.6478623369853653, 1
106, 4.412277119852911, 0.12659367189553566, 1.6791452218163028, 1
107, 4.412277119852911, 0.12659367189553566, 1.81769586184259, 1
108, 3.750885262484239, 0.03072530045932509, 1.8257771261795526, 0
109, 3.750885262484239, 0.03072530045932509, 18.742518260308998, 1
110, 3.750885262484239, 0.03072530045932509, 0.6651512733971963, 1
111, 4.548379723562094, 0.084908226191116, 0.35006962380670037, 0
112, 4.767836124316537, 0.7687652467358109, 0.06732862907555413, 0
113, 3.479468086388121, 0.15901247448137693, 0.4841691583964317, 0
114, 4.80941634523307, 0.9209598497829828, 0.07840583459612765, 0
115, 4.274572001956286, 0.6576860315108168, 0.2066739630532424, 0
116, 3.718900611530565, 0.151107401411489, 0.11883061029929966, 0
117, 4.49005342446717, 0.1791281979747206, 0.18883939995379137, 0
118, 4.469345568437134, 0.5700923769904668, 0.1251416763625555, 0
119, 4.465340578860293, 0.1016781203330091, 0.06906479847923461, 0
120, 4.393326892617987, 0.14989409426632036, 0.32535191121406565, 0
121, 4.466444716497177, 0.1466687312127687, 0.31584979550710945, 0
122, 4.407346759958769, 0.47709103007095266, 0.3037399934610334, 0
123, 4.184375975069301, 0.7594467011131778, 0.043768487557090556, 0
124, 4.409045515131536, 0.27528641519636254, 0.32965436209385296, 0
125, 4.403966769679212, 0.10604264230960893, 0.2733876885602827, 0
126, 4.8661372981036655, 0.04456704335328854, 0.1957371895420963, 0
127, 4.531041744885507, 0.1826929937259642, 0.2695672484521763, 0
128, 4.531041744885507, 0.1826929937259642, 2.043810292971021, 1
129, 3.507726272904398, 0.15907169994954498, 0.665243667326286, 0
130, 3.507726272904398, 0.15907169994954498, 3.0685532707387484, 1
131, 3.526627091249934, 0.16697061573178273, 1.6611778103691612, 0
132, 4.726018013194496, 0.01034880312864317, 2.1991951259755176, 0
133, 4.895766125261502, 1.475446234104968, 8.043681935409102, 0
134, 4.84281306336843, 0.040426202998407934, 2.2765731374086977, 0
135, 4.84281306336843, 0.040426202998407934, 1.7659870131720772, 1
136, 4.84281306336843, 0.040426202998407934, 2.748307621920266, 1
137, 4.966782338252123, 0.050278871982722295, 0.667739736827091, 0
138, 4.673963078306623, 0.08131186628892415, 0.9916458284358649, 0
139, 4.673963078306623, 0.08131186628892415, 0.8894785648407818, 1
140, 4.673963078306623, 0.08131186628892415, 0.8004994413320784, 1
141, 4.904894629093709, 0.043170670419328205, 0.7821925609804005, 0
142, 4.904894629093709, 0.043170670419328205, 1.6564182517622787, 1
143, 4.904894629093709, 0.043170670419328205, 0.32683904974113365, 1
144, 4.968125082311998, 0.04783334787556748, 0.27271720994855375, 0
145, 4.968125082311998, 0.04783334787556748, 0.0951537020515235, 1
146, 4.880052505627075, 0.01415441601661005, 0.9847767147456885, 0
147, 4.7068916934444545, 0.015514077709691598, 0.14489241976456851, 0
148, 4.7068916934444545, 0.015514077709691598, 0.8324078677388951, 1
149, 4.7068916934444545, 0.015514077709691598, 0.13500986888804448, 1
150, 4.81255214892456, 0.03007040189840171, 0.0780673204859793, 0
151, 4.87855846792637, 0.03062757626974366, 0.0804399495436424, 0
152, 4.87855846792637, 0.03062757626974366, 0.20621599542323757, 1
153, 4.87855846792637, 0.03062757626974366, 0.12301875600933528, 1
154, 4.87855846792637, 0.03062757626974366, 0.2716332962439761, 1
155, 4.87855846792637, 0.03062757626974366, 0.03606335183671829, 1
156, 4.87855846792637, 0.03062757626974366, 0.039065465753844966, 1
157, 4.87855846792637, 0.03062757626974366, 0.03717243878084004, 1
158, 4.87855846792637, 0.03062757626974366, 0.008165812838734516, 1
159, 4.87855846792637, 0.03062757626974366, 0.029876774787668998, 1
160, 4.942661684005768, 0.01035494859393249, 0.0026252584782386367, 0
161, 4.762730937283046, 0.01941365350957014, 0.0008498550418823366, 0
162, 4.801209349579335, 0.03167257308546301, 0.006602053861618234, 0
163, 4.801209349579335, 0.03167257308546301, 0.001358748579426474, 1
164, 4.966901971544076, 0.4066873029645325, 0.0009571096715727582, 0
165, 4.876725884895253, 0.03403244870694433, 0.0016327195290417654, 0
166, 4.876725884895253, 0.03403244870694433, 0.003780224992309229, 1
167, 4.876725884895253, 0.03403244870694433, 0.0005273407264099738, 1
168, 4.637615718513647, 0.3657014523087536, 0.0001281033120592422, 0
169, 4.999972629761099, 0.3833762016904366, 2.1312783503247187e-05, 0
170, 4.999972629761099, 0.3833762016904366, 0.00040853152860398275, 1
171, 4.8662450662498635, 0.01682157545342089, 1.7688959948769452e-05, 0
172, 4.609189562705927, 0.08703134180827132, 5.303166939859875e-05, 0
