A, mu, sigma, chi2, flag
66, 2.466739756703501, 0.19778320169567487, 6.4065942401662945e-09, 0
67, 2.419869782705133, 0.10571992474726621, 5.960746906468276e-09, 0
68, 2.3177988375632874, 0.18796495431810278, 3.692198064379074e-08, 0
69, 2.395652909640435, 0.17836507907472843, 1.4334261848043778e-07, 0
70, 2.3223547946282723, 0.08744219359377947, 8.257472364391881e-07, 0
71, 2.201098788256102, 0.12117029422041381, 3.986946760427276e-06, 0
72, 2.4554112457118737, 0.2032261697357729, 8.85347263990079e-06, 0
73, 2.41006436812685, 0.18646141819968753, 2.5446067240130337e-05, 0
74, 2.4121464739218372, 0.09960369756453535, 0.0001536207959205911, 0
75, 2.265289229833459, 0.1286482026614132, 0.00046313589533841364, 0
76, 2.315988762783856, 0.12777803722910552, 2.732498416576498e-05, 0
77, 1.9063015872252933, 0.3485992360203494, 0.0008954566583443561, 0
78, 2.3704862183029136, 0.12433781400033377, 0.007977115152093005, 0
79, 0.5074778549875688, 0.9869510819989413, 0.04087810573849339, 0
80, 2.329663680277998, 0.09050217324101893, 0.26955548838198334, 0
81, 1.4341132501357283, 0.17677919453216992, 0.5580800559637887, 0
82, 1.6702792760470913, 0.6750242038513342, 0.0518403123995315, 0
83, 1.7008151564150782, 0.014932606490442035, 0.7208777069773827, 0
84, 2.4685672248840715, 0.13697594975654093, 0.7086422617004849, 0
85, 2.518937350181937, 0.09962826011813003, 2.2490742690514742, 0
86, 1.800793461925619, 0.12676439726666158, 0.2299778718975021, 0
87, 2.4572719747813743, 0.1574703097585906, 1.0242881488798, 0
88, 2.656878133715688, 0.13515054043323266, 0.7962662498127144, 0
89, 2.450010119359063, 0.07128810576373505, 0.15278822758761848, 0
90, 1.7865666838042071, 0.11254473591903323, 0.2806092668020333, 0
91, 2.422572982565595, 0.1739148636931948, 0.7331341017225403, 0
92, 2.533389605336614, 0.18102249377376559, 0.2912048145681005, 0
93, 2.237736701965883, 0.3834307898409142, 0.06420357498120573, 0
94, 2.1567595216323294, 0.4246330325201203, 0.04846992130251782, 0
95, 2.259912695388083, 0.7069125373979468, 0.4804340802915644, 0
96, 2.259912695388083, 0.7069125373979468, 3.2755079832369622, 1
97, 2.4077532543343887, 0.7735179111704511, 0.10585971795105455, 0
98, 2.3601218494254015, 0.09264440898825353, 0.02857490493709126, 0
99, 1.8215146466746976, 0.09095747238733394, 0.02888999639419666, 0
100, 1.811207922359484, 0.21406431380083504, 0.0015302759714895565, 0
101, 3.4004442880577335, 0.6155366476397999, 0.00015171828326837768, 0
102, 2.6502714353759136, 0.16306492834129466, 0.00011063018826522715, 0
103, 2.3689618105675136, 0.1895953491189389, 0.0006246927364815115, 0
104, 2.364610237859064, 1.1486528355495331, 0.0002576954178101021, 0
105, 3.607947896369967, 0.19979239188214076, 0.0009348849265353948, 0
106, 3.524088065445282, 0.0921992522700735, 0.00016224767652871336, 0
107, 3.268603157091153, 0.5254449508447011, 0.00045787833109427683, 0
108, 3.087663012489329, 0.5205940771034046, 0.00048279156382434495, 0
109, 2.8425402685141004, 0.6332031208071349, 0.007880547240343407, 0
110, 3.3234016205377475, 0.3894701219815615, 0.0002473518097093766, 0
111, 3.511013010104027, 0.13642858366616495, 0.000939926057798079, 0
112, 3.4819036357216238, 0.2071414544343857, 4.406084830760329e-05, 0
113, 3.5453954737999056, 0.06871197350900982, 0.000714110243457397, 0
114, 3.6554515050487217, 0.20484115704226225, 0.00013462948604407284, 0
115, 3.5035727931491145, 0.1595352277854248, 0.0011738323438945392, 0
116, 3.5243465597416623, 0.1839572518271455, 0.001627777781778191, 0
117, 3.130975283391798, 0.28694584892171465, 0.00041860289474683073, 0
118, 3.506278161107539, 0.8327784092457388, 0.0025122149266074904, 0
119, 3.24540135026738, 0.5788058302654436, 0.0014403654604039163, 0
120, 3.490707394075131, 0.2171745943384359, 0.002871736042491021, 0
121, 3.4998987665033754, 0.1270860630169662, 0.003137222318920971, 0
122, 3.248937185846834, 0.7655942082548599, 0.0018284234543840517, 0
123, 3.1742192455034304, 0.6118806708561185, 0.0011322522057403668, 0
124, 3.7822131180123617, 0.5160438367437744, 0.0014095572050219093, 0
125, 2.557920769677254, 0.18536039924176456, 0.0014464421084435994, 0
126, 3.3663590326408137, 0.10872681099595836, 0.0019467072788919041, 0
127, 2.5462202747269242, 0.4429867663493248, 0.00012668102576596666, 0
128, 1.5424750094849962, 0.20522738727906642, 0.0001355680723162702, 0
129, 1.47533478708536, 0.16093906543979164, 0.0034556543225325777, 0
130, 1.2779190561762623, 0.9058843858072799, 0.005051516158636918, 0
131, 1.2779190561762623, 0.9058843858072799, 0.3699966029276532, 1
132, 1.4120606693474642, 0.8606784913748969, 0.4140118351987479, 0
133, 1.5370754861108604, 0.19288347308179762, 0.36730390479495884, 0
134, 1.7154298456174977, 0.022281994670586336, 0.4142631563412716, 0
135, 2.3752181509336796, 0.08278661525458204, 0.13467577929531413, 0
136, 2.1270197570987057, 1.0311157588455488, 2.026559207063589, 0
137, 2.4869277606593587, 0.127072622154081, 0.14844589629064536, 0
138, 2.3521870917051624, 0.11257082576015003, 0.7436739538214568, 0
139, 2.3179386749939925, 0.35962580845418457, 0.1763357069056124, 0
140, 2.786084138198571, 0.6307769897662446, 1.3020795661779399, 0
141, 2.425089610936368, 0.1518624571586522, 0.06073103230111623, 0
142, 2.2819020691633343, 0.15752517760739063, 0.17961248346010933, 0
143, 2.542475337296616, 0.1944992345466812, 0.3374866601841895, 0
144, 2.3540946340147713, 0.12000391182632712, 0.4107930939778913, 0
145, 2.1121915418315873, 0.4972626600037882, 0.0634859806502518, 0
146, 1.7435989719291838, 0.010563286158552065, 0.17957487878081166, 0
147, 2.0458022031283343, 0.4712754412220765, 0.00771190343094335, 0
148, 2.4186026226699453, 0.5824080310952325, 0.037211935172527986, 0
149, 2.1205346953080886, 0.6718071083161411, 0.04619453521615878, 0
150, 2.4625878064517073, 0.12327455724766544, 0.004493162905974858, 0
151, 2.3832719667715057, 0.13515631053946425, 0.0012135474640189924, 0
152, 2.4269745783534242, 0.165332646995767, 0.0004261008293998513, 0
153, 2.5933867252847707, 0.4525829051971606, 5.46848032541186e-06, 0
154, 3.038852200936909, 0.7739927396369393, 6.608549933261455e-05, 0
155, 3.3264238170052995, 0.8960599762345338, 6.236985636972462e-06, 0
156, 3.017702209473939, 0.653586298100862, 1.5780004003027773e-07, 0
157, 2.77229791824223, 0.5610212168627996, 3.561851157623172e-08, 0
158, 2.866546853339831, 0.6442596430639633, 4.766858315415544e-08, 0
159, 2.7255011455557407, 0.45773380770514493, 8.022911353370408e-09, 0
160, 2.8194128540740877, 0.6286856595279384, 4.293821945022804e-09, 0
161, 3.106732017817974, 0.7940745704717475, 1.661774351728468e-09, 0
162, 2.578319353463591, 0.136304179796785, 2.9282542632935607e-10, 0
163, 1.792428732468866, 0.16532759233951388, 1.5211851378307915e-09, 0
164, 4.665791473165892, 1.5297539116393022, 8.252134302624069e-10, 0
165, 4.665791473165892, 1.5297539116393022, 0.0, 1
166, 4.665791473165892, 1.5297539116393022, 0.0, 1
167, 4.665791473165892, 1.5297539116393022, 0.0, 1
168, 4.665791473165892, 1.5297539116393022, 0.0, 1
169, 4.665791473165892, 1.5297539116393022, 0.0, 1
170, 4.665791473165892, 1.5297539116393022, 0.0, 1
