A, mu, sigma, chi2, flag
66, 3.8164439009351603, 0.5096634809617508, 2.1637440480612213e-06, 0
67, 4.429585059575771, 0.044122364363169186, 6.372096539509821e-06, 0
68, 3.500477926394414, 0.0637827002472855, 8.515852617547609e-05, 0
69, 3.5755555911454575, 0.15345895418850297, 5.6396485042608644e-05, 0
70, 2.816123213275657, 0.029559223168415638, 0.00041510776112705267, 0
71, 3.298240296894698, 0.19781366809601703, 0.0005453070486169567, 0
72, 3.5785004089548877, 0.10363796699364713, 0.0001894546464061508, 0
73, 3.857119216696766, 0.29295296818195554, 3.2984390886821684e-05, 0
74, 3.473323911228136, 0.2166580611053435, 0.0010606572155050474, 0
75, 3.443831095846188, 0.18623373439287072, 0.00426601789731183, 0
76, 3.5684965106268933, 0.6299778333499904, 0.004259872024876699, 0
77, 3.662925838759983, 0.18923296402562328, 0.001658524600346219, 0
78, 3.693589220498419, 0.5334634714799521, 0.006039248138961098, 0
79, 3.2294532968544654, 0.584325838810616, 0.022292204920134145, 0
80, 3.720256303617229, 0.5184224620918358, 0.005171599395449738, 0
81, 3.324625871330273, 0.1544963211673941, 0.06744372285534635, 0
82, 3.351112181645602, 0.9023853938435431, 0.026629320379656356, 0
83, 4.074875810101547, 0.015387884168595045, 0.06099430035648567, 0
84, 3.5062575319322518, 0.17407176115876238, 0.19018590982010034, 0
85, 3.4758568958592115, 0.9153327853056957, 0.20128169895422085, 0
86, 3.5589029449843492, 0.14214043197790116, 0.1419520170246347, 0
87, 3.9298377012666292, 0.5759795265761755, 0.08731512474928618, 0
88, 3.9059940012444585, 0.3073483580776629, 0.017810993282477938, 0
89, 3.9743888606714233, 0.20151069388639786, 0.0378320224859908, 0
90, 2.9761174736900755, 0.06005574247440393, 1.6623508081458949, 0
91, 4.431317922103616, 0.14530520043972547, 0.029080254476737805, 0
92, 4.360038397120706, 0.1696144889613702, 0.07460799203142045, 0
93, 4.371413984659291, 0.13490785011550296, 0.2319242005924269, 0
94, 4.242538934189589, 0.6609016113199584, 0.18933505776166012, 0
95, 4.464118681964206, 0.13903124396218683, 0.2132416233628412, 0
96, 3.847231098086331, 0.015855074599907093, 7.04875046437625, 0
97, 4.389689330896075, 1.02595631608741, 0.33981015180472923, 0
98, 3.9775464505148643, 0.3276338223186913, 0.24648624475948455, 0
99, 2.720180293141951, 0.024158761400161488, 0.326604579170097, 0
100, 3.9078682273503342, 0.38207422131982094, 0.007250999528151642, 0
101, 3.9015525048501165, 0.6601218008107612, 0.19452106083098233, 0
102, 4.381503478426813, 0.10885611042094871, 0.15834554629715827, 0
103, 3.6412591751263084, 0.16456991898755166, 0.11303411792323526, 0
104, 4.693012845844671, 0.14733794077834753, 0.1699226596416844, 0
105, 3.8488900499042624, 0.2728350291056786, 0.10476764342733866, 0
106, 3.615516994012423, 0.1650163235774465, 0.0882931277698487, 0
107, 3.676098424621847, 0.16879650536997645, 0.14212029542346458, 0
108, 3.560180334740678, 0.19053693129186555, 0.17984905967249998, 0
109, 3.439368098497362, 0.05027692095361926, 0.24122584595521576, 0
110, 3.4108494533227076, 0.16411770258181838, 0.012781281595921075, 0
111, 3.179646197184452, 0.4464815709802798, 0.08801849513839309, 0
112, 3.3830584165302158, 0.606671685298723, 0.09626119935959548, 0
113, 3.4118999253930578, 0.3052762291354991, 0.1252231294343796, 0
114, 3.227568413156276, 0.3824343609997005, 0.020558032166109692, 0
115, 3.0956607533235236, 0.34410210608648395, 0.1482457273443181, 0
116, 2.573621669867964, 0.06829898133652287, 0.030775440654900725, 0
117, 2.4785251175013925, 0.18022210962609964, 0.010861943012982761, 0
118, 2.9219317107722484, 0.5956045040877016, 0.04056452126037034, 0
119, 3.0325784397700564, 0.45815697265086763, 0.05094845390059346, 0
120, 3.524226601809549, 0.19564145932600788, 0.3438317459525199, 0
121, 3.0946925958634015, 0.4770231600094595, 0.21575158285771784, 0
122, 3.4940281327609792, 0.03135624476580864, 0.1773921223962328, 0
123, 3.166995852469812, 0.4810911298146413, 0.01165559326425679, 0
124, 2.9333272145399563, 0.8431487692762744, 0.13771750715621536, 0
125, 3.8130987946457, 0.314141221263404, 0.23610864153222916, 0
126, 3.5737575296293103, 0.10665684377870235, 0.17461429286311123, 0
127, 3.6943287590369427, 0.15614698907555385, 0.2554619216950833, 0
128, 3.5302086728467987, 0.46502608090400815, 0.4911500187985537, 0
129, 3.5079955388502073, 0.14625063457333262, 0.7109456241575501, 0
130, 4.444021455325887, 0.0794225954342717, 0.1594181363375032, 0
131, 3.440244518277086, 0.1610409736671642, 2.3760508885853904, 0
132, 4.329710940107706, 0.10390952902193293, 0.09490670004330232, 0
133, 2.598465620033013, 0.1312669162189777, 4.806425460839821, 0
134, 3.462435303588409, 0.16585113993669512, 0.36277684915672254, 0
